,Democratic,Republican,Undeclared,Total,,#1
Barrington,1888.0,1846.0,2623.0,6357.0,,518.0
Dover Ward 1,1510.0,623.0,1457.0,3590.0,,697.0
Dover Ward 2,1372.0,712.0,1301.0,3385.0,,561.0
Dover Ward 3,1337.0,1082.0,1455.0,3874.0,,314.0
Dover Ward 4,1461.0,978.0,1266.0,3705.0,,400.0
Dover Ward 5,1147.0,741.0,1312.0,3200.0,,413.0
Dover Ward 6,1144.0,861.0,1295.0,3300.0,,312.0
Durham,4033.0,1674.0,4665.0,10372.0,,1829.0
Farmington,1387.0,1263.0,1901.0,4551.0,,403.0
Lee,1248.0,785.0,1246.0,3279.0,,226.0
Madbury,448.0,314.0,635.0,1397.0,,125.0
Middleton,284.0,311.0,494.0,1089.0,,119.0
Milton,864.0,936.0,1409.0,3209.0,,323.0
New Durham,486.0,685.0,873.0,2044.0,,128.0
Rochester Ward 1,1233.0,1081.0,1602.0,3916.0,,433.0
Rochester Ward 2,1014.0,954.0,1302.0,3270.0,,330.0
Rochester Ward 3,1203.0,1178.0,1280.0,3661.0,,425.0
Rochester Ward 4,1143.0,838.0,1251.0,3232.0,,349.0
Rochester Ward 5,1054.0,1016.0,1389.0,3459.0,,345.0
Rochester Ward 6,1083.0,758.0,1182.0,3023.0,,389.0
Rollinsford,681.0,481.0,938.0,2100.0,,128.0
Somersworth Ward 1,688.0,425.0,738.0,1851.0,,192.0
Somersworth Ward 2*,556.0,279.0,760.0,1595.0,,182.0
Somersworth Ward 3,514.0,304.0,661.0,1479.0,,162.0
Somersworth Ward 4,709.0,413.0,791.0,1913.0,,164.0
Somersworth Ward 5,462.0,208.0,603.0,1273.0,,147.0
Strafford,786.0,987.0,1471.0,3244.0,,175.0
