LABEL,UPC,ARTIST,TITLE,RELEASEDATE,PRODUCTTYPE,GENRE,PRICE,RETURNABLE,STATUS
Word Records,080688663520,Worship Tracks,"Wonderful, Merciful Savior (Ampb:  Selah)",2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688662721,Worship Tracks,Worthy Is The Lamb (Ampb:  Darlene Zschech),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688662325,Worship Tracks,How Great Is Our God (Ampb:  Chris Tomlin),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688664725,Worship Tracks,In Christ Alone (My Hope Is Found)(Ampb:  Newsboys/Natalie Grant),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688664428,Worship Tracks,How Deep The Father'S Love,2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688684624,Worship Tracks,Days Of Elijah (Ampb:  Twila Paris),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688674229,Worship Tracks,Breathe (Ampb:  Michael W. Smith),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688674922,Worship Tracks,Open The Eyes Of My Heart (Ampb:  Paul Baloche),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688674823,Worship Tracks,Here I Am To Worship (Ampb:  Tim Hughes),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688674724,Worship Tracks,"Heart Of Worship, The  (Ampb:  Matt Redman)",2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688675127,Worship Tracks,Shout To The Lord (Ampb:  Darlene Zschech),2006-07-11,Worship Trax,Na,8.99,Y,Available
Word Records,080688712921,Worship Tracks,At The Cross (Ampb:  Hillsong),2007-02-06,Worship Trax,Na,8.99,Y,Available
Word Records,080689084829,Worship Tracks,You Are My King (Amazing Love) (Ampb:  Newsboys/Newsong),2003-12-06,Worship Trax,Na,8.99,Y,Available
