Date,Short Percentage of Float
2014-03-31,2.12%
2014-03-14,1.91%
2014-02-28,2.03%
2014-02-14,2.00%
2014-01-31,1.97%
2014-01-15,1.99%
2013-12-31,2.00%
2013-12-13,2.07%
2013-11-29,2.01%
2013-11-15,2.02%
2013-10-31,2.02%
2013-10-15,2.05%
2013-09-30,2.04%
2013-09-13,2.05%
2013-08-30,2.09%
2013-08-15,2.12%
2013-07-31,2.11%
2013-07-15,2.18%
2013-06-28,2.19%
2013-06-14,2.18%
2013-05-31,2.14%
2013-05-15,2.18%
2013-04-30,2.23%
2013-04-15,2.25%
2013-03-28,2.25%
2013-03-15,2.21%
2013-02-28,2.24%
2013-02-15,2.24%
2013-01-31,2.24%
2013-01-15,2.29%
2012-12-31,2.25%
2012-12-14,2.28%
2012-11-30,2.35%
2012-11-15,2.28%
2012-10-31,2.30%
2012-10-15,2.27%
2012-09-28,2.29%
2012-09-14,2.34%
2012-08-31,2.33%
2012-08-15,2.33%
2012-07-31,2.34%
2012-07-13,2.36%
2012-06-29,2.43%
2012-06-15,2.90%
2012-05-31,2.99%
2012-05-15,3.08%
2012-04-30,3.21%
2012-04-13,3.28%
2012-03-30,3.27%
2012-03-15,3.38%
2012-02-29,3.53%
2012-02-15,3.56%
2012-01-31,3.75%
2012-01-13,3.89%
2011-12-30,3.87%
2011-12-15,3.86%
2011-11-30,3.19%
2011-11-15,2.81%
2011-10-31,0.78%
2011-10-14,0.74%
2011-09-30,0.75%
2011-09-15,0.77%
2011-08-31,0.88%
2011-08-15,1.11%
2011-07-29,1.54%
2011-07-15,1.43%
2011-06-30,1.46%
2011-06-15,1.53%
2011-05-31,1.74%
2011-05-13,2.34%
2011-04-29,2.13%
2011-04-15,3.10%
2011-03-31,3.50%
2011-03-15,3.07%
2011-02-28,3.56%
2011-02-15,3.22%
2011-01-31,2.92%
2011-01-14,2.88%
2010-12-31,2.86%
2010-12-15,2.15%
2010-11-30,1.23%
2010-11-15,0.76%
2010-10-29,0.43%
2010-10-15,0.46%
2010-09-30,0.25%
2010-09-15,0.28%
2010-08-31,0.21%
2010-08-13,0.21%
2010-07-30,0.23%
2010-07-15,0.51%
2010-06-30,0.58%
2010-06-15,0.43%
2010-05-28,0.59%
2010-05-14,0.74%
2010-04-30,0.64%
2010-04-15,0.00%
2010-03-31,0.00%
2010-03-15,0.00%
2010-02-26,0.00%
2010-02-12,0.00%
2010-01-29,0.00%
2010-01-15,0.00%
2009-12-31,0.00%
2009-12-15,0.00%
2009-11-30,0.00%
2009-11-13,0.00%
2009-10-30,0.05%
2009-10-15,0.11%
2009-09-30,0.00%
2009-09-15,0.00%
2009-08-31,0.03%
2009-08-14,0.06%
2009-07-31,0.09%
2009-07-15,0.04%
2009-06-30,0.04%
2009-06-15,0.05%
2009-05-29,0.17%
2009-05-15,0.16%
2009-04-30,0.19%
2009-04-15,0.21%
2009-03-31,0.00%
2009-03-13,0.43%
2009-02-27,0.49%
2009-02-13,0.44%
2009-01-30,0.54%
2009-01-15,0.50%
2008-12-31,0.56%
2008-12-15,0.58%
2008-11-28,0.65%
2008-11-14,0.62%
2008-10-31,0.66%
2008-10-15,0.87%
2008-09-30,1.15%
2008-09-15,1.02%
2008-08-29,0.99%
2008-08-15,1.06%
2008-07-31,1.62%
2008-07-15,1.68%
2008-06-30,1.59%
2008-06-13,1.56%
2008-05-30,1.05%
2008-05-15,1.12%
2008-04-30,2.29%
2008-04-15,2.30%
2008-03-31,2.30%
2008-03-14,2.11%
2008-02-29,2.09%
2008-02-15,2.02%
2008-01-31,1.95%
2008-01-15,2.20%
2007-12-31,1.93%
2007-12-11,2.15%
2007-11-27,2.16%
2007-11-09,1.89%
2007-10-26,2.15%
2007-10-10,2.06%
2007-09-25,2.18%
2007-09-11,2.25%
2007-08-10,2.49%
2007-07-10,3.36%
2007-06-12,3.63%
2007-05-10,3.70%
2007-04-10,4.52%
2007-03-12,4.63%
2007-02-12,4.55%
2007-01-09,4.14%
2006-12-12,3.75%
2006-11-10,3.61%
2006-10-10,3.44%
2006-09-12,3.54%
2006-08-10,3.48%
2006-07-11,3.61%
2006-06-12,4.24%
2006-05-10,4.43%
2006-04-10,4.51%
2006-03-10,3.97%
2006-02-10,3.33%
2006-01-10,2.52%
2005-12-12,3.94%
2005-11-10,0.00%
2005-10-11,0.00%
2005-09-12,0.00%
2005-08-10,0.00%
2005-07-12,0.00%
2005-06-10,0.00%
2005-05-10,0.00%
2005-04-12,0.00%
2005-03-10,0.00%
2005-02-10,0.00%
2005-01-11,0.00%
2004-12-10,0.00%
2004-11-10,0.00%
2004-10-12,0.00%
2004-09-10,0.00%
2004-08-10,0.00%
2004-07-12,0.00%
2004-06-09,0.00%
2004-05-11,0.00%
2004-04-12,0.00%
