County,AEA,District,District Name,Dropouts by Grade Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,,Grade 7-12 Enrollment,Total Dropouts,Dropouts as Percent of Enrollment
42.0,6.0,9.0,ACKLEY-GENEVA,0.0,0.0,0.0,1.0,0.0,1.0,,297.0,2.0,0.6734006734006733
39.0,11.0,18.0,ADAIR-CASEY,0.0,0.0,0.0,0.0,0.0,0.0,,205.0,0.0,0.0
25.0,11.0,27.0,ADEL-DESOTO-MINBURN,0.0,0.0,1.0,2.0,2.0,1.0,,739.0,6.0,0.8119079837618403
78.0,13.0,441.0,A-H-S-T,0.0,0.0,0.0,0.0,0.0,0.0,,322.0,0.0,0.0
75.0,12.0,63.0,AKRON WESTFIELD,0.0,0.0,0.0,1.0,0.0,0.0,,335.0,1.0,0.2985074626865672
11.0,5.0,72.0,ALBERT CITY-TRUESDALE,0.0,0.0,0.0,0.0,0.0,2.0,,122.0,2.0,1.639344262295082
68.0,15.0,81.0,ALBIA,0.0,0.0,0.0,0.0,2.0,0.0,,594.0,2.0,0.33670033670033667
57.0,10.0,99.0,ALBURNETT,0.0,0.0,0.0,1.0,0.0,0.0,,314.0,1.0,0.3184713375796179
42.0,6.0,108.0,ALDEN,0.0,0.0,1.0,0.0,1.0,0.0,,197.0,2.0,1.015228426395939
55.0,3.0,126.0,ALGONA,0.0,0.0,0.0,1.0,0.0,5.0,,755.0,6.0,0.7947019867549668
3.0,1.0,135.0,ALLAMAKEE,0.0,0.0,0.0,0.0,5.0,3.0,,788.0,8.0,1.015228426395939
12.0,7.0,153.0,ALLISON-BRISTOW,0.0,0.0,0.0,0.0,0.0,0.0,,177.0,0.0,0.0
11.0,5.0,171.0,ALTA,0.0,0.0,0.0,1.0,1.0,0.0,,306.0,2.0,0.6535947712418301
85.0,11.0,225.0,AMES,0.0,0.0,4.0,8.0,15.0,18.0,,2376.0,45.0,1.893939393939394
53.0,10.0,234.0,ANAMOSA,0.0,0.0,2.0,0.0,1.0,1.0,,583.0,4.0,0.6861063464837049
49.0,9.0,243.0,ANDREW,0.0,0.0,0.0,0.0,0.0,0.0,,167.0,0.0,0.0
15.0,13.0,252.0,ANITA,0.0,0.0,0.0,1.0,0.0,1.0,,171.0,2.0,1.1695906432748537
77.0,11.0,261.0,ANKENY,0.0,0.0,0.0,3.0,12.0,10.0,,2442.0,25.0,1.0237510237510237
