Institution,2002 Enrollment,Telephone/Web Site,Date Licensed/ Control,,Chief Officer,Area of Vocational Certification,Approval*
Academy of Orthodontic Assisting,New,603-699-4503,2003,Independent,"Linda Reese, RN",Dental Assisting,PEC
Dartmouth Commons,,,,Non-Profit,Director,,
"765 S Main St, Suite 302",,www.orthoassisting.net,,,,,
"Manchester, N.H.  03102",,,,,,,
Advanced Life Support Institute,100,603-447-4249,1989,Independent,David Tauber,EMT,PEC
PO Box 2680 (Rt 16),,,,Non-Profit,Instruction Coordinator,Paramedic,
"Conway, NH  03818",,www.alsi.org,,,,,
All Dogs Gym & Inn,10,603-669-4644,2003,Independent,Gail T. Fisher,Professional Dog Trainers,PEC
505 Sheffield Rd,,,,For-Profit,,,
"Manchester, N.H.  03103",,www.alldogsgym.com,,,,,
American Red Cross,New,603-352-3210,2003,Indpendent,"Pat McIntire, RN",LNA (Licensed Nursing Assistant),PEC
83 Court St.,,,,Not-for-profit,Director,MNA (Medication Nursing Assistant),
"Keene, N.H.  03431",,www.newhapshire.redcross.org,,,,,
Blended Solutions,2500,603-622-6191,1992,Independent,AJ Lambert,Computer Software Training,PEC
1346 Elm St.,,,,For-Profit,President,,
"Manchester, NH  03101",,www.blendedsolutions.net,,,,,
Boston Bartenders School of,375,603-595-9105,1985,Independent,Linda Robinson,Bartending School,PEC
America,,,,For-Profit,,,
142 Main St.,,,,,,,
"Nashua, NH  03060",,www.bostonbartender.com,,,,,
Business & Computer Solutions,250,603-645-4386,2000,Independent,Lori Mader,Career Training,PEC
670 N. Commercial St.,,,,For-Profit,Owner,Computer and Soft Skill Training,VA
4th fl,,www.bcsnh.com,,,,,
"Manchester, NH  03101",,,,,,,
Business & Computer Solutions,250,603-230-9994,2000,Independent,Lori Mader,Career Training,PEC
"105 Loudon Rd, Suite 3103",,,,For-Profit,Owner,Computer and Soft Skill Training,VA
"Concord, NH  03301",,www.bcsnh.com,,,,,
CAL-Campus,new,603-380-0715 (NH),lic,Independent,Dr. Margaret Morabito,"Computer, Paralegal, Small Business",PEC
PO Box 734,,585-383-1347 (NY),2003,For-Profit,,"Management, Legal Assistant, Business",
117 West Commercial St,,,,,,"Management, Postsecondary General",
"E Rochester, NY  14445",,,,,,Education,
Cinderella Career & Modeling,170,603-627-4125,1964,Independent,Suzette Paradis,Modeling School,PEC
9 Brook St.,,,,For-Profit,,,
"Manchester, NH  03104",,www.cinderellamodelingne.com,,,,,
CompUSA,,603-891-6501,,Independent,Bradley Mayo,Computer Training,PEC
213 Daniel Webster HW,,,,For-Profit,,,
"Nashua, NH  03060",,www.compusa.com,,,,,
CompUSA,,603-870-6401,,Independent,Bradley Mayo,Computer Training,PEC
290-238 South Broadway,,,,For-Profit,,,
Unit #A,,www.compusa.com,,,,,
"Salem, NH  03079",,,,,,,
