Month,Days,OP Days,Peak Days,Peak Hours,OP Hours,24 Hours,
2000-01-01 00:00:00,31,10,21,336,408,744,
2000-02-01 00:00:00,29,8,21,336,360,696,
2000-03-01 00:00:00,31,8,23,368,376,744,
2000-04-01 00:00:00,30,10,20,320,400,720,
2000-05-01 00:00:00,31,9,22,352,392,744,
2000-06-01 00:00:00,30,8,22,352,368,720,
2000-07-01 00:00:00,31,11,20,320,424,744,
2000-08-01 00:00:00,31,8,23,368,376,744,
2000-09-01 00:00:00,30,10,20,320,400,720,
2000-10-01 00:00:00,31,9,22,352,392,744,
2000-11-01 00:00:00,30,9,21,336,384,720,
2000-12-01 00:00:00,31,11,20,320,424,744,
2001-01-01 00:00:00,31,9,22,352,392,744,
2001-02-01 00:00:00,28,8,20,320,352,672,
2001-03-01 00:00:00,31,9,22,352,392,744,
2001-04-01 00:00:00,30,9,21,336,384,720,
2001-05-01 00:00:00,31,9,22,352,392,744,
2001-06-01 00:00:00,30,9,21,336,384,720,
2001-07-01 00:00:00,31,10,21,336,408,744,
2001-08-01 00:00:00,31,8,23,368,376,744,
2001-09-01 00:00:00,30,11,19,304,416,720,
2001-10-01 00:00:00,31,8,23,368,376,744,
2001-11-01 00:00:00,30,9,21,336,384,720,
2001-12-01 00:00:00,31,11,20,320,424,744,
2002-01-01 00:00:00,31,9,22,352,392,744,
2002-02-01 00:00:00,28,8,20,320,352,672,
2002-03-01 00:00:00,31,10,21,336,408,744,
2002-04-01 00:00:00,30,8,22,352,368,720,
2002-05-01 00:00:00,31,9,22,352,392,744,
2002-06-01 00:00:00,30,10,20,320,400,720,
2002-07-01 00:00:00,31,9,22,352,392,744,
2002-08-01 00:00:00,31,9,22,352,392,744,
2002-09-01 00:00:00,30,10,20,320,400,720,
2002-10-01 00:00:00,31,8,23,368,376,744,
2002-11-01 00:00:00,30,10,20,320,400,720,
2002-12-01 00:00:00,31,10,21,336,408,744,
2003-01-01 00:00:00,31,9,22,352,392,744,
2003-02-01 00:00:00,28,8,20,320,352,672,
2003-03-01 00:00:00,31,10,21,336,408,744,
2003-04-01 00:00:00,30,8,22,352,368,720,
2003-05-01 00:00:00,31,10,21,336,408,744,
2003-06-01 00:00:00,30,9,21,336,384,720,
2003-07-01 00:00:00,31,9,22,352,392,744,
2003-08-01 00:00:00,31,10,21,336,408,744,
2003-09-01 00:00:00,30,9,21,336,384,720,
2003-10-01 00:00:00,31,8,23,368,376,744,
2003-11-01 00:00:00,30,11,19,304,416,720,
2003-12-01 00:00:00,31,9,22,352,392,744,
2004-01-01 00:00:00,31,10,21,336,408,744,
2004-02-01 00:00:00,29,9,20,320,376,696,
2004-03-01 00:00:00,31,8,23,368,376,744,
2004-04-01 00:00:00,30,8,22,352,368,720,
2004-05-01 00:00:00,31,11,20,320,424,744,
2004-06-01 00:00:00,30,8,22,352,368,720,
2004-07-01 00:00:00,31,10,21,336,408,744,
2004-08-01 00:00:00,31,9,22,352,392,744,
2004-09-01 00:00:00,30,9,21,336,384,720,
2004-10-01 00:00:00,31,10,21,336,408,744,
2004-11-01 00:00:00,30,9,21,336,384,720,
2004-12-01 00:00:00,31,8,23,368,376,744,
