,Commodity Revenue (Cost),Demand Charge,Total,Total Volume,$/Mwhr Commodity Cost,$/Mwhr Total Cost,,
SPS Avg. Cost Est.,457076.7,112613.09999999999,569689.8,22081,20,0,,
4C Pre,,,,-200,,,,
4C Balancing,0,,0,0,0,0,,
4C Realtime,0,,0,0,0,0,,
PV Pre,,,,-50,,,,
PV Balancing,0,,0,0,0,0,,
PV Realtime,0,,0,0,0,0,,
SPS Pre,0,,0,-2472,0,0,,
Artesia Balancing,0,,0,0,0,0,,
Artesia Realtime,0,,0,0,0,0,,
4C Pre,456.25,,456.25,25,18.25,18.25,,
4C Balancing,0,,0,0,0,0,,
4C Realtime,,,,550,,,,
PV Pre,,,,1575,,,,
PV Balancing,0,,0,0,0,0,,
PV Realtime,0,,0,0,0,0,,
Artesia Pre,0,,0,0,0,0,,
Artesia Balancing,0,,0,0,0,0,,
Artesia Realtime,0,,0,0,0,0,,
