EXPORTER EXPORTATEUR,Million Cubic Metres Millions de mètres cubés  2000/11 2000-11-01 00:00:00,1999/11 1999-11-01 00:00:00,% CHANGE VARIATION EN %,Average Price ($CDN/GJ) Prix moyen ($CDN/GJ)  2000/11 2000-11-01 00:00:00,1999/11 1999-11-01 00:00:00,% CHANGE VARIATION EN %,2000/11 2000-11-01 00:00:00,Million Cubic Feet Millions de pieds cubés  1999/11 1999-11-01 00:00:00,% CHANGE VARIATION EN %,Average Price ($US/MMBTU) Prix Moyen ($US/MMBTU)  2000/11 2000-11-01 00:00:00,1999/11 1999-11-01 00:00:00,% CHANGE VARIATION EN %
TCGS,437.6171,490.1512,-10.717937648627611,6.213184376401898,3.6974470089992497,68.03984915211963,15448.30456539872,17302.808826930348,-10.717937648627608,4.364666056548396,2.729745994953289,59.89275429353944
PROGAS,432.63550000000004,432.5995,0.008321784930416751,5.784608907551947,3.9328789382052567,47.083319838767146,15272.44929369432,15271.17845906662,0.00832178493040155,4.063598409390952,2.903560349633701,39.95226274196767
PAN-ALBERTA,196.9136,319.13289999999995,-38.297304978584144,5.745566503332052,3.910520441359035,46.92587826839942,6951.239487371717,11265.698337745333,-38.29730497858416,4.036171723469344,2.8870535499228183,39.80245442891928
ENRON,81.0992,84.8613,-4.4332339947655806,6.774929366772548,4.4633834357223385,51.78909597033346,2862.8797677471557,2995.685516438161,-4.4332339947655734,4.759283235658528,3.2952204664324842,44.42988820141334
CANWEST,86.98299999999999,84.5085,2.928107823473369,6.800193612532849,4.023497402602555,69.01200453451813,3070.5835672602298,2983.2313370866855,2.928107823473364,4.777030978077553,2.9704620225056235,60.81777655746849
COENERGY II,0,58.3761,-100,0,2.136478373941825,-100,0,2060.7324808380936,-100,0,1.5773162591315972,-100
SHELL CANADA,41.3216,37.8166,9.268416515498473,5.72870952630108,5.199975774463071,10.168004136377048,1458.692226445401,1334.962355053898,9.268416515498496,4.0243299574753175,3.8390308257687793,4.826716432250357
TCGS/CANSTATES,0,37.3494,-100,0,3.49963876261237,-100,0,1318.4697456632816,-100,0,2.5837084000860493,-100
USGEN,0,31.944,-100,0,4.982518537054134,-100,0,1127.6539263138864,-100,0,3.6784868013525065,-100
ATCOR,31.698,31.698,0,7.416831394934169,3.9112098067539516,89.63010836510594,1118.969889691259,1118.969889691259,0,5.2102094957237535,2.8875624936402677,80.43625054692379
AMOCO/CON ED,26.214,26.0042,0.8067927488636365,8.398707069896426,3.8665969954624244,117.21185527616605,925.3794147380485,917.9732729354986,0.8067927488636453,5.899961991486662,2.8546258098554165,106.68074852814031
POCO,0,24.2429,-100,0,3.5328367952017716,-100,0,855.7976887751978,-100,0,2.6082177970512204,-100
SITHE/INDEPEND,23.802,23.8021,-0.0004201309968438371,5.53278697355342,5.809353468710146,-4.760710406869636,840.2334946820413,840.2370247782293,-0.00042013099683781255,3.8866973903591866,4.288921335689852,-9.378207568966051
RENAISSANCE,13.173499999999999,23.690499999999997,-44.39332221776661,7.293749553491337,4.5085173094214035,61.7771221206063,465.03722133408417,836.2974374323544,-44.39332221776661,5.123746403213036,3.328541839441179,53.933663759300956
BROOKLYN NAVY,22.165,22.1092,0.2523836231071131,7.419216715080739,4.778648840597322,55.25762537833501,782.445820083499,780.4760264105615,0.2523836231071252,5.2118851462834375,3.5279741676241994,47.730252508997644
OTHERS,580.7316000000002,310.14778,87.24351339867728,6.505850383815837,4.214522938934904,54.367421368455005,20500.384074459842,10948.514959132715,87.24351339867718,4.57025940628332,3.1114920877013845,46.8832083599994
