,VOLUME (MILLIONS M3)  1999/01 1999-11-01 00:00:00,2000/01 2000-11-01 00:00:00,% CHANGE VARIATION,AVERAGE PRICE PRIX MOYEN ($CDN/GJ)  1999/01 1999-11-01 00:00:00,2000/01 2000-11-01 00:00:00,% CHANGE VARIATION,VOLUME (BCF)  1999/01 1999-11-01 00:00:00,2000/01 2000-11-01 00:00:00,% CHANGE VARIATION,AVERAGE PRICE PRIX MOYEN ($US/MMBTU)  1999/01 1999-11-01 00:00:00,2000/01 2000-11-01 00:00:00,% CHANGE VARIATION
LONG-TERM (FIRM)/LONG TERME (GARANTI),24061,25120.3,4.4,3.25,4.69,44,849.4,886.8,4.4,2.35,3.39,44.1
SHORT-TERM (FIRM)/COURT TERME (GARANTI),38806.9,39838.3,2.7,2.96,4.75,60.5,1369.9,1406.3,2.7,2.14,3.42,60.1
SHORT-TERM/COURT TERME (INTERRUPTIBLE),24005.1,26584.4,10.7,2.89,5.09,75.9,847.4,938.5,10.7,2.09,3.67,75.2
CALIFORNIA/CALIFORNIE,17240.9,17332.3,0.5,2.79,4.56,63.1,608.6,611.8,0.5,2.02,3.29,62.9
MIDWEST/MIDWEST,33715.6,34189.2,1.4,2.87,4.71,64,1190.2,1206.9,1.4,2.07,3.39,63.6
MOUNTAIN/ROCHEUSES,975.6,707.5,-27.5,2.9,4.19,44.8,34.4,25,-27.5,2.09,3.04,45.2
NORTHEAST/NORD-EST,21397.5,26305.1,22.9,3.5,5.41,54.5,755.4,928.6,22.9,2.53,3.9,54.2
PACIFIC NORTHWEST/NORD-OUEST PACIFIQUE,13543.5,13009,-3.9,2.96,4.41,49,478.1,459.2,-3.9,2.14,3.18,48.9
END-USER/UTILISATEURS ULTIMES,7337.8,6852.4,-6.6,3.54,4.53,27.8,259,241.9,-6.6,2.56,3.28,28
LDC/SDL,24089.3,24197,0.4,3.12,4.81,53.9,850.4,854.2,0.4,2.26,3.47,53.8
MARKETING CO./DISTRIBUTEURS,52459.9,56565.1,7.8,2.94,4.88,65.9,1851.9,1996.8,7.8,2.13,3.52,65.5
PIPELINE/PIPELINES,2986,3928.6,31.6,2.33,4.77,104.7,105.4,138.7,31.6,1.68,3.41,102.3
