,,2011,2012,2013,2014,2015,,2015 Q4,2016 Q1,Q2,Q3
,Uncontested2,"8,611","8,595","7,752","6,902","6,508",,"1,631","1,595","1,711","1,882"
,"Initially contested, subsequently consented","2,668","2,716","2,729","2,457","2,415",,585,536,616,623
,Contested,801,872,828,802,844,,205,178,250,163
,Uncontested2,"17,231","17,609","17,286","16,467","15,381",,"3,623","3,893","4,131","4,729"
,"Initially contested, subsequently consented","5,596","5,642","5,646","5,847","5,756",,"1,396","1,354","1,272","1,182"
,Contested,"1,222","1,436","1,667","1,672","1,724",,426,496,560,348
,Uncontested2,"18,062","17,231","16,626","15,154","13,902",,"3,323","3,452","3,431","3,772"
,"Initially contested, subsequently consented","6,473","6,467","6,260","6,041","5,472",,"1,355","1,275","1,189","1,202"
,Contested,"1,669","1,859","1,917","1,997","1,857",,470,518,592,418
,Uncontested2,"7,134","7,620","7,106","6,662","6,008",,"1,611","1,521","1,779","2,314"
,"Initially contested, subsequently consented","1,693","1,731","1,947","1,896","1,711",,461,425,485,440
,Contested,325,490,485,480,476,,119,101,190,101
,Uncontested2,"1,506","2,017","1,735","1,710","1,620",,460,387,536,822
,"Initially contested, subsequently consented",646,848,927,925,"1,079",,249,296,313,325
,Contested,131,235,226,220,294,,66,74,118,70
,Uncontested2,"3,744","3,711","3,375","3,198","3,021",,854,"1,266","1,407","2,303"
,"Initially contested, subsequently consented",967,997,"1,299",972,"1,197",,322,329,357,291
,Contested,155,241,233,165,167,,33,41,90,39
,Uncontested2,"1,553","1,776","1,627","1,621","1,665",,393,362,357,314
,"Initially contested, subsequently consented",367,414,431,397,449,,100,124,140,150
,Contested,295,330,339,285,350,,79,67,109,70
,Uncontested2,0,0,0,0,0,,0,0,0,0
,"Initially contested, subsequently consented",906,771,684,760,679,,141,120,159,127
,Contested,351,313,285,281,243,,57,58,50,57
