Year,Quarter,Total number of cases started,Cases with at least one hearing,,Applicants Represented Parties,Unrepresented Parties2,,Respondents Represented Parties,Unrepresented Parties2,,Total number of parties
2011,,"41,666","8,214",,"6,806","1,409",,"5,543","2,672",,"16,430"
2012,,"42,950","8,948",,"7,336","1,614",,"5,906","3,045",,"17,901"
2013,,"42,920","8,975",,"7,356","1,619",,"5,790","3,185",,"17,950"
2014,,"37,657","7,022",,"5,703","1,319",,"4,607","2,415",,"14,044"
2015,,"37,949","7,392",,"6,043","1,350",,"4,941","2,452",,"14,786"
2016,,"41,535","6,787",,"5,793",995,,"4,762","2,026",,"13,576"
2012,Q1,"11,245","2,361",,"1,950",412,,"1,564",798,,"4,724"
,Q2,"10,505","2,213",,"1,798",416,,"1,470",745,,"4,429"
,Q3,"10,614","2,191",,"1,786",405,,"1,446",745,,"4,382"
,Q4,"10,586","2,183",,"1,802",381,,"1,426",757,,"4,366"
2013,Q1,"10,261","2,156",,"1,783",373,,"1,414",742,,"4,312"
,Q2,"11,281","2,518",,"2,075",443,,"1,643",875,,"5,036"
,Q3,"10,928","2,168",,"1,766",402,,"1,379",789,,"4,336"
,Q4,"10,450","2,133",,"1,732",401,,"1,354",779,,"4,266"
2014,Q1,"10,266","2,105",,"1,693",412,,"1,401",704,,"4,210"
,Q2,"8,780","1,557",,"1,256",301,,991,566,,"3,114"
,Q3,"9,271","1,655",,"1,339",316,,"1,060",595,,"3,310"
,Q4,"9,340","1,705",,"1,415",290,,"1,155",550,,"3,410"
2015,Q1,"9,565","1,883",,"1,504",379,,"1,228",655,,"3,766"
,Q2,"9,412","1,763",,"1,437",326,,"1,198",565,,"3,526"
,Q3,"9,615","1,823",,"1,493",330,,"1,223",600,,"3,646"
,Q4,"9,357","1,923",,"1,609",315,,"1,292",632,,"3,848"
2016,Q1,"9,799","1,853",,"1,550",303,,"1,278",575,,"3,706"
,Q2,"10,497","1,819",,"1,553",266,,"1,283",536,,"3,638"
,Q3,"10,600","1,722",,"1,480",243,,"1,224",499,,"3,446"
,Q4,"10,639","1,393",,"1,210",183,,977,416,,"2,786"
2017,Q1,"11,037",530,,458,73,,302,229,,"1,062"
2011,,"129,309","14,452",,"11,284","3,168",,"8,298","6,154",,"28,904"
2012,,"124,452","13,401",,"10,410","2,991",,"7,687","5,714",,"26,802"
2013,,"117,506","12,345",,"9,588","2,757",,"7,096","5,249",,"24,690"
2014,,"112,600","10,858",,"8,466","2,392",,"6,319","4,539",,"21,716"
2015,,"114,570","8,810",,"7,144","1,666",,"5,387","3,423",,"17,620"
2016,,"114,124","4,464",,"3,749",715,,"2,786","1,678",,"8,928"
2012,Q1,"33,708","3,622",,"2,752",870,,"2,088","1,534",,"7,244"
,Q2,"30,502","3,218",,"2,531",687,,"1,848","1,370",,"6,436"
,Q3,"31,075","3,318",,"2,604",714,,"1,864","1,454",,"6,636"
,Q4,"29,167","3,243",,"2,523",720,,"1,887","1,356",,"6,486"
2013,Q1,"30,898","3,249",,"2,536",713,,"1,880","1,369",,"6,498"
,Q2,"32,038","3,293",,"2,524",769,,"1,888","1,405",,"6,586"
,Q3,"28,433","2,909",,"2,269",640,,"1,639","1,270",,"5,818"
,Q4,"26,137","2,894",,"2,259",635,,"1,689","1,205",,"5,788"
2014,Q1,"28,550","2,805",,"2,171",634,,"1,599","1,206",,"5,610"
,Q2,"27,586","2,694",,"2,092",602,,"1,581","1,113",,"5,388"
,Q3,"29,153","2,839",,"2,212",627,,"1,665","1,174",,"5,678"
,Q4,"27,311","2,520",,"1,991",529,,"1,474","1,046",,"5,040"
2015,Q1,"28,587","2,389",,"1,878",511,,"1,420",969,,"4,778"
,Q2,"28,102","2,304",,"1,858",446,,"1,388",916,,"4,608"
,Q3,"28,396","2,063",,"1,709",354,,"1,284",779,,"4,126"
,Q4,"29,485","2,054",,"1,699",355,,"1,295",759,,"4,108"
2016,Q1,"29,045","1,621",,"1,351",270,,"1,001",620,,"3,242"
,Q2,"30,303","1,369",,"1,163",206,,897,472,,"2,738"
,Q3,"27,551",937,,786,151,,567,370,,"1,874"
,Q4,"27,225",537,,449,88,,321,216,,"1,074"
2017,Q1,"28,523",145,,106,39,,65,80,,290
2011,,"49,066","45,906",,"35,279","13,064",,"25,405","25,884",,"99,632"
2012,,"52,062","49,157",,"37,233","14,433",,"26,091","28,694",,"106,451"
2013,,"54,624","51,845",,"33,745","20,977",,"18,187","39,354",,"112,263"
2014,,"42,114","39,775",,"21,504","20,723",,"11,952","31,893",,"86,072"
2015,,"43,347","41,430",,"21,629","22,351",,"12,734","32,841",,"89,555"
2016,,"48,244","46,201",,"23,157","25,462",,"13,933","36,469",,"99,021"
2012,Q1,"13,211","12,477",,"9,531","3,546",,"6,833","7,068",,"26,978"
,Q2,"12,383","11,652",,"8,819","3,427",,"6,142","6,859",,"25,247"
,Q3,"13,716","12,952",,"9,743","3,865",,"6,869","7,594",,"28,071"
,Q4,"12,752","12,076",,"9,140","3,595",,"6,247","7,173",,"26,155"
2013,Q1,"13,501","12,804",,"9,544","3,913",,"5,902","8,411",,"27,770"
,Q2,"15,554","14,860",,"10,281","5,331",,"4,897","11,548",,"32,057"
,Q3,"13,994","13,290",,"7,814","6,268",,"4,087","10,662",,"28,831"
,Q4,"11,575","10,891",,"6,106","5,465",,"3,301","8,733",,"23,605"
2014,Q1,"11,978","11,285",,"6,043","5,966",,"3,370","9,098",,"24,477"
,Q2,"9,231","8,671",,"4,784","4,445",,"2,551","7,065",,"18,845"
,Q3,"10,580","9,983",,"5,372","5,225",,"3,019","8,016",,"21,632"
,Q4,"10,325","9,836",,"5,305","5,087",,"3,012","7,714",,"21,118"
2015,Q1,"10,547","10,010",,"5,245","5,404",,"3,158","7,903",,"21,710"
,Q2,"10,483","10,042",,"5,332","5,350",,"3,047","8,034",,"21,763"
,Q3,"11,140","10,661",,"5,509","5,809",,"3,269","8,443",,"23,030"
,Q4,"11,177","10,717",,"5,543","5,788",,"3,260","8,461",,"23,052"
2016,Q1,"11,515","11,068",,"5,555","6,126",,"3,432","8,633",,"23,746"
,Q2,"12,198","11,728",,"5,874","6,487",,"3,601","9,251",,"25,213"
,Q3,"12,692","12,103",,"5,986","6,744",,"3,621","9,545",,"25,896"
,Q4,"11,839","11,302",,"5,742","6,105",,"3,279","9,040",,"24,166"
2017,Q1,"12,796","11,986",,"5,752","6,882",,"2,597","10,393",,"25,624"
2011,,"14,788","13,568",,"13,573",169,,"20,323","7,032",,"41,097"
2012,,"15,237","14,164",,"14,184",193,,"21,138","7,007",,"42,522"
2013,,"15,050","14,380",,"14,360",167,,"20,850","7,294",,"42,671"
2014,,"14,909","14,389",,"14,324",171,,"21,258","7,359",,"43,112"
2015,,"15,998","15,683",,"15,612",161,,"23,214","7,756",,"46,743"
