Numbers  Offence description and legislation,Time of arrest6 2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,,Great Britain Total since Sep 11 2001
Common Law,,,,,,,,,,,,,,,,,,
Murder,-,1,1,-,-,-,-,-,-,-,-,-,3,1,1,1,,8
Conspiracy to defraud,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,,4
Perverting the course of justice,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,,3
Breach of the peace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,1
Offences Against the Person Act 1861,,,,,,,,,,,,,,,,,,
Soliciting to commit murder,1,-,-,-,3,2,-,-,1,1,-,-,-,-,-,-,,8
Wounding with intent to do grievous bodily harm,-,-,-,-,-,-,-,-,-,-,-,4,1,1,1,-,,7
Criminal Law Act 1967 & 1977,,,,,,,,,,,,,,,,,,
Assisting offenders by impeding their prosecution,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,,3
Conspiracy to murder,1,8,-,8,5,10,-,2,-,-,-,-,-,1,-,-,,35
Conspiracy to defraud,-,-,-,-,-,-,-,-,-,-,-,-,-,1,12,-,,13
Conspiracy to commit armed robbery,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,,7
Offences related to bomb hoaxes,-,3,-,-,-,-,-,-,-,-,-,-,-,-,1,2,,6
"Conspiracy to make, distribute and use with intent forged documents",-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,,4
Conspiracy to commit robbery,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,,3
Conspiracy to provide money and property to be used for acts of terrorism,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,,3
Conspiracy to breach a control order,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,,3
Conspiracy to destroy or damage property,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,,3
Conspiracy to transfer the proceeds of crime,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,2
Conspiracy to make false instruments,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,2
Conspiracy to blackmail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,,2
Conspiracy to receive components,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,,2
Conspiracy to receive property,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,1
Conspiracy to supply drugs,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,1
Conspiracy to assist another to breach a control order,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,1
Conspiracy to commit a public nuisance,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1
Conspiracy to unlawfully acquire a firearm,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,1
Other legislation,,,,,,,,,,,,,,,,,,
Fraud Act 2006,-,-,-,-,-,-,-,1,3,2,1,2,4,9,2,4,,28
Explosive Substances Act 1883,4,2,5,2,-,3,2,-,4,-,-,2,-,1,-,2,,27
Proceeds of Crime Act 2002,-,-,-,-,-,1,-,-,-,1,-,-,10,6,5,2,,25
Firearms Act 1968,1,-,1,1,-,1,1,-,1,-,-,1,1,1,-,2,,11
Theft Act 1968 & 1978,-,4,-,1,-,-,-,-,-,-,-,-,3,2,-,-,,10
Criminal Attempts Act 1981,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,1,,6
Public Order Act 1986,-,-,-,-,1,-,-,-,-,-,-,-,3,2,-,-,,6
Identity Documents Act 2010,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,-,,6
Crime and Disorder Act 1998,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,,5
Criminal Damage Act 1971 & Malicious Damage Act 1861,-,-,-,-,-,-,-,1,-,-,3,-,-,-,-,-,,4
Bail Act 1976,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,,4
Misuse of Drugs Act 1971,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,,3
Malicious Communications Act 1988 & 2003,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,,3
Trade Mark Act 1944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,2
Forgery and Counterfeiting Act 1981,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,2
Child Abduction Act 1984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,,2
Serious Crime Act 2007,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,1
Immigration Act 1971,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,1
Sexual Offences Act 1956 & 2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,1
Protection of Children Act 1978,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,1
Customs Consolidation Act 1876,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,1
"Criminal Justice Act 1925, 1967, 1988 & 2003",-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,1
Communications Act 2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,1
