,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010,Apr 2010 to Mar 2011,Jul 2010 to Jun 2011,Oct 2010 to Sep 2011,Jan 2011 to Dec 2011
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,5,4,6,2,18,14,13,13
Number of offenders in cohort,13,14,13,11,15,13,13,13
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,27,12,11,12,18,20,13,26
Number of offenders in cohort,19,19,20,16,14,14,15,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),14.3,30.6,37.1,48.4,44.4,*,51.6,46.9
Average number of re-offences per re-offender,3.00,2.36,3.00,2.13,2.31,*,2.63,2.67
Average number of re-offences per offender,0.43,0.72,1.11,1.03,1.03,*,1.35,1.25
Number of re-offences,15,26,39,32,37,32,42,40
Number of offenders in cohort,35,36,35,31,36,29,31,32
Average number of previous offences per offender,61.8,62.1,62.1,63.3,65.1,*,62.3,60.6
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,16,27,20,18,14,16,15,5
Number of offenders in cohort,21,21,20,20,19,20,18,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,27,17,24,11,9,5,5,8
Number of offenders in cohort,18,19,19,16,13,14,13,10
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,7,3,5,8,10,17,13,4
Number of offenders in cohort,21,17,14,17,14,14,15,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),29.6,32.6,32.3,32.2,29.6,35.6,28.9,32.0
Average number of re-offences per re-offender,2.25,1.99,2.15,1.87,2.03,2.08,2.10,2.25
Average number of re-offences per offender,0.67,0.65,0.69,0.60,0.60,0.74,0.61,0.72
Number of re-offences,169,155,161,144,138,162,128,144
Number of offenders in cohort,253,239,232,239,230,219,211,200
Average number of previous offences per offender,46.3,47.4,49.8,50.3,50.7,49.4,49.4,47.0
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,58,61,19,17,24,23,19,9
Number of offenders in cohort,27,24,20,17,17,18,20,17
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),38.5,43.2,*,*,54.1,45.9,53.1,51.5
Average number of re-offences per re-offender,2.80,2.31,*,*,2.95,2.65,2.35,2.12
Average number of re-offences per offender,1.08,1.00,*,*,1.59,1.22,1.25,1.09
Number of re-offences,42,37,32,51,59,45,40,36
Number of offenders in cohort,39,37,28,29,37,37,32,33
Average number of previous offences per offender,61.3,63.6,*,*,60.6,67.5,70.3,75.5
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,13,13,5,5,4,5,13,12
Number of offenders in cohort,13,15,14,14,12,9,11,9
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),37.3,54.3,36.0,40.4,37.5,32.7,28.9,32.6
Average number of re-offences per re-offender,2.41,2.52,3.00,2.96,2.81,2.44,1.77,2.07
Average number of re-offences per offender,0.90,1.37,1.08,1.19,1.05,0.80,0.51,0.67
Number of re-offences,53,63,54,68,59,39,23,29
Number of offenders in cohort,59,46,50,57,56,49,45,43
Average number of previous offences per offender,60.5,66.1,68.8,65.0,64.6,66.2,68.9,68.4
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,25,17,11,24,25,24,15,8
Number of offenders in cohort,15,16,19,22,22,20,14,18
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,28,20,23,23,14,24,22,14
Number of offenders in cohort,16,18,18,18,17,28,29,28
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),26.5,28.8,28.4,21.1,25.8,24.2,28.1,31.7
Average number of re-offences per re-offender,1.95,2.13,2.05,2.33,2.24,2.94,2.25,2.45
Average number of re-offences per offender,0.52,0.61,0.58,0.49,0.58,0.71,0.63,0.78
Number of re-offences,43,49,43,35,38,47,36,49
Number of offenders in cohort,83,80,74,71,66,66,57,63
Average number of previous offences per offender,48.7,50.9,49.9,51.0,53.0,50.9,48.5,45.2
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,5,14,16,17,15,29,27,13
Number of offenders in cohort,25,25,23,26,23,21,22,22
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),43.3,*,*,*,*,*,*,*
Average number of re-offences per re-offender,2.62,*,*,*,*,*,*,*
Average number of re-offences per offender,1.13,*,*,*,*,*,*,*
Number of re-offences,34,32,29,23,16,19,10,17
Number of offenders in cohort,30,23,19,23,24,23,21,16
Average number of previous offences per offender,87.4,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),40.7,56.0,42.4,50.0,48.3,49.2,47.5,35.5
Average number of re-offences per re-offender,2.82,2.86,2.88,3.21,3.79,3.37,2.54,2.55
Average number of re-offences per offender,1.15,1.60,1.22,1.61,1.83,1.66,1.20,0.90
Number of re-offences,62,80,72,90,106,101,71,56
Number of offenders in cohort,54,50,59,56,58,61,59,62
Average number of previous offences per offender,73.0,66.0,61.6,63.5,60.7,62.7,64.6,67.8
Proportion of offenders who re-offend (%),39.8,41.5,42.7,43.8,47.4,46.2,44.6,46.8
Average number of re-offences per re-offender,3.23,2.87,2.55,2.31,2.27,2.28,2.51,2.65
Average number of re-offences per offender,1.29,1.19,1.09,1.01,1.08,1.05,1.12,1.24
Number of re-offences,126,112,97,81,84,82,93,98
Number of offenders in cohort,98,94,89,80,78,78,83,79
Average number of previous offences per offender,99.2,102.5,101.2,104.2,110.3,115.1,112.1,114.8
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,17,18,12,11,11,14,12,20
Number of offenders in cohort,19,18,17,15,12,12,13,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),48.5,56.7,47.5,38.7,26.4,22.8,31.5,33.7
Average number of re-offences per re-offender,1.88,1.88,2.21,2.33,2.29,2.08,2.30,2.27
Average number of re-offences per offender,0.91,1.07,1.05,0.90,0.60,0.47,0.73,0.77
Number of re-offences,30,32,62,56,32,27,53,75
Number of offenders in cohort,33,30,59,62,53,57,73,98
Average number of previous offences per offender,56.2,60.8,54.1,54.5,53.7,56.4,44.3,45.3
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,52,34,21,37,22,22,17,17
Number of offenders in cohort,27,24,20,21,25,22,22,27
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,28,33,44,35,23,18,15,23
Number of offenders in cohort,16,20,21,21,18,14,13,14
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,23,16,8,10,26,14,9,9
Number of offenders in cohort,26,25,23,19,25,24,20,18
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),38.8,41.2,33.3,46.5,37.8,33.3,45.2,*
Average number of re-offences per re-offender,2.74,2.10,2.07,2.90,3.06,2.92,3.43,*
Average number of re-offences per offender,1.06,0.86,0.69,1.35,1.16,0.97,1.55,*
Number of re-offences,52,44,31,58,52,35,48,37
Number of offenders in cohort,49,51,45,43,45,36,31,26
Average number of previous offences per offender,41.4,43.4,43.2,44.6,43.8,45.4,50.7,*
Proportion of offenders who re-offend (%),25.6,37.1,*,*,*,*,*,*
Average number of re-offences per re-offender,1.60,1.54,*,*,*,*,*,*
Average number of re-offences per offender,0.41,0.57,*,*,*,*,*,*
Number of re-offences,16,20,19,21,27,32,31,32
Number of offenders in cohort,39,35,25,22,21,20,27,27
Average number of previous offences per offender,32.4,31.7,*,*,*,*,*,*
Proportion of offenders who re-offend (%),34.1,36.6,39.2,35.6,34.7,35.6,31.8,32.3
Average number of re-offences per re-offender,1.89,2.13,2.42,2.53,2.55,2.44,2.64,2.48
Average number of re-offences per offender,0.65,0.78,0.95,0.90,0.88,0.87,0.84,0.80
Number of re-offences,53,64,92,81,84,78,74,77
Number of offenders in cohort,82,82,97,90,95,90,88,96
Average number of previous offences per offender,63.8,63.7,63.4,59.9,60.8,61.6,65.5,67.1
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,53,57,40,62,40,32,31,42
Number of offenders in cohort,23,25,26,25,26,26,25,27
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,16,12,10,11,9,11,4,6
Number of offenders in cohort,19,20,16,10,10,9,6,8
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,19,25,8,10,14,9,8,16
Number of offenders in cohort,15,15,17,18,19,17,15,13
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),31.9,28.6,25.8,*,*,*,51.6,42.9
Average number of re-offences per re-offender,1.47,1.67,1.88,*,*,*,2.50,2.56
Average number of re-offences per offender,0.47,0.48,0.48,*,*,*,1.29,1.10
Number of re-offences,22,20,15,14,9,13,40,46
Number of offenders in cohort,47,42,31,27,22,20,31,42
Average number of previous offences per offender,78.5,78.5,85.2,*,*,*,74.3,74.0
Proportion of offenders who re-offend (%),48.6,45.9,35.3,*,*,*,*,*
Average number of re-offences per re-offender,3.22,3.24,2.25,*,*,*,*,*
Average number of re-offences per offender,1.57,1.49,0.79,*,*,*,*,*
Number of re-offences,58,55,27,18,16,24,31,34
Number of offenders in cohort,37,37,34,27,22,18,21,26
Average number of previous offences per offender,52.2,53.5,53.1,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,22,20,12,23,14,18,20,31
Number of offenders in cohort,17,17,16,13,12,11,12,12
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,2,4,2,2,4,4,8,6
Number of offenders in cohort,6,6,7,6,5,7,6,6
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),41.9,47.5,43.6,52.6,33.3,36.6,36.2,36.4
Average number of re-offences per re-offender,2.50,3.11,2.18,2.20,2.00,2.20,2.41,2.25
Average number of re-offences per offender,1.05,1.48,0.95,1.16,0.67,0.80,0.87,0.82
Number of re-offences,45,59,37,44,24,33,41,36
Number of offenders in cohort,43,40,39,38,36,41,47,44
Average number of previous offences per offender,60.4,60.4,59.0,55.7,59.7,61.6,61.3,61.8
Proportion of offenders who re-offend (%),32.1,34.0,39.1,36.2,35.6,39.5,35.9,31.6
Average number of re-offences per re-offender,1.82,1.78,1.72,1.59,1.69,1.59,1.71,1.67
Average number of re-offences per offender,0.58,0.60,0.67,0.57,0.60,0.63,0.62,0.53
Number of re-offences,31,32,31,27,27,27,24,20
Number of offenders in cohort,53,53,46,47,45,43,39,38
Average number of previous offences per offender,63.4,64.3,66.2,67.6,66.3,66.0,68.7,68.2
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,4,7,5,3,4,4,6,5
Number of offenders in cohort,10,12,15,12,12,13,10,10
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),52.2,68.2,61.1,53.0,50.8,50.0,42.6,49.1
Average number of re-offences per re-offender,2.57,2.67,2.59,2.37,2.57,2.77,2.87,2.36
Average number of re-offences per offender,1.34,1.82,1.58,1.26,1.31,1.38,1.22,1.16
Number of re-offences,90,120,114,83,77,83,66,66
Number of offenders in cohort,67,66,72,66,59,60,54,57
Average number of previous offences per offender,80.7,80.3,79.4,79.5,77.5,80.0,79.6,83.7
Proportion of offenders who re-offend (%),56.3,*,*,*,*,*,*,*
Average number of re-offences per re-offender,3.00,*,*,*,*,*,*,*
Average number of re-offences per offender,1.69,*,*,*,*,*,*,*
Number of re-offences,54,34,46,46,44,50,40,46
Number of offenders in cohort,32,28,29,27,22,23,21,23
Average number of previous offences per offender,57.1,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,12,9,7,5,6,13,17,10
Number of offenders in cohort,9,6,7,8,6,7,5,7
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),35.1,33.3,33.3,33.3,34.1,33.3,32.7,34.7
Average number of re-offences per re-offender,2.10,1.94,1.83,1.76,1.60,2.13,2.31,2.06
Average number of re-offences per offender,0.74,0.65,0.61,0.59,0.55,0.71,0.76,0.71
Number of re-offences,42,33,33,30,24,32,37,35
Number of offenders in cohort,57,51,54,51,44,45,49,49
Average number of previous offences per offender,61.0,60.7,61.4,61.5,59.8,60.8,56.1,57.1
Proportion of offenders who re-offend (%),36.4,39.2,38.2,34.9,33.9,34.0,32.0,37.2
Average number of re-offences per re-offender,2.44,2.53,2.60,2.50,2.43,2.63,2.32,2.38
Average number of re-offences per offender,0.89,0.99,0.99,0.87,0.82,0.89,0.74,0.88
Number of re-offences,117,124,122,110,97,92,72,76
Number of offenders in cohort,132,125,123,126,118,103,97,86
Average number of previous offences per offender,61.0,62.0,64.3,65.6,67.1,61.3,66.6,67.6
Proportion of offenders who re-offend (%),37.0,37.8,35.0,36.4,29.1,43.0,39.5,42.0
Average number of re-offences per re-offender,2.60,1.97,2.64,2.43,1.78,2.62,2.44,2.29
Average number of re-offences per offender,0.96,0.74,0.93,0.88,0.52,1.13,0.97,0.96
Number of re-offences,78,61,74,68,41,89,83,78
Number of offenders in cohort,81,82,80,77,79,79,86,81
Average number of previous offences per offender,77.5,75.1,74.7,74.7,72.3,73.0,76.5,75.3
Proportion of offenders who re-offend (%),45.9,52.0,52.0,47.2,44.9,47.9,46.4,50.0
Average number of re-offences per re-offender,2.39,2.58,2.27,2.64,2.27,3.30,3.04,2.20
Average number of re-offences per offender,1.10,1.34,1.18,1.25,1.02,1.58,1.41,1.10
Number of re-offences,67,67,59,66,50,76,79,55
Number of offenders in cohort,61,50,50,53,49,48,56,50
Average number of previous offences per offender,61.1,61.6,60.8,59.2,56.6,56.1,58.0,60.8
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,20,15,14,14,17,30,28,30
Number of offenders in cohort,17,16,14,13,16,16,18,17
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),43.9,39.0,35.9,33.3,34.8,42.6,31.9,23.3
Average number of re-offences per re-offender,2.33,1.56,1.57,1.86,2.00,2.45,1.80,2.10
Average number of re-offences per offender,1.02,0.61,0.56,0.62,0.70,1.04,0.57,0.49
Number of re-offences,42,25,22,26,32,49,27,21
Number of offenders in cohort,41,41,39,42,46,47,47,43
Average number of previous offences per offender,66.5,69.4,65.8,69.1,70.4,68.5,69.3,60.0
Proportion of offenders who re-offend (%),66.2,67.2,65.6,56.6,52.1,56.3,48.0,48.7
Average number of re-offences per re-offender,3.07,3.14,3.20,3.30,2.98,3.16,3.00,2.73
Average number of re-offences per offender,2.03,2.11,2.10,1.87,1.55,1.78,1.44,1.33
Number of re-offences,132,135,128,99,188,199,144,101
Number of offenders in cohort,65,64,61,53,121,112,100,76
Average number of previous offences per offender,57.6,59.0,61.3,67.0,53.7,55.5,59.4,63.8
Proportion of offenders who re-offend (%),39.0,32.4,32.3,*,*,*,*,*
Average number of re-offences per re-offender,1.75,1.67,1.30,*,*,*,*,*
Average number of re-offences per offender,0.68,0.54,0.42,*,*,*,*,*
Number of re-offences,28,20,13,12,25,28,22,26
Number of offenders in cohort,41,37,31,27,27,27,25,23
Average number of previous offences per offender,41.1,40.3,41.6,*,*,*,*,*
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,28,23,17,24,35,26,16,27
Number of offenders in cohort,21,23,25,22,23,20,19,19
Average number of previous offences per offender,*,*,*,*,*,*,*,*
Proportion of offenders who re-offend (%),42.5,37.7,38.8,42.6,45.2,38.7,28.8,37.5
Average number of re-offences per re-offender,2.26,2.31,2.42,2.23,2.46,2.71,2.41,2.10
Average number of re-offences per offender,0.96,0.87,0.94,0.95,1.11,1.05,0.69,0.79
Number of re-offences,70,60,63,58,69,65,41,44
Number of offenders in cohort,73,69,67,61,62,62,59,56
Average number of previous offences per offender,45.8,45.5,48.7,50.2,52.0,57.1,55.6,53.7
Proportion of offenders who re-offend (%),*,*,*,*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*,*,*,*
Number of re-offences,18,24,14,4,11,8,5,19
