England and Wales,,12 months ending Jun 2003,Jun 2004,Jun 2005,Jun 2006,Jun 2007,Jun 2008(2),Jun 2009(2),Jun 2010,Jun 2011,Jun 2012,Number of offenders/persons and rates  Jun 2013
,Males,"1,167,060","1,276,008","1,218,609","1,165,071","1,118,649","1,093,575","1,030,674","1,032,695","989,513","920,111","840,236"
,Females,"254,104","279,906","279,721","282,015","279,417","289,396","300,627","313,284","301,081","298,053","287,284"
,Not Stated,*,*,*,*,*,"7,059","32,415","35,207","43,489","45,914","54,728"
,of which:  Others,"9,304","10,812","9,466","8,520","7,676","7,858","8,521","8,235","7,579","6,674","6,330"
,   Immediate custody,"109,126","108,145","102,864","99,457","93,185","99,152","99,802","99,550","103,770","103,809","92,500"
,   Rate(1),7.7,7.0,6.9,6.9,6.7,7.1,7.3,7.2,7.8,8.2,7.8
,   Suspended sentence,"2,626","2,661","3,821","21,936","38,867","41,894","42,275","46,456","48,976","46,863","42,240"
,   Rate(1),0.2,0.2,0.3,1.5,2.8,3.0,3.1,3.4,3.7,3.7,3.6
,   Community sentences,"192,827","196,057","202,958","198,550","191,684","193,297","195,570","188,401","184,149","165,837","132,329"
,   Rate(1),13.6,12.6,13.5,13.7,13.7,13.9,14.3,13.6,13.8,13.1,11.2
,   Fine,"975,776","1,102,495","1,052,750","994,133","942,963","919,694","909,932","927,363","874,299","833,895","810,403"
,   Rate,68.2,70.4,69.8,68.3,67.1,65.8,66.3,66.7,65.2,65.6,68.2
,   Absolute discharge,"20,268","16,508","13,963","12,554","11,249","10,615","8,959","9,120","8,464","7,774","7,264"
,   Rate,1.4,1.1,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6
,   Conditional discharge,"100,452","102,811","93,244","91,577","89,479","92,873","83,263","86,936","89,336","83,485","77,321"
,   Rate,7.0,6.6,6.2,6.3,6.4,6.6,6.1,6.3,6.7,6.6,6.5
,   Otherwise dealt with ,"29,394","38,049","38,196","37,399","38,315","40,363","32,436","31,595","32,668","29,089","26,521"
,   Rate,2.1,2.4,2.5,2.6,2.7,2.9,2.4,2.3,2.4,2.3,2.2
