Percentages,Estimate1,Range2,,,"England and Wales, 2010/11 BCS"
Vandalism,6.1,5.9,,,6.4
Vehicle vandalism,4.4,4.2,,,4.6
Other vandalism,1.9,1.8,,,2.1
Burglary,2.6,2.4,,,2.7
With entry,1.6,1.4,,,1.7
Attempts,1.1,0.9,,,1.2
With loss,1.1,1.0,,,1.2
No loss (including attempts),1.5,1.4,,,1.7
Vehicle-related theft,4.2,4.0,,,4.4
Theft from vehicles,3.0,2.8,,,3.2
Theft of vehicles,0.4,0.3,,,0.4
Attempts of and from,0.9,0.8,,,1.0
Bicycle theft,1.9,1.7,,,2.0
Other household theft,4.1,3.9,,,4.3
Unweighted base – household crimes,"46,728",,,,
Vehicle-related theft,5.4,5.1,,5.0,5.6
Theft from vehicles,3.9,3.7,,4.0,4.1
Theft of vehicles,0.5,0.4,,0.0,0.6
Attempts of and from,1.1,1.0,,1.0,1.3
Vehicle vandalism,5.7,5.4,,5.0,6.0
Unweighted base – vehicle crimes (owners),"37,248",,,,
Bicycle theft,4.2,3.9,,,4.5
Unweighted base – bicycle theft (owners),"20,736",,,,
Theft from the person,1.1,1.0,,,1.3
Snatch theft from person,0.2,0.1,,,0.2
Stealth theft from person,1.0,0.9,,,1.1
Other thefts of personal property,1.9,1.8,,,2.1
All violence,3.1,3.0,,,3.3
Wounding,0.8,0.7,,,0.9
Assault with minor injury,0.9,0.8,,,1.0
Assault without injury,1.2,1.1,,,1.3
Robbery,0.5,0.4,,,0.5
Violence with injury,1.8,1.6,,,1.9
Violence without injury,1.5,1.4,,,1.6
Domestic violence,0.4,0.4,,,0.5
Acquaintance,1.0,0.9,,,1.1
Stranger,1.5,1.3,,,1.6
Mugging (robbery + snatch theft),0.6,0.5,,,0.7
Unweighted base – personal crimes,"46,754",,,,
Household acquisitive crime,11.5,11.2,,,11.9
Personal acquisitive crime,3.4,3.2,,,3.6
Unweighted base ,"46,754",,,,
Burglary,10.3,9.7,,,11.0
Car crime,9.8,9.1,,,10.6
Violent crime,13.2,12.4,,,13.9
Unweighted base4,"11,627",,,,
High level of perceived anti-social behaviour,13.7,13.4,,,14.1
Unweighted base,"44,246",,,,
Criminal Justice System (CJS) effective,42.6,42.0,,,43.1
CJS fair,61.2,60.7,,,61.8
Unweighted base5,"44,972",,,,
Rating of local police,58.7,58.2,,,59.3
Police and local councils dealing with issues,52.3,51.8,,,52.9
Unweighted base6,"45,675",,,,
