CodeClass,Name,Accession,Count
Endogenous,C4BPA,NM_000715.3,8
Endogenous,C7,NM_000587.2,277
Endogenous,CASP10,NM_032977.3,20
Endogenous,PBK,NM_018492.2,61
Endogenous,CCL25,NM_005624.2,7
Endogenous,CD1D,NM_001766.3,22
Endogenous,TFRC,NM_003234.1,1133
Endogenous,FPR2,NM_001462.3,16
Endogenous,CD24,NM_013230.2,1755
Endogenous,TNFRSF14,NM_003820.2,956
Endogenous,DDX43,NM_018665.2,29
Endogenous,IL13RA2,NM_000640.2,10
Endogenous,IL7R,NM_002185.2,205
Endogenous,IL1A,NM_000575.3,47
Endogenous,IL5,NM_000879.2,7
Endogenous,GAGE1,NM_001040663.2,16
Endogenous,IKBKE,NM_014002.2,379
Endogenous,ETS1,NM_005238.3,576
Endogenous,INPP5D,NM_005541.3,336
Endogenous,CD53,NM_001040033.1,532
Endogenous,CD9,NM_001769.2,6808
Endogenous,TICAM2,NM_021649.4,117
Endogenous,FCER1A,NM_002001.2,869
Endogenous,PIN1,NM_006221.2,332
Endogenous,C4B,NM_001002029.3,63
Endogenous,TNFRSF18,NM_004195.2,206
Endogenous,KIR3DL1,NM_013289.2,10
Endogenous,ITGB1,NM_033666.2,2320
Endogenous,CTSG,NM_001911.2,746
Endogenous,IL17F,NM_052872.3,6
Endogenous,LTB,NM_002341.1,158
Endogenous,SPP1,NM_000582.2,118
Endogenous,LGALS3,NM_001177388.1,5541
Endogenous,GZMB,NM_004131.3,146
Endogenous,CCL28,NM_148672.2,51
Endogenous,CARD11,NM_032415.2,82
Endogenous,ATM,NM_000051.3,40
Endogenous,ELK1,NM_005229.3,212
Endogenous,RORA,NM_134261.2,4120
Endogenous,IRAK4,NM_016123.1,289
Endogenous,CXCL16,NM_001100812.1,405
Endogenous,SPN,NM_003123.3,145
Endogenous,CXCR4,NM_003467.2,652
Endogenous,PRF1,NM_005041.3,111
Endogenous,JAK1,NM_002227.1,700
Endogenous,CCL26,NM_006072.4,29
Endogenous,DDX58,NM_014314.3,344
Endogenous,CSF2,NM_000758.2,11
Endogenous,CCL15,NM_032965.3,8
Endogenous,VCAM1,NM_001078.3,253
Endogenous,C1QA,NM_015991.2,457
Endogenous,ATG10,NM_001131028.1,207
Endogenous,TNFSF10,NM_003810.2,1481
Endogenous,TLR6,NM_006068.2,113
Endogenous,CLEC5A,NM_013252.2,83
Endogenous,S100B,NM_006272.1,383
Endogenous,TLR10,NM_030956.2,21
Endogenous,OAS3,NM_006187.2,408
Endogenous,F13A1,NM_000129.3,4542
Endogenous,IL17B,NM_014443.2,13
Endogenous,CD22,NM_001771.2,52
Endogenous,CD209,NM_021155.2,161
Endogenous,SMPD3,NM_018667.3,490
Endogenous,TIRAP,NM_148910.2,210
Endogenous,CCL16,NM_004590.2,42
Endogenous,CD83,NM_004233.3,250
Endogenous,STAT5B,NM_012448.3,632
Endogenous,KLRG1,NM_005810.3,44
Endogenous,MAP2K2,NM_030662.2,1700
Endogenous,CXCR2,NM_001557.2,176
Endogenous,ITGA2B,NM_000419.3,16
Endogenous,CD1E,NM_001042583.1,37
Endogenous,IL1B,NM_000576.2,112
Endogenous,MAGEA1,NM_004988.4,7
Endogenous,DUSP4,NM_057158.2,332
Endogenous,IL1RAP,NM_002182.2,416
Endogenous,GPI,NM_000175.2,2073
Endogenous,JAM3,NM_032801.3,439
Endogenous,EBI3,NM_005755.2,14
Endogenous,MFGE8,NM_001114614.1,1374
Endogenous,CDH1,NM_004360.2,2897
Endogenous,CXCL14,NM_004887.4,16201
Endogenous,FOXP3,NM_014009.3,107
Endogenous,STAT3,NM_139276.2,5286
Endogenous,RELB,NM_006509.2,275
Endogenous,MAP3K5,NM_005923.3,501
Endogenous,CXCR5,NM_001716.3,7
Endogenous,BID,NM_001196.2,76
Endogenous,EP300,NM_001429.2,1195
Endogenous,MEF2C,NM_002397.3,563
Endogenous,IFI35,NM_005533.3,126
Endogenous,CD36,NM_001001548.2,2524
Endogenous,PSEN2,NM_000447.2,204
Endogenous,CXCR3,NM_001504.1,63
Endogenous,TLR1,NM_003263.3,319
Endogenous,MRC1,NM_002438.2,517
Endogenous,IKBKG,NM_003639.2,487
Endogenous,IL1R2,NM_173343.1,496
Endogenous,CR1,NM_000651.4,92
Endogenous,CFD,NM_001928.2,3749
Endogenous,PTPRC,NM_080921.3,465
Endogenous,APOE,NM_000041.2,7973
Endogenous,LY9,NM_001033667.1,90
Endogenous,ITGA1,NM_181501.1,420
Endogenous,HLA-DMB,NM_002118.3,583
Endogenous,FCER1G,NM_004106.1,351
Endogenous,IFNA2,NM_000605.3,8
Endogenous,CD40,NM_001250.4,338
Endogenous,CASP1,NM_001223.3,421
Endogenous,SIGLEC1,NM_023068.3,412
Endogenous,ITGAX,NM_000887.3,252
Endogenous,CCL19,NM_006274.2,2637
Endogenous,PTGS2,NM_000963.1,34
Endogenous,CD27,NM_001242.4,117
Endogenous,PSMB10,NM_002801.2,440
Endogenous,PSMB8,NM_004159.4,1380
Endogenous,TNFSF15,NM_001204344.1,48
Endogenous,HLA-A,NM_002116.5,6398
Endogenous,CCR4,NM_005508.4,28
Endogenous,HMGB1,NM_002128.4,1533
Endogenous,THBS1,NM_003246.2,585
Endogenous,FOS,NM_005252.2,1956
Endogenous,SPA17,NM_017425.3,135
Endogenous,SLAMF7,NM_021181.3,83
Endogenous,LILRB1,NM_001081637.1,39
Endogenous,IL21,NM_021803.2,3
Endogenous,HLA-C,NM_002117.4,5295
Endogenous,TOLLIP,NM_019009.2,1122
Endogenous,TAP2,NM_000544.3,414
Endogenous,IL6,NM_000600.1,30
Endogenous,IL21R,NM_021798.2,44
Endogenous,CD84,NM_001184879.1,297
Endogenous,KLRC2,NM_002260.3,26
Endogenous,TNFRSF11A,NM_003839.2,139
Endogenous,CD3G,NM_000073.2,44
Endogenous,VEGFC,NM_005429.2,185
Endogenous,IL2RG,NM_000206.1,186
Endogenous,IFNGR1,NM_000416.1,1724
Endogenous,LRRN3,NM_001099660.1,49
Endogenous,TLR4,NM_138554.2,479
Endogenous,LY96,NM_015364.2,125
Endogenous,C3,NM_000064.2,971
Endogenous,PRG2,NM_002728.4,155
Endogenous,AXL,NM_021913.2,675
Endogenous,USP9Y,NM_004654.3,152
Endogenous,ITGB4,NM_001005731.1,1713
Endogenous,IL1R1,NM_000877.2,1054
Endogenous,CD96,NM_005816.4,102
Endogenous,NOS2A,NM_153292.1,9
Endogenous,CCL23,NM_145898.1,12
Endogenous,CCL2,NM_002982.3,439
Endogenous,GZMK,NM_002104.2,84
Endogenous,CD46,NM_172350.1,3031
Endogenous,IGF2R,NM_000876.1,805
Endogenous,CYBB,NM_000397.3,258
Endogenous,PRKCD,NM_006254.3,838
Endogenous,IL15RA,NM_002189.2,444
Endogenous,CCR3,NM_001837.2,9
Endogenous,IL8,NM_000584.2,33
Endogenous,AIRE,NM_000383.2,24
Endogenous,SLAMF6,NM_001184714.1,40
Endogenous,PRAME,NM_006115.3,94
Endogenous,TNFRSF13C,NM_052945.3,103
Endogenous,MAP3K7,NM_145333.1,727
