/lambda (nm),alpha (1/m)
350,4.165E+07
360,4.032E+07
370,3.940E+07
380,3.919E+07
390,3.899E+07
400,3.864E+07
410,3.800E+07
420,3.680E+07
430,3.478E+07
440,3.170E+07
450,2.932E+07
460,2.677E+07
470,2.486E+07
480,2.304E+07
490,2.154E+07
500,2.011E+07
510,1.897E+07
520,1.788E+07
530,1.683E+07
540,1.606E+07
550,1.531E+07
560,1.459E+07
570,1.389E+07
580,1.343E+07
590,1.278E+07
600,1.236E+07
610,1.195E+07
620,1.155E+07
630,1.127E+07
640,1.090E+07
650,1.063E+07
660,1.028E+07
670,9.940E+06
680,9.702E+06
690,9.470E+06
700,9.245E+06
710,9.026E+06
720,8.814E+06
730,8.607E+06
740,8.406E+06
750,8.210E+06
760,8.019E+06
770,7.833E+06
780,7.668E+06
790,7.524E+06
800,7.383E+06
810,7.214E+06
820,7.049E+06
830,6.889E+06
840,6.732E+06
850,6.608E+06
860,6.473E+06
870,6.355E+06
880,6.197E+06
890,6.043E+06
900,5.892E+06
910,5.731E+06
920,5.600E+06
930,5.472E+06
940,5.347E+06
950,5.225E+06
960,5.066E+06
970,4.897E+06
980,4.744E+06
990,4.493E+06
1000,4.222E+06
1010,3.956E+06
1020,3.671E+06
1030,3.404E+06
1040,3.129E+06
1050,2.848E+06
1060,2.561E+06
1070,2.314E+06
1080,2.094E+06
1090,1.891E+06
1100,1.714E+06
1110,1.551E+06
1120,1.380E+06
1130,1.223E+06
1140,1.080E+06
1150,9.506E+05
1160,8.341E+05
1170,7.303E+05
1180,6.389E+05
1190,5.597E+05
1200,4.922E+05
1210,4.362E+05
1220,3.811E+05
1230,3.065E+05
1240,2.331E+05
1250,1.709E+05
1260,1.197E+05
1270,6.926E+04
1280,2.945E+04
1290,9.741E+03
1300,1.000E+03
