,z/D,U/Vin,u'/Vin W/Vin w'/Vin,,
,3.5,0.8200292499999979,0.5698382351576017,-0.0262368333333331,0.3208533479685358
,3.25,-0.2728819598559952,0.2748749270960599,0.0934670750382849,0.2352208344564237
,3,-0.2332152238465049,0.2795286105914205,-0.052378398219191,0.2070362800060092
,2.75,0.110326210324449,0.329509678983483,-0.1673877925253237,0.2262535411207523
,2.5,1.06548158333333,0.4320336231216765,0.0620585186038474,0.1665162614725042
,2.25,2.734418083333334,0.1209549819050317,0.1204749166666668,0.0987458213607881
,2,1.655274051995365,0.5486367720203965,-0.0275699857284005,0.2807040920646602
,1.75,-0.5023108946338642,0.3117848199930219,0.0687017530753521,0.3334782797802444
,1.5,-0.1417560395910657,0.2771944169429736,0.0357001366120218,0.2213741698643517
,1.25,0.1877536118090452,0.2216839000673462,-0.0711432246998283,0.1726800409897189
,1,1.077669083793741,0.3717374971171111,0.0572866939793373,0.1883911643899637
,0.75,2.697080249999987,0.1441204766294292,0.1233141259291028,0.089455022499867
,0.5,1.43366612164814,0.5224319832974119,-0.0361580046307781,0.2165273638656829
,0.25,-0.1886842841163315,0.2463223761781355,0.0988796172674675,0.1858913874526485
,0,-0.118919546309356,0.3200412696319356,0.0143141688199827,0.1954073869036222
,-0.25,0.06103050957481337,0.2538188365780601,-0.0937189273830494,0.1542231073867174
,-0.5,0.4023213794998623,0.249933472557596,-0.0211265841438255,0.1125928721646543
,-0.75,2.954663187280002,0.1931740876985332,-0.0484637755980036,0.1168158408024877
,-1,2.664401617757718,0.320216450720255,-0.0623406666666667,0.1481102562279577
,-1.25,0.2171314805785797,0.08446265652169085,0.107172338884866,0.0951375220185071
,-1.5,-0.01931472620946301,0.148781271506454,0.0999074074074074,0.1663833158580144
,-1.75,-0.2582631355030849,0.1934942827348828,-0.0643006204173717,0.2024863258432283
,-2,0.1162138461538464,0.316696056391722,-0.0382459707787316,0.2574723858690273
,-2.25,3.062776093141662,0.2765959097037267,-0.0870226509426762,0.1026021694322665
,-2.5,2.087465281525447,0.4623665728897852,-0.0895987327369745,0.1658272354621567
,-2.75,0.229941710722516,0.114848196566317,0.0577619532044761,0.1122393887063374
,-3,0.0558748050474975,0.1792631796604239,0.1035865832720138,0.1857667165442818
,-3.25,-0.3375019504583568,0.2501812921749846,0.0871359299233537,0.2849337156380181
,-3.5,-0.2825838086185042,0.469564460931307,-0.0673709239130435,0.4802165573519027
