,Camponotus.modoc,Camponotus.vicinus,Formica.accreta,Formica.fusca,Formica.lasiodes,Formica.micropthalma,Formica.obscuripes,Formica.ravida,Temnothorax.nevadensis,Temnothorax.nitens,Temnothorax.rugatulus
170.5.1,0,0,0,1,0,0,1,0,2,0,0
170.5.2,0,0,0,2,0,0,0,0,0,0,0
170.5.3,0,0,2,0,0,0,0,0,0,0,0
170.5.4,0,0,0,0,0,0,0,0,0,0,0
170.5.5,0,0,0,1,1,0,0,0,0,0,0
170.5.6,0,0,0,2,2,1,0,0,0,0,0
170.5.7,0,0,0,1,1,0,0,0,0,0,0
170.5.8,0,0,1,2,5,0,0,0,0,0,0
170.5.9,0,2,0,1,1,0,0,0,0,0,0
170.5.10,0,0,0,0,2,0,0,0,0,0,0
170.5.11,0,0,0,0,0,0,0,0,0,0,0
170.5.12,0,0,0,0,0,0,0,0,0,0,0
170.5.13,0,0,0,0,0,0,0,0,0,0,0
170.5.14,0,0,0,0,0,0,0,0,0,0,0
170.5.15,0,0,0,0,0,0,0,0,0,0,0
170.5.16,0,0,0,0,0,0,0,0,0,0,0
170.5.17,0,0,0,0,0,0,0,0,0,0,0
170.5.18,0,0,0,0,0,0,0,0,0,0,0
170.5.19,0,0,0,0,0,0,0,0,0,0,0
170.5.20,0,0,0,0,0,0,0,0,0,0,0
170.5.21,0,0,0,0,0,0,0,0,0,0,0
170.5.22,0,0,0,0,0,0,0,0,0,0,0
170.5.23,0,1,0,0,0,0,0,0,0,0,0
170.5.24,0,0,0,0,0,0,0,0,0,0,0
174.2.1,0,0,0,0,0,0,0,0,0,0,0
174.2.2,1,0,3,16,4,0,0,0,0,0,0
174.2.3,0,0,1,4,1,0,0,0,0,0,0
174.2.4,3,0,0,1,0,0,0,0,0,0,0
174.2.5,2,0,0,0,0,0,0,0,0,0,0
174.2.6,1,0,0,0,0,0,0,0,0,0,0
174.2.7,0,0,0,0,0,0,0,0,0,0,0
174.2.8,0,0,0,0,0,0,0,0,0,0,0
174.2.9,1,0,0,0,0,0,0,0,0,0,0
174.2.10,0,0,0,0,0,0,0,0,0,0,0
174.2.11,0,0,0,0,0,0,0,0,0,0,0
174.2.12,0,0,0,0,0,0,0,0,0,1,0
174.2.13,0,0,0,0,0,0,0,0,0,0,0
174.2.14,0,0,0,0,0,0,0,0,0,0,0
174.2.15,0,0,0,0,0,0,0,0,0,0,0
174.2.16,0,0,0,0,0,0,0,0,0,0,0
174.2.17,0,0,0,0,0,0,0,0,0,0,0
174.2.18,0,0,0,1,0,0,0,0,0,0,0
174.2.19,0,0,1,3,1,0,0,1,0,0,0
174.2.20,0,0,1,6,1,0,0,0,0,0,0
174.2.21,1,0,0,2,0,0,0,0,0,0,1
174.2.22,1,0,0,5,0,0,0,0,0,0,0
174.2.23,0,0,0,3,0,0,0,0,0,0,1
174.2.24,0,0,0,1,0,0,0,0,0,0,0
