,A100,B100,C100,D100,E100,A3000,B3000,C3000,D3000,E3000
Lactic_acid,-3.502292227,-3.62487606,-2.916753816,-3.386256098,-2.736881057,-4.116774771,-2.519771523,-3.004330394,0.369813181,-2.197580106
Acetic_acid,-8.805315558,-8.03418714,-7.275803006,-7.163922898,-7.464103778,-7.687547192,-6.068002084,-5.636502055,-5.611949838,-7.095315266
Pyruvic_acid,-8.806858506,-4.457306022,-1.328568303,-1.089279481,-1.921618011,-7.956747165,-2.834270344,-1.368600454,-0.890073154,-2.022816026
L-valine,-10.87856788,-8.018503436,-6.123429639,-6.345243529,-8.764306882,-11.20157743,-7.449600712,-6.712306843,-6.360558913,-8.08050438
L-alanine,-7.9582771,-2.077231461,-0.238898543,-1.60723626,-2.600763154,-7.351582376,-2.373827583,-1.252785976,0.018322643,-1.127265671
Bisphosphite,-5.973817817,-5.206064745,-2.730559664,-2.153569888,-4.824449146,-5.166681195,-5.066440967,-3.058467101,-4.480205312,-7.290767423
Oxalic_acid,-6.472824729,-5.085003567,-4.295293794,-3.977013416,-5.368153185,-5.767436057,-5.308383797,-5.719739316,-4.86940868,-5.507981463
Phosphoric_acid,-6.92752449,-4.833111859,-3.328711512,-2.497251503,-0.946267,-7.60471847,-3.964557516,-3.521153242,-2.19646671,-1.4562152
L-proline,-8.362572983,-3.404109942,-1.92958237,-5.536791932,-5.493019842,-9.103700255,-3.485362648,-2.321335471,-2.868138333,-3.811292256
Unknown_7.22,-4.798184613,-4.122707859,-3.63993008,-4.009147334,-4.496087258,-4.861203081,-4.307957399,-4.514956588,-4.002779463,-4.745165241
Malonic_acid,-11.58141674,-10.98607651,-10.18338952,-10.34315756,-10.15826671,-11.51710555,-10.84327999,-10.53992676,-9.358432391,-10.44505964
Valine,-9.067323235,-4.672213863,-2.986244556,-4.092419043,-5.500939401,-8.499035138,-5.138861735,-4.486242145,-2.908241125,-4.592638034
Phosphonic_acid,-15.25377257,-14.62533847,-13.26788901,-9.40333828,-10.96276367,-16.76555427,-15.28686999,-13.0482397,-9.157338839,-8.150996453
Benzoic_acid,-6.097298176,-6.32383098,-5.735501486,-6.588078075,-6.97009173,-7.639505925,-6.597257809,-6.765973368,-6.316185356,-6.669393262
L-Serine,-3.896451017,-1.491311188,0.141640673,-1.148414754,-1.757278024,-5.142383049,-2.009339965,-0.500467125,-0.856942408,-0.583431065
Phosphoric_acid,-5.37931393,-4.657808856,-3.534088104,-3.291501593,-3.889592716,-5.339541683,-4.497452317,-3.882028787,-2.27986784,-3.148490411
L-Threonine,-6.049867144,-6.261537003,-4.751842242,-2.582778229,-3.351869151,-6.724932976,-6.915477523,-4.415054199,-2.267603669,-2.132357034
Unknown_8.10,-4.768354558,-4.836579744,-4.553990427,-5.547220646,-5.20415234,-5.070122156,-5.623368366,-5.137863259,-4.332086286,-4.666610231
Glycine,-5.169185126,-2.95489555,-1.705745073,-2.63816985,-3.194083552,-5.132340579,-3.018748998,-2.602845543,-1.407787455,-2.250663393
Succinic_acid,-8.300884426,-4.122430601,-3.061401457,-2.699460399,-4.23245379,-7.805650382,-3.789829496,-3.487794409,-2.219025241,-3.79502741
Glyceric_acid,-7.328740079,-6.474661892,-4.093749434,-3.400445658,-3.880690041,-8.676935057,-5.220837719,-4.293749558,-2.048443535,-2.482035183
Fumaric_acid,-7.851696255,-3.051633033,-2.458999531,-2.862532391,-2.418028189,-11.39763654,-2.528727024,-2.803907039,-2.62713669,-1.277639331
L-alanine,-7.567530563,-5.245009595,-2.849439608,-5.688469899,-6.537210557,-6.687645781,-3.913818462,-1.604303425,-3.411055921,-4.826874158
Unknown_8.80,-6.045451963,-6.397221593,-4.921581819,-4.799740557,-5.511554856,-6.619013336,-4.987816597,-4.672879166,-2.501764818,-3.656014988
Unknown_8.95,-5.380404014,-5.784214083,-5.192043113,-5.355878898,-4.942732334,-7.781436471,-4.77201894,-3.925731901,-2.826671779,-2.548616145
Tris-aminmehtane_ether,-4.372358382,-2.408377073,-0.951691373,-3.208129349,-2.904259676,-3.169210709,-2.563381908,-1.957354637,-2.170682178,-0.188017354
Malic_acid,-4.219928615,-2.320911519,-0.600152701,-1.027103732,-1.591980609,-6.616913986,-2.372030997,-1.617695594,-0.974066058,-1.188681563
L-glutamine,-9.738540603,-6.565518162,-5.246205507,-4.500691933,-6.800348173,-6.217411359,-7.481023682,-5.411481819,-4.612019076,-5.73791656
L-proline,-4.734728335,-1.947816471,1.153327126,-3.906449982,-1.336527729,-5.20897467,-0.034478059,1.34153952,-1.483157952,-4.459804796
N-acetylglutamic_acid,-5.049117402,-1.292325761,0.931262061,0.31898725,-1.163700901,-7.869160265,-0.774318135,0.38993129,0.261761128,0.250525057
L-Aspartic_acid,-3.82846088,#VALUE!,-0.862124163,-1.877914027,-2.192752836,-4.413047275,-4.402215447,-3.509077678,-2.601599746,-2.813519057
Threonic_acid,-5.632905597,-4.604712862,-2.936031564,-2.78644835,-3.302842963,-5.817473106,-3.73570832,-4.524166305,-4.343915195,-3.08821933
2_ketoglutaric_acid_mx,-9.666013968,-7.381331222,-5.644411991,-4.957691567,-7.266341705,-10.28012466,-6.920737908,-6.281408553,-4.266303096,-6.125640437
N-acetyl-tris_ether,-2.229046396,0.709095838,1.649571949,0.386991081,0.121697685,-2.577554446,0.74543211,0.411544225,-0.01929014,-0.605491974
Unknown(benzene)_10.66,-6.088172215,-4.806762746,-3.408315515,-1.897630362,-3.067110709,-5.041619492,-3.560883336,-3.55578359,-2.126115934,-1.807432364
Propenoic_acid,-8.096470611,-6.69909995,-5.448810262,-7.413526724,-6.452194246,-7.512209802,-7.256302173,-6.234417555,-5.830889879,-5.187795051
L-Glutamic_acid,-3.713533183,0.450984697,1.738085217,-0.339474533,-0.468853848,-6.968161395,0.513963785,0.287690477,-0.943099876,-3.813856084
Unknown_11.12,-5.405518247,-2.153051568,-2.433071252,-2.507789189,#VALUE!,-5.381390512,-1.842285488,-3.659537903,-2.342951526,-0.993433273
Xylose_mx2,-4.231929345,-5.040969693,-2.537511448,-5.095505639,-4.518562645,-6.061145544,-3.674790118,-3.493960082,-4.770156635,-5.145195769
Xylitol,-5.299573134,-3.603064225,-2.023954895,-1.622080323,-2.545175006,-5.805599245,-4.145471946,-3.068191772,-1.823433209,-3.197230446
Ribitol,#VALUE!,-3.251689897,#VALUE!,-1.894828662,-1.995310527,#VALUE!,#VALUE!,#VALUE!,-2.180660664,#VALUE!
Putrescine,-1.638223482,-0.648991785,0.616794648,-1.336569354,-3.390491318,-3.019500577,-0.079251677,0.501910091,-1.159695148,-3.39899996
Phosphoric_acid,-7.249181708,-1.287452168,1.066424711,0.550368497,-0.235121691,#VALUE!,-1.134820123,-0.616252512,0.039482154,-0.428450928
Unknown_11.90,-4.060884293,-5.410642316,-1.190529914,-1.601816498,-2.359030377,-4.393460873,-3.091140046,-1.422488251,-1.274223684,-0.993182446
Lactic_acid_Bisphosphate,-8.964732316,-6.921529227,-3.648757236,-3.778144694,-4.1131267,-8.89294363,-5.322887861,-3.955647722,-4.00510224,-3.923851771
Glyceric_acid,-10.0319009,-6.624902294,-3.944050152,-3.251858506,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Citric_acid,-13.71529167,-9.092579055,-3.348921501,-3.309183559,#VALUE!,#VALUE!,-7.509400655,-4.997601774,-4.358875134,-6.058043379
Dehydroascorbic_acid,-5.925716079,-3.73388085,-0.432242498,0.121714728,-0.672907745,-5.576786757,-0.631636908,0.027733012,1.208868541,1.23323024
Dehydroascorbic_acid,-9.262290469,-9.052019179,-3.968344851,-3.517430552,-8.267621388,-8.884760986,-6.708313167,-4.949345531,-1.36982554,-3.862428396
Tyrosine,-10.36022523,-5.442186393,-3.016999262,-2.906043255,#VALUE!,-11.33154832,-3.58365746,-2.831734509,-1.704226309,-2.391647531
Galactose,-7.454728101,-9.602284231,-4.803927724,-4.432385512,-5.860196073,-9.294879358,-8.062037461,-4.95631414,-2.121898861,-3.230736648
Mannose_mx,-10.55760058,-4.426556458,-1.956951316,-1.737218095,-3.257970692,-6.171922729,-7.679102158,-2.30913784,-0.388514815,-1.049399211
Unknown_12.99,-7.577442581,-3.213875287,-1.798086845,-2.87708107,-2.622209208,-5.838820539,-4.19735555,-4.023509171,-3.636177479,-5.260843876
Sorbitol,-1.180315373,-0.244983577,0.634443778,0.048372229,-0.734625161,-0.830876092,-1.100186248,-0.222426396,-0.234155378,-1.11040363
Ascorbic_acid,#VALUE!,#VALUE!,-2.274634123,-2.091652145,#VALUE!,#VALUE!,-2.715935528,-0.88781344,0.136865152,-1.063672353
a-linoleic_acid,-8.009580565,-5.083947037,-2.253148306,-1.668321513,#VALUE!,-8.557548313,-3.45816128,-2.668871132,-1.109864243,-1.042090976
Hexadecanoic_acid,-1.97812624,-2.391190883,-1.227761032,-1.390787078,#VALUE!,-3.309951407,-2.226275801,-2.687544379,-1.622977596,-2.220422282
Myo-inosito,-5.223872004,-3.970985845,-2.430092167,-1.769478828,-1.754129435,-5.230481892,-2.518432884,-1.983746568,-1.400156751,-0.993072517
Phosphoric_acid,-8.628535056,-2.462666167,-1.811240221,-0.174378542,-1.21139916,-12.21764692,-0.962425663,-0.226949881,0.569587437,-0.116264041
alpha-linolenic_acid,-5.36030243,-5.228798598,-2.700421376,-2.165796644,-2.886261825,-8.837418057,-3.953491031,-3.466753323,-1.409756961,-1.609416175
Octadecanoic_acid,-0.221800296,-0.950494296,-0.755057976,-1.837526143,#VALUE!,-2.109048725,-0.887196843,-1.189313403,-0.439253308,-1.437493484
Glucose_6_p,-10.44393914,-7.507117595,-2.61722464,-2.543023967,#VALUE!,-10.48849912,-3.862230004,-1.367130496,-0.842333665,-1.501686929
Myo-inositol,-8.404594634,-5.053786183,-3.377953353,-2.261752417,-3.266939186,-9.735864326,-4.27108051,-3.634593185,-2.166483807,-2.963410404
Uridine,-13.62860212,-11.29094666,-9.007009623,-3.851379291,-5.124006903,-14.15566378,-9.574108437,-8.213306,-2.144023577,-2.569093062
Unknown_16.48,-9.580723896,-6.659495438,-5.424377699,-6.777691153,#VALUE!,-9.896390001,-5.860348764,-6.599591252,-7.163838284,-6.742529295
Phthalic_acid,-1.706892659,-2.050311046,-1.738594281,-2.307754902,#VALUE!,-2.33756331,-2.183307688,-2.848711504,-2.39067591,-2.564133999
Sucrose,-3.180842356,-3.472596672,-3.12841011,-2.822391029,#VALUE!,-3.99045771,-3.270931495,-4.19504046,-2.847080287,-3.286428764
Adenosine,-5.971243033,-3.900137859,-0.344763153,-0.342426707,#VALUE!,-7.383694047,-4.009910981,-3.070111335,-1.083245813,-0.633685887
Unknown_17.04,-2.653407321,-1.741333548,-0.399434115,-1.404779402,-2.001188493,-3.309033504,-1.393475054,-1.149798166,-0.578038946,-0.006832402
Galactinol,-9.07540743,-7.68106143,-4.897732455,-3.8648848,#VALUE!,-9.94183014,-6.723190849,-5.927701021,-2.846400434,-3.088483702
