Year,"Resident population, including Armed Forces overseas Number (1,000)",Percent change \1,"Resident population (1,000)","Civilian population (1,000)"
1900.0,(NA),(NA),76094.0,(NA)
1905.0,(NA),(NA),83822.0,(NA)
1910.0,(NA),(NA),92407.0,(NA)
1915.0,(NA),(NA),100546.0,(NA)
1920.0,(NA),(NA),106461.0,(NA)
1925.0,(NA),(NA),115829.0,(NA)
1930.0,(NA),(NA),123077.0,(NA)
1935.0,(NA),(NA),127250.0,(NA)
1940.0,(NA),(NA),132457.0,(NA)
1941.0,(NA),(NA),133669.0,(NA)
1942.0,(NA),(NA),134617.0,(NA)
1943.0,(NA),(NA),135107.0,(NA)
1944.0,(NA),(NA),133915.0,(NA)
1945.0,(NA),(NA),133434.0,(NA)
1946.0,(NA),(NA),140686.0,(NA)
1947.0,(NA),(NA),144083.0,(NA)
1948.0,(NA),(NA),146730.0,(NA)
1949.0,(NA),(NA),149304.0,(NA)
1950.0,152271.0,(X),151868.0,150790.0
1951.0,154878.0,1.71,153982.0,151599.0
1952.0,157553.0,1.73,156393.0,153892.0
1953.0,160184.0,1.67,158956.0,156595.0
1954.0,163026.0,1.77,161884.0,159695.0
1955.0,165931.0,1.78,165069.0,162967.0
1956.0,168903.0,1.79,168088.0,166055.0
1957.0,171984.0,1.82,171187.0,169110.0
1958.0,174882.0,1.68,174149.0,172226.0
1959.0,177830.0,1.69,177135.0,175277.0
1960.0,180671.0,1.6,179979.0,178140.0
1961.0,183691.0,1.67,182992.0,181143.0
1962.0,186538.0,1.55,185771.0,183677.0
1963.0,189242.0,1.45,188483.0,186493.0
1964.0,191889.0,1.4,191141.0,189141.0
1965.0,194303.0,1.26,193526.0,191605.0
1966.0,196560.0,1.16,195576.0,193420.0
1967.0,198712.0,1.09,197457.0,195264.0
1968.0,200706.0,1.0,199399.0,197113.0
1969.0,202677.0,0.98,201385.0,199145.0
1970.0,205052.0,1.17,203984.0,201895.0
1971.0,207661.0,1.27,206827.0,204866.0
1972.0,209896.0,1.08,209284.0,207511.0
1973.0,211909.0,0.96,211357.0,209600.0
1974.0,213854.0,0.92,213342.0,211636.0
1975.0,215973.0,0.99,215465.0,213789.0
1976.0,218035.0,0.95,217563.0,215894.0
1977.0,220239.0,1.01,219760.0,218106.0
1978.0,222585.0,1.06,222095.0,220467.0
1979.0,225055.0,1.11,224567.0,222969.0
1980.0,227726.0,1.19,227225.0,225621.0
1981.0,229966.0,0.98,229466.0,227818.0
1982.0,232188.0,0.97,231664.0,229995.0
1983.0,234307.0,0.91,233792.0,232097.0
1984.0,236348.0,0.87,235825.0,234110.0
1985.0,238466.0,0.9,237924.0,236219.0
1986.0,240651.0,0.92,240133.0,238412.0
1987.0,242804.0,0.89,242289.0,240550.0
1988.0,245021.0,0.91,244499.0,242817.0
1989.0,247342.0,0.95,246819.0,245131.0
1990,250132.0,1.13,249623.0,247983.0
1991,253493.0,1.34,252981.0,251370.0
1992,256894.0,1.34,256514.0,254929.0
1993,260255.0,1.31,259919.0,258446.0
1994,263436.0,1.22,263126.0,261714.0
1995,266557.0,1.18,266278.0,264927.0
1996,269667.0,1.17,269394.0,268108.0
1997,272912.0,1.2,272647.0,271394.0
1998,276115.0,1.17,275854.0,274633.0
1999,279295.0,1.15,279040.0,277841.0
2000,282384.558,1.1061988220340568,282171.936,280927.321
2001,285267.266,1.020844772963819,285039.803,283803.584
2002,288027.551,0.9676136483181265,287726.647,286460.08
2003.0,290704.13,0.9292788105537957,290210.914,288991.341
2004.0,293309.573,0.8962524887417217,292892.127,291631.288
2005.0,295993.614,0.9150881004487456,295560.549,294369.695
2006.0,298765.586,0.9364972313220273,298362.973,297183.075
2007.0,301714.354,0.9869838221594845,301290.332,300135.054
2008,304482.639,0.9175184949934575,304059.724,302887.16
