STATE OF RESIDENCE AND COUNTRY OF BIRTH,"2000 (1,000)","2007 (1,000)","2008 (1,000)"
California,2510.0,2840.0,2850.0
Texas,1090.0,1710.0,1680.0
Florida,800.0,960.0,840.0
New York,540.0,640.0,640.0
Arizona,330.0,530.0,560.0
Illinois,440.0,560.0,550.0
Georgia,220.0,490.0,460.0
New Jersey,350.0,470.0,400.0
North Carolina,260.0,380.0,380.0
Nevada,170.0,260.0,280.0
Other states,1760.0,2940.0,2950.0
Mexico,4680.0,6980.0,7030.0
El Salvador,430.0,540.0,570.0
Guatemala,290.0,500.0,430.0
Philippines,200.0,290.0,300.0
Honduras,160.0,280.0,300.0
Korea,180.0,230.0,240.0
China,190.0,290.0,220.0
Brazil,100.0,190.0,180.0
Ecuador,110.0,160.0,170.0
India,120.0,220.0,160.0
Other countries,2000.0,2100.0,2000.0
