Type of Main organization \1,Unit indicator,"Total, both sexes",Sex Men,Women,Educational attainment \2 Less than a high school diploma,"High school graduate, no college \3",Less than a bachelor's degree \4,College graduates,"Employment status Civilian labor force Total, civilian labor force","Employed Total, employed",Full time \5,Part time \6,Unemployed,Not in the labor force
Total volunteers,1000.0,61803.0,26268.0,35535.0,2427.0,10998.0,15519.0,24620.0,44313.0,42131.0,33344.0,8788.0,2181.0,17491.0
Percent of population,,26.4,23.2,29.4,9.4,19.1,30.0,42.2,28.5,28.9,27.8,34.2,22.3,22.2
Median annual hours \5,,52.0,52.0,52.0,48.0,52.0,52.0,60.0,48.0,48.0,48.0,52.0,48.0,70.0
Civic and political \6,Percent,5.5,6.8,4.4,3.4,4.6,5.5,6.3,5.6,5.6,5.7,5.0,5.6,5.2
Educational or youth service,Percent,26.0,24.8,27.0,21.9,23.2,25.1,27.8,27.9,27.6,27.5,28.1,32.2,21.4
Environmental or animal care,Percent,2.0,2.0,2.0,0.6,1.1,2.1,2.1,2.0,2.0,2.1,1.9,2.2,1.7
Hospital or other health,Percent,8.2,6.4,9.5,6.0,8.7,8.0,8.0,7.9,8.0,8.2,7.2,5.9,8.9
Public safety,Percent,1.3,2.1,0.6,1.5,1.8,1.3,0.8,1.4,1.4,1.6,0.8,1.0,0.9
Religious,Percent,35.1,34.6,35.5,47.0,40.6,36.4,32.1,33.9,34.0,32.9,37.9,32.1,38.4
Social or community service,Percent,13.5,13.7,13.4,12.5,12.6,13.7,13.8,13.0,13.1,13.5,11.7,11.7,14.8
Sport and hobby \7,Percent,3.3,3.8,2.8,1.2,3.0,3.23,3.6,3.1,3.1,3.2,2.9,3.5,3.6
