Characteristic,Total employed \1,Workers with alternative arrangements Independent contractors,On-call workers,Temporary help agency workers,Workers provided by contract firms,Workers with traditional arrangements
16 to 19 years old,5510.0,89.0,133.0,33.0,7.0,5194.0
20 to 24 years old,13114.0,356.0,355.0,202.0,87.0,12055.0
25 to 34 years old,30103.0,1520.0,535.0,362.0,205.0,27427.0
35 to 44 years old,34481.0,2754.0,571.0,253.0,196.0,30646.0
45 to 54 years old,32947.0,2799.0,417.0,200.0,186.0,29324.0
55 to 64 years old,17980.0,1943.0,267.0,135.0,114.0,15496.0
65 years old and over,4817.0,881.0,175.0,33.0,18.0,3701.0
16 to 19 years old,2579.0,32.0,82.0,24.0,7.0,2389.0
20 to 24 years old,6928.0,194.0,200.0,107.0,61.0,6331.0
25 to 34 years old,16624.0,1006.0,299.0,185.0,138.0,14950.0
35 to 44 years old,18523.0,1824.0,252.0,120.0,140.0,16130.0
45 to 54 years old,17193.0,1764.0,209.0,71.0,143.0,15003.0
55 to 64 years old,9485.0,1287.0,108.0,52.0,70.0,7954.0
65 years old and over,2615.0,589.0,91.0,16.0,3.0,1917.0
16 to 19 years old,2931.0,57.0,52.0,9.0,0.0,2805.0
20 to 24 years old,6186.0,162.0,155.0,95.0,27.0,5724.0
25 to 34 years old,13480.0,514.0,236.0,177.0,67.0,12477.0
35 to 44 years old,15958.0,930.0,319.0,133.0,57.0,14516.0
45 to 54 years old,15754.0,1035.0,208.0,129.0,43.0,14322.0
55 to 64 years old,8495.0,656.0,158.0,83.0,44.0,7542.0
65 years old and over,2202.0,292.0,84.0,17.0,15.0,1785.0
Full-time workers,113798.0,7732.0,1370.0,979.0,695.0,102889.0
Part-time workers,25154.0,2611.0,1084.0,238.0,119.0,20954.0
