Year,"Crude materials Crude materials, total",Foodstuffs and feedstuffs,Fuel,"Crude nonfood materials, except fuel","Intermediate materials and supplies, components",Consumer goods,Capital equipment,Consumer foods Crude,Processed,"Finished consumer goods, excluding food",,,,,
1947,31.7,45.1,7.5,24,23.3,28.6,19.8,39.3,31.1,27.4,,,,,
1948,34.7,48.8,8.9,26.7,25.2,30.8,21.6,42.4,34,29.2,,,,,
1949,30.1,40.5,8.8,24.3,24.2,29.4,22.7,40.1,31.1,28.6,,,,,
1950,32.7,43.4,8.8,27.8,25.3,29.9,23.2,36.5,32.4,29,,,,,
1951,37.6,50.2,9,32,28.4,32.7,25.5,41.9,36.2,31.1,,,,,
1952,34.5,47.3,9,27.8,27.5,32.3,25.9,44.6,35.4,30.7,,,,,
1953,31.9,42.3,9.3,26.6,27.7,31.7,26.3,41.6,33.6,31,,,,,
1954,31.6,42.3,8.9,26.1,27.9,31.7,26.7,37.5,34,31.1,,,,,
1955,30.4,38.4,8.9,27.5,28.4,31.5,27.4,39.1,32.7,31.3,,,,,
1956,30.6,37.6,9.5,28.6,29.6,32,29.5,39.1,32.7,32.1,,,,,
1957,31.2,39.2,10.1,28.2,30.3,32.9,31.3,38.5,34.1,32.9,,,,,
1958,31.9,41.6,10.2,27.1,30.4,33.6,32.1,41,36.1,32.9,,,,,
1959,31.1,38.8,10.4,28.1,30.8,33.3,32.7,37.3,34.7,33.3,,,,,
1960,30.4,38.4,10.5,26.9,30.8,33.6,32.8,39.8,35.2,33.5,,,,,
1961,30.2,37.9,10.5,27.2,30.6,33.6,32.9,38,35.3,33.4,,,,,
1962,30.5,38.6,10.4,27.1,30.6,33.7,33,38.4,35.6,33.4,,,,,
1963,29.9,37.5,10.5,26.7,30.7,33.5,33.1,37.8,35.2,33.4,,,,,
1964,29.6,36.6,10.5,27.2,30.8,33.6,33.4,38.9,35.2,33.3,,,,,
1965,31.1,39.2,10.6,27.7,31.2,34.2,33.8,39,36.8,33.6,,,,,
1966,33.1,42.7,10.9,28.3,32,35.4,34.6,41.5,39.2,34.1,,,,,
1967,31.3,40.3,11.3,26.5,32.2,35.6,35.8,39.6,38.8,34.7,,,,,
1968,31.8,40.9,11.5,27.1,33,36.5,37,42.5,40,35.5,,,,,
1969,33.9,44.1,12,28.4,34.1,37.9,38.3,45.9,42.3,36.3,,,,,
1970,35.2,45.2,13.8,29.1,35.4,39.1,40.1,46,43.9,37.4,,,,,
1971,36,46.1,15.7,29.4,36.8,40.2,41.7,45.8,44.7,38.7,,,,,
1972,39.9,51.5,16.8,32.3,38.2,41.5,42.8,48,47.2,39.4,,,,,
1973,54.5,72.6,18.6,42.9,42.4,46,44.2,63.6,55.8,41.2,,,,,
1974,61.4,76.4,24.8,54.5,52.5,53.1,50.5,71.6,63.9,48.2,,,,,
