Industry,NAICS code \1,Total R&D funds as a percent of net sales 1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,Company R&D funds as a percent of net sales 1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Food,311,0.4,(D),0.5,(D),(D),0.6,0.7,0.7,(D),0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
"Paper, printing, and support activities","322, 323",(D),(D),(D),(D),(D),(D),(D),(D),(D),1.4,1.6,2.1,1.3,1.1,1.5,1.5,1.2,1.3
Petroleum and coal products,324,0.4,(D),(D),(D),(D),0.4,(D),0.3,(D),(D),0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3
Chemicals,325,5.2,5.9,4.9,6.0,5.7,(D),6.9,7.6,(D),5.1,5.9,4.8,5.9,5.6,6.6,6.9,7.5,7.9
Plastic and rubber products,326,1.9,(D),(D),(D),2.1,(D),2.0,2.0,(D),1.9,1.8,2.9,1.8,2.1,1.6,1.9,1.9,1.5
Nonmetallic mineral products,327,(D),1.8,2.4,(D),1.0,1.8,1.8,2.1,1.8,1.5,1.8,2.3,1.2,1.0,1.8,1.8,1.9,1.8
Primary metals,331,0.4,0.5,0.7,0.7,0.7,0.7,0.6,0.5,0.6,0.4,0.5,0.7,0.7,0.7,0.7,0.5,0.5,0.6
Fabricated metal products,332,1.5,1.4,1.7,1.5,1.6,1.5,0.8,1.4,1.7,1.4,1.4,1.6,1.4,1.5,1.4,0.8,1.4,1.6
Machinery,333,3.5,3.9,4.3,4.4,4.2,3.7,3.7,3.6,3.7,3.3,3.8,4.2,4.3,4.2,3.6,3.6,3.6,3.7
Computer and electronic products,334.0,10.3,9.0,12.4,9.4,11.5,9.5,(D),10.8,9.9,8.5,7.9,10.9,8.1,9.6,8.0,9.0,9.2,8.4
Semiconductors and other electronic components,3344.0,8.3,9.9,10.6,8.6,11.1,(D),10.6,11.2,12.2,8.3,7.4,10.5,8.6,11.1,10.8,10.6,11.0,12.0
"Navigational, measuring, electromedical, and control instruments",3345,15.2,12.0,12.6,8.7,12.9,13.8,12.8,13.1,10.2,9.1,8.0,7.3,5.4,7.2,7.1,7.0,7.5,6.1
"Electrical equipment, appliances, and components",335,(D),(D),3.1,2.8,2.2,2.8,2.4,2.6,3.1,2.3,2.1,2.9,2.7,2.2,2.7,2.3,2.5,3.0
Transportation equipment,336.0,4.2,4.0,4.2,3.5,3.5,(D),(D),(D),(D),2.9,3.1,3.4,2.8,2.7,2.7,3.0,2.9,3.1
"Motor vehicles, trailers, and parts",3361-3363,(D),(D),(D),(D),(D),2.4,(D),(D),(D),2.9,3.2,3.5,3.1,2.4,2.4,2.5,2.4,2.4
Aerospace products and parts,3364,8.8,7.3,5.7,4.1,6.8,5.7,6.6,6.7,7.0,3.2,2.8,3.0,2.3,3.5,4.0,4.8,4.9,5.1
Miscellaneous manufacturing,339.0,5.7,8.7,6.6,8.0,5.6,4.9,6.2,5.1,3.1,5.7,8.7,6.6,7.9,5.6,4.9,6.1,4.9,3.1
Information,51.0,3.6,4.1,(D),4.0,(D),5.1,5.4,5.3,(D),3.4,4.0,4.4,4.0,5.7,5.0,5.3,5.2,5.1
Internet service and data processing providers,518.0,,,,,,(D),9.1,9.6,(D),,,,,,,8.7,9.4,9.6
Transportation and warehousing services,"48, 49",0.5,(D),2.5,(D),0.4,(D),(D),(D),(D),0.5,0.3,2.4,0.5,0.4,0.5,0.4,0.3,0.2
Software publishing,5112,16.8,20.5,19.4,21.5,(D),(D),21.9,(D),(D),16.7,20.4,19.3,21.4,23.4,23.3,21.9,19.9,19.6
"Professional, scientific, and technical services",54.0,15.3,18.7,16.8,13.6,12.3,15.5,12.2,9.5,11.7,11.6,14.9,13.7,11.2,10.2,13.0,10.0,7.6,9.5
"Architectural, engineering, and related services",5413,10.1,10.8,7.5,7.8,12.3,12.2,9.4,14.4,12.0,6.8,7.1,5.2,5.3,7.8,6.6,4.9,10.7,8.1
Computer systems design and related services,5415,(D),12.3,17.4,16.5,11.1,12.1,10.0,5.3,7.0,11.0,11.8,16.5,14.3,9.8,11.7,9.6,4.9,6.6
Scientific research and development services,5417,45.3,42.9,47.7,21.3,19.4,35.8,35.6,35.1,42.0,32.1,32.3,36.5,17.6,16.5,29.6,27.4,24.2,30.0
Management of companies and enterprises,55,(D),4.4,7.8,7.6,4.1,(NA),(NA),(NA),(NA),5.7,4.4,7.8,7.6,4.1,(NA),(NA),(NA),(NA)
