State,Post Office Abbreviation,2-DIGIT ANSI code,"Number on farms \1 2006  (1,000)","2007  (1,000)","2008  (1,000)",Quantity produced 2006 (million pounds),2007 (million pounds),2008 (million pounds),Value of production 2006 (million dollars),2007 (million dollars),2008 (million dollars),Commercial slaughter \2 2007 (million pounds),2008 (million pounds)
Iowa,IA,19,17300.0,19400.0,19800.0,8021.396,8444.429,9394.638,3417.443,3632.366,4024.07,8073.532,8744.111
North Carolina,NC,37,9500.0,10200.0,9600.0,3778.686,3815.438,4185.553,1890.022,1931.118,2107.922,2925.872,3159.843
Minnesota,MN,27,6900.0,7700.0,7500.0,3327.429,3540.381,3751.503,1501.906,1645.781,1750.427,2492.475,2594.025
Missouri,MO,29,2800.0,3150.0,3100.0,1464.346,1805.559,1749.087,589.434,716.03,765.566,1906.254,2160.183
Indiana,IN,18,3350.0,3700.0,3500.0,1484.896,1607.328,1730.377,643.469,712.96,820.319,2033.934,2182.132
Illinois,IL,17,4200.0,4350.0,4350.0,1523.074,1513.202,1702.307,781.381,785.81,912.421,2798.39,2988.859
Nebraska,NE,31,3050.0,3350.0,3300.0,1412.34,1437.629,1376.603,699.144,727.299,711.411,1995.46,2121.754
Oklahoma,OK,40,2330.0,2350.0,2390.0,1250.888,1311.843,1274.865,517.206,549.716,509.906,1350.643,1456.086
Ohio,OH,39,1680.0,1830.0,1930.0,874.033,881.315,965.899,383.445,390.4,421.18,298.064,307.599
Kansas,KS,20,1860.0,1880.0,1730.0,799.949,874.765,925.55,341.113,361.16,373.322,91.513,(\3)
South Dakota,SD,46,1270.0,1460.0,1330.0,721.462,686.072,729.004,347.125,320.577,345.22,1233.499,1217.29
Michigan,MI,26,990.0,1030.0,1020.0,482.308,549.965,576.069,201.668,223.478,244.087,45.264,46.615
Pennsylvania,PA,42,1080.0,1170.0,1110.0,499.473,497.553,421.52,198.241,191.906,168.615,746.889,768.928
