Source of revenue and media type,2004 (million dollars),2005  (million dollars),2006  (million dollars),2007  (million dollars)
General newspapers,40810.0,42080.0,41564.0,40083.0
Subscription and sales,8884.0,9207.0,9276.0,8918.0
Advertising space,31926.0,32873.0,32289.0,31165.0
Specialized newspapers,2439.0,2524.0,2637.0,2574.0
Subscription and sales,(S),(S),(S),(S)
Advertising space,2149.0,2242.0,2294.0,2202.0
Other operating revenue,5117.0,5354.0,5400.0,5617.0
Printing services,1310.0,1404.0,1326.0,1240.0
Distribution services,2024.0,2094.0,2022.0,1911.0
All other,1783.0,1856.0,2052.0,2466.0
Print newspapers,41319.0,42468.0,42118.0,40638.0
Online newspapers,1308.0,1537.0,1450.0,1728.0
Other media newspapers,621.0,600.0,633.0,291.0
General interest periodicals,21420.0,22451.0,24025.0,25062.0
Subscription and sales,7467.0,7497.0,7856.0,8211.0
Advertising space,13952.0,14954.0,16168.0,16851.0
Professional and academic periodicals,6878.0,7009.0,7083.0,7882.0
Subscription and sales,3785.0,3924.0,3985.0,4343.0
Advertising space,3093.0,3085.0,3098.0,3540.0
Other periodicals,3819.0,4176.0,4247.0,3823.0
Subscription and sales,1933.0,2081.0,2111.0,1870.0
Advertising space,1886.0,2095.0,2136.0,(S)
Other operating revenue,10173.0,10679.0,11593.0,12524.0
Printing services for others,887.0,896.0,858.0,808.0
Licensing of rights to content,237.0,298.0,377.0,333.0
All other,9049.0,9485.0,10358.0,11384.0
Print,29886.0,31113.0,32042.0,32684.0
Online,1848.0,2063.0,2765.0,3271.0
Other media,382.0,460.0,548.0,813.0
"Books, print",24475.0,24330.0,24600.0,24891.0
Textbooks,9554.0,10038.0,10408.0,10450.0
Children's books,3117.0,3082.0,3104.0,3249.0
General reference books,1848.0,1415.0,1331.0,972.0
"Professional, technical, and scholarly books",2745.0,3261.0,3335.0,3044.0
Adult trade books,7210.0,6535.0,6421.0,7176.0
All other operating revenue,3429.0,3574.0,3637.0,4405.0
,3429.0,3574.0,3637.0,4405.0
Print books,23241.0,23013.0,23163.0,23501.0
Online books,620.0,654.0,705.0,585.0
Other media books,614.0,664.0,731.0,805.0
Directories,13195.0,13873.0,13660.0,13790.0
Subscription and sales,340.0,365.0,358.0,329.0
Advertising space,12855.0,13509.0,13301.0,13461.0
Database and other collections,2894.0,3337.0,3174.0,3828.0
Subscription and sales,2323.0,2684.0,2550.0,2853.0
Advertising space,572.0,653.0,624.0,975.0
Other operating revenue,1951.0,2203.0,2082.0,2272.0
Rental or sale of mailing lists,495.0,583.0,557.0,731.0
All other,1456.0,1620.0,1525.0,(S)
"Print directories, databases, and other collections of information",13127.0,13685.0,13483.0,13380.0
"Online directories, databases, and other collections of information",2540.0,3243.0,3038.0,3586.0
"Other media directories, databases, and other collections of information",423.0,282.0,313.0,652.0
