Item,Unite,1990.0,1995.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
Number of main offices,Billion Dollars,15162.0,11973.0,9904.0,9616.0,9354.0,9181.0,8976.0,8833.0,8680.0,8534.0,8305.0
Number of branches,Billion Dollars,69049.0,70288.0,76245.0,77119.0,78225.0,79493.0,82036.0,84032.0,98126.0,100337.0,101087.0
Number of main offices,Billion Dollars,12347.0,9943.0,8315.0,8082.0,7888.0,7770.0,7631.0,7526.0,7401.0,7283.0,7085.0
Number of branches,Billion Dollars,50858.0,56856.0,64859.0,65635.0,66902.0,68215.0,70842.0,73441.0,76459.0,78867.0,90018.0
Number of main offices,Number,2815.0,2030.0,1589.0,1534.0,1466.0,1411.0,1345.0,1307.0,1279.0,1251.0,1220.0
Number of branches (unrevised),Number,18795.0,13432.0,12531.0,12628.0,12480.0,12477.0,12415.0,11913.0,13803.0,13578.0,11069.0
Commercial banks,Number,12343.0,9940.0,8316.0,8079.0,7888.0,7770.0,7631.0,7526.0,7401.0,7283.0,7085.0
Savings institutions,Number,2815.0,2030.0,1589.0,1534.0,1466.0,1411.0,1345.0,1307.0,1279.0,1251.0,1220.0
Net loans and leases,Billion Dollars,2866.919504,3198.033038,4575.95527,4687.026045,4968.0,5349.0,6036.86967,6639.744064,7156.225725,7803.96596,7702.068511
Real estate loans,Billion Dollars,1585.502249,1690.070824,2396.18433,2560.904202,2850.0,3144.0,3680.035665,4140.691498,4507.771163,4781.831882,4704.14868
1 to 4 family residential mortgages,Billion Dollars,859.071609,1005.788168,1340.012357,1379.888498,1513.0,1611.0,1832.673823,2042.443102,2735.097021,2241.0,2045.0
Commercial real estate,Billion Dollars,327.798356,349.04295,525.049222,569.516322,628.0,682.0,752.250057,825.699051,904.367917,968.765175,1068.20287
Construction and development,Billion Dollars,170.562875,90.419529,196.983309,231.508953,245.0,272.0,337.528642,449.670026,590.0,629.0,590.177359
Home equity loans \2,Billion Dollars,85.822087,97.916795,150.756108,184.320617,256.0,346.0,490.67568,534.256505,559.307455,611.389082,667.505465
Commercial and industrial loans,Billion Dollars,646.242358,673.660837,1085.957335,1019.847602,953.0,922.0,967.579073,1085.612817,1214.754414,1439.122192,1496.320976
Loans to individuals,Billion Dollars,451.445369,575.770578,671.90892,701.036813,772.0,848.0,930.022875,948.703546,955.263396,1058.462024,1088.779904
Credit cards and related plans,Billion Dollars,141.935935,224.46477,265.984451,250.31701,292.0,339.0,398.976061,396.062423,384.980072,421.817757,444.684735
Farm loans,Billion Dollars,33.33739,40.233452,48.580223,48.411183,47.0,47.0,48.803823,51.669391,54.256922,56.785808,59.908219
Other loans and leases,Billion Dollars,244.54497,293.663511,447.863152,440.171167,435.0,478.0,495.824066,493.593177,504.108953,572.625037,531.277526
Less: Reserve for losses,Billion Dollars,65.187617,60.145551,71.440361,80.068724,85.0,86.0,82.042223,77.370167,77.528213,102.551975,173.162586
Less: Unearned income,Billion Dollars,28.965223,15.220645,3.09832,3.276256,4.0,3.0,3.353658,3.156252,2.400974,2.309073,5.204265
Securities,Billion Dollars,890.042417,1099.453949,1360.957999,1464.706341,1633.0,1771.0,1859.80479,1893.178138,1980.949958,1954.146326,2035.605395
Other real estate owned,Billion Dollars,43.84649,9.216771,3.907354,4.61735,5.0,5.0,4.285428,4.081547,6.056645,12.126679,26.618367
Goodwill and other intangibles,Billion Dollars,24.949814,37.082101,120.790912,143.769797,153.0,189.0,316.015504,344.59721,413.433839,461.743536,423.197601
Other,Billion Dollars,822.909419,994.63274,1400.262318,1568.333412,1676.0,1761.0,1888.602714,1996.655057,2304.851448,2802.091497,3659.793717
Domestic office assets,Billion Dollars,4259.024689,4753.322826,6701.547619,7119.150731,7684.0,8251.0,9160.179285,9823.981236,10557.09332,11475.138299,12325.941002
Foreign office assets,Billion Dollars,389.642977,585.09577,760.326237,749.3022,752.0,824.0,945.398804,1054.27478,1304.424295,1558.9357,1521.342588
Noninterest-bearing deposits,Billion Dollars,510.759838,640.60734,801.597764,926.934667,1002.0,1028.0,1172.819821,1267.079121,1270.23255,1259.773364,1484.348949
Interest-bearing deposits,Billion Dollars,3126.53187,3128.873603,4113.166721,4262.497821,4566.0,4926.0,5411.751489,5874.241426,6554.986521,7155.602116,7551.326639000001
Other borrowed funds,Billion Dollars,568.872779,849.202129,1466.949489,1496.033443,1571.0,1735.0,1904.629102,2062.878621,2121.085558,2516.753325,2575.253677
Subordinated debt,Billion Dollars,28.251496,46.116935,90.165585,99.226619,99.0,107.0,118.535008,131.428425,160.547309,185.392829,185.467493
Other liabilities,Billion Dollars,128.100266,237.994295,356.473097,376.59516,422.0,450.0,458.518111,423.842534,506.780238,569.064693,754.565162
Equity capital,Billion Dollars,286.150996,435.62429,633.521185,707.165283,776.0,831.0,1039.324589,1118.785854,1247.885448,1347.487661,1296.321712
Domestic office deposits,Billion Dollars,3343.84678,3315.386935,4208.098118,4559.926757,4911.0,5213.0,5718.679334,6220.672874,6631.183528,6912.799982,7496.368916
Foreign office deposits,Billion Dollars,293.445336,454.094003,706.666369,629.505694,658.0,741.0,865.891962,920.647668,1194.035506,1502.575492,1539.306593
