Control and type of institution and community type,All,Enrollment size Under 200,200– 499,500– 999,"1,000– 2,499","2,500– 4,999","5,000– 9,999","10,000– 19,999","20,000– 29,999","30,000 or more"
     Total,100,12,14,15,21,15,12,7,3,1
  Public,100,1,4,7,23,26,23,12,4,1
  Public,100,#,2,4,15,17,23,21,12,6
  Private not-for-profit,100,15,13,17,29,15,6,3,1,#
  Private for-profit,100,15,29,26,18,9,2,1,1,#
  City,100,#,1,3,8,23,31,23,9,3
  Suburban,100,1,2,1,9,17,42,22,6,2
  Town,100,2,6,13,39,27,10,1,0,0
  Rural,100,2,6,8,33,31,15,5,0,0
  City,100,1,3,2,9,9,21,27,18,10
  Suburban,100,0,0,6,13,20,24,20,10,7
  Town,100,0,1,2,17,28,29,18,6,0
  Rural,100,2,3,10,43,21,18,0,2,2
  City,100,16,16,15,25,16,7,4,1,1
  Suburban,100,18,11,12,29,19,9,2,#,0
  Town,100,7,7,26,47,9,3,1,0,0
  Rural,100,18,16,27,26,9,2,2,1,0
