,2006 Canada number,N.L. number,P.E.I. number,N.S. number
United States,"250,535","1,400","1,255","7,960"
Central and South America,"381,165",395,150,"1,020"
Caribbean and Bermuda,"317,765",145,90,980
  United Kingdom,"579,625","2,335","1,165","11,665"
  Other Northern and Western Europe,"489,540",945,960,"6,640"
  Eastern Europe,"511,095",420,145,"2,110"
  Southern Europe,"698,080",345,190,"2,150"
Africa,"374,565",560,165,"2,125"
  West Central Asia and the Middle East,"370,515",270,160,"3,950"
  Eastern Asia,"874,370",545,225,"2,735"
  Southeast Asia,"560,995",245,35,"1,115"
  Southern Asia,"719,275",725,65,"2,115"
Oceania and other countries,"59,410",65,165,630
