,Both sexes (thousands),Men (thousands),Women (thousands)
1981,"1,425.20","1,020.60",404.6
1982,"1,483.20","1,056.70",426.5
1983,"1,543.20","1,094.50",448.7
1984,"1,569.70","1,096.40",473.3
1985,"1,662.70","1,148.80",513.9
1986,"1,656.10","1,164.00",492
1987,"1,699.10","1,185.80",513.3
1988,"1,774.10","1,233.10",541
1989,"1,800.30","1,240.70",559.6
1990,"1,836.60","1,263.60",573
1991,"1,895.80","1,313.20",582.6
1992,"1,927.50","1,316.70",610.8
1993,"2,011.10","1,361.70",649.4
1994,"2,028.50","1,351.70",676.7
1995,"2,083.10","1,381.80",701.3
1996,"2,171.60","1,426.80",744.8
1997,"2,349.40","1,522.20",827.2
1998,"2,405.70","1,550.60",855.1
1999,"2,433.00","1,582.80",850.2
2000,"2,373.70","1,538.70",835.1
2001,"2,276.70","1,503.30",773.4
2002,"2,314.50","1,499.70",814.7
2003,"2,401.80","1,571.10",830.7
2004,"2,453.40","1,614.50",838.9
2005,"2,511.60","1,645.60",866
2006,"2,498.00","1,621.40",876.6
2007,"2,615.00","1,703.20",911.9
2008,"2,629.60","1,719.70",909.9
2009,"2,701.70","1,742.30",959.4
