County of residence,Total,Under 19 years,19 years,Over 19 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I alt,6 555, 432, 491,5 632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Østfold, 256,12,15, 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akershus, 576,33,36, 507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oslo, 457,15,30, 412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedmark, 282,12,19, 251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oppland, 282,7,22, 253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buskerud, 342,23,31, 288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vestfold, 276,20,15, 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telemark, 227,8,5, 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aust-Agder, 187,7,17, 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vest-Agder, 220,11,23, 186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogaland, 537,31,30, 476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordaland, 663,33,46, 584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sogn og Fjordane, 252,15,23, 214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Møre og Romsdal, 447,31,34, 382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sør-Trøndelag, 428,42,30, 356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nord-Trøndelag, 232,16,14, 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordland, 283,46,32, 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troms Romsa, 176,21,18, 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnmark Finnmárku, 105,34,11,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown/foreign countries, 327,15,40, 272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
