,2005 (hours),2006 (hours),2007 (hours),2008 (hours),2009 (hours)
All industries excluding unclassified enterprises,30.9,30.9,30.5,30.4,30.1
"Forestry, logging and support",38.9,39.3,39.4,39.7,F
Mining and oil and gas extraction,41.1,39.6,40.2,38.5,39.3
Utilities,.,.,.,.,.
Construction,36.7,36.5,37.2,37.1,36.6
Manufacturing,38.1,38.1,38.2,37.4,36.8
Wholesale trade,35.1,34.6,34.7,34.6,35.3
Retail trade,26.6,26.6,26.2,26.3,26.9
Transportation and warehousing,36,35.8,34.2,34.9,34
Information and cultural industries,31.9,32,31.7,30.2,31
Finance and insurance,28.2,29,28.5,28.5,28.9
Real estate and rental and leasing,29,29.2,29.5,28.7,28.2
"Professional, scientific and technical services",31.3,32.4,31.3,31.4,31.6
Management of companies and enterprises,.,.,.,.,.
"Administrative and support, waste management and remediation services",30.2,30.5,30.3,29.9,30.1
Educational services,.,.,.,.,.
Health care and social assistance,28.7,28.6,28.1,28.6,28.7
"Arts, entertainment and recreation",22,20.3,21.4,22.6,23.8
Accommodation and food services,23,23.8,23.3,23.3,22.8
Public administration,31.6,30.8,30.9,30.8,31
Other services,29.8,28.7,28.8,29.6,28.7
