Expanded Homicide Data Table 14,,,,,,,,,,,
Justifiable Homicide,,,,,,,,,,,
"by Weapon, Private Citizen,1 2003–2007",,,,,,,,,,,
Year,Total,Total firearms,Handguns,Rifles,Shotguns,"Firearms, type not stated",Knives or cutting instruments,Other dangerous weapons,Personal weapons,,
2003.0,247.0,203.0,163.0,6.0,20.0,14.0,23.0,13.0,8.0,,
2004.0,222.0,166.0,138.0,11.0,7.0,10.0,38.0,9.0,9.0,,
2005.0,196.0,147.0,123.0,5.0,6.0,13.0,33.0,8.0,8.0,,
2006.0,238.0,192.0,154.0,12.0,15.0,11.0,31.0,12.0,3.0,,
2007.0,254.0,198.0,159.0,8.0,21.0,10.0,38.0,8.0,10.0,,
"1 The killing of a felon, during the commission of a felony, by a private citizen.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
