Table 31,,,,,,,,,,,,,,,,,,,,,,
Number and Rate of Arrests,,,,,,,,,,,,,,,,,,,,,,
"by Population Group, 2007",,,,,,,,,,,,,,,,,,,,,,
"[Rate:  Number of arrests per 100,000 inhabitants]",,,,,,,,,,,,,,,,,,,,,,
Offense charged,,,Cities,,,,,,,,,,,,,,Counties,,,,,
,"Total
(11,936 agencies; 
population 225,518,634)",,"Total cities
(8,693 cities; 
population 157,420,952)",,"Group I
(62 cities, 250,000 and over; 
population 41,493,234)",,"Group II
(148 cities, 100,000 to 249,999; 
population 22,331,177)",,"Group III
(391 cities, 50,000 to 99,999; 
population 27,043,535)",,"Group IV
(686 cities, 25,000 to 49,999; 
population 23,604,891)",,"Group V
(1,484 cities, 10,000 to 24,999; 
population 23,534,480)",,"Group VI
(5,922 cities, under 10,000; 
population 19,413,635)",,"Metropolitan counties
(1,311 agencies; 
population 47,357,825)",,"Nonmetropolitan counties
(1,932 agencies; 
population 20,739,857)",,"Suburban area1
(6,470 agencies; 
population 98,929,880)",
,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate
TOTAL2,10697033.0,4743.3,8165997.0,5187.4,2251897.0,5427.1,1147663.0,5139.3,1307595.0,4835.1,1087187.0,4605.8,1172238.0,4980.9,1199417.0,6178.2,1768264.0,3733.8,762772.0,3677.8,4201850.0,4247.3
Murder and nonnegligent manslaughter,10082.0,4.5,7518.0,4.8,3514.0,8.5,1367.0,6.1,909.0,3.4,720.0,3.1,599.0,2.5,409.0,2.1,1944.0,4.1,620.0,3.0,3095.0,3.1
Forcible rape,17444.0,7.7,12853.0,8.2,4266.0,10.3,1945.0,8.7,1828.0,6.8,1643.0,7.0,1606.0,6.8,1565.0,8.1,3043.0,6.4,1548.0,7.5,6302.0,6.4
Robbery,96720.0,42.9,83356.0,53.0,36439.0,87.8,14664.0,65.7,12442.0,46.0,8534.0,36.2,7024.0,29.8,4253.0,21.9,11428.0,24.1,1936.0,9.3,27190.0,27.5
Aggravated assault,327137.0,145.1,251311.0,159.6,85151.0,205.2,41395.0,185.4,41458.0,153.3,29713.0,125.9,27766.0,118.0,25828.0,133.0,56233.0,118.7,19593.0,94.5,115349.0,116.6
Burglary,228846.0,101.5,171476.0,108.9,46126.0,111.2,30457.0,136.4,30697.0,113.5,21430.0,90.8,22545.0,95.8,20221.0,104.2,39235.0,82.8,18135.0,87.4,84443.0,85.4
Larceny-theft,897626.0,398.0,761461.0,483.7,183677.0,442.7,114655.0,513.4,139495.0,515.8,122022.0,516.9,114446.0,486.3,87166.0,449.0,105297.0,222.3,30868.0,148.8,340518.0,344.2
Motor vehicle theft,89022.0,39.5,70482.0,44.8,32190.0,77.6,10948.0,49.0,9221.0,34.1,6080.0,25.8,6163.0,26.2,5880.0,30.3,13938.0,29.4,4602.0,22.2,26932.0,27.2
Arson,11451.0,5.1,8414.0,5.3,1900.0,4.6,1297.0,5.8,1406.0,5.2,1126.0,4.8,1304.0,5.5,1381.0,7.1,2153.0,4.5,884.0,4.3,4853.0,4.9
