Table 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Age, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[11,936 agencies; 2007 estimated population 225,518,634]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense charged,Total all ages,Ages under 15,Ages under 18,Ages 18 and over,Under 10,10-12,13-14,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65 and over,,
TOTAL,10698310.0,461937.0,1649977.0,9048333.0,13357.0,93571.0,355009.0,326311.0,405753.0,455976.0,509517.0,518623.0,481599.0,442744.0,410646.0,377997.0,362242.0,1505619.0,1047448.0,972661.0,908080.0,735287.0,424442.0,200498.0,86194.0,64736.0,,
Total percent distribution1,100.0,4.3,15.4,84.6,0.1,0.9,3.3,3.1,3.8,4.3,4.8,4.8,4.5,4.1,3.8,3.5,3.4,14.1,9.8,9.1,8.5,6.9,4.0,1.9,0.8,0.6,,
Murder and nonnegligent manslaughter,10082.0,103.0,1011.0,9071.0,1.0,6.0,96.0,131.0,294.0,483.0,736.0,687.0,593.0,583.0,545.0,473.0,456.0,1758.0,940.0,680.0,558.0,432.0,295.0,175.0,77.0,83.0,,
Forcible rape,17132.0,914.0,2633.0,14499.0,8.0,235.0,671.0,447.0,576.0,696.0,829.0,790.0,736.0,766.0,590.0,552.0,537.0,2311.0,1883.0,1780.0,1463.0,1047.0,585.0,326.0,151.0,153.0,,
Robbery,96720.0,5601.0,26324.0,70396.0,72.0,784.0,4745.0,5353.0,7229.0,8141.0,8590.0,7236.0,5620.0,4579.0,3881.0,3311.0,3001.0,11175.0,6860.0,5871.0,4865.0,3219.0,1403.0,503.0,178.0,104.0,,
Aggravated assault,327137.0,13662.0,43459.0,283678.0,460.0,3320.0,9882.0,8146.0,10231.0,11420.0,12448.0,12564.0,12253.0,12949.0,12208.0,11755.0,11628.0,50759.0,36293.0,32552.0,29840.0,23163.0,13291.0,6317.0,2974.0,2684.0,,
Burglary,228846.0,18589.0,61695.0,167151.0,631.0,3939.0,14019.0,12580.0,14498.0,16028.0,17104.0,13729.0,11120.0,9217.0,7870.0,7003.0,6460.0,26124.0,17772.0,16918.0,15073.0,10830.0,5106.0,1855.0,636.0,334.0,,
Larceny-theft,897626.0,71314.0,229837.0,667789.0,1804.0,15542.0,53968.0,45808.0,54513.0,58202.0,57221.0,46250.0,37423.0,31665.0,27813.0,24783.0,23168.0,98117.0,71066.0,72005.0,68379.0,53626.0,30598.0,14432.0,6128.0,5115.0,,
Motor vehicle theft,89022.0,4917.0,22266.0,66756.0,33.0,512.0,4372.0,5181.0,6143.0,6025.0,5874.0,4873.0,4070.0,3674.0,3409.0,3041.0,2967.0,12091.0,8096.0,7217.0,5659.0,3440.0,1471.0,551.0,199.0,124.0,,
Arson,11451.0,3204.0,5427.0,6024.0,349.0,1013.0,1842.0,926.0,720.0,577.0,517.0,420.0,312.0,282.0,248.0,224.0,184.0,884.0,659.0,606.0,569.0,518.0,290.0,160.0,86.0,65.0,,
