Table 41,,,,,,,,,,,
Arrests,,,,,,,,,,,
"of Persons Under 15, 18, 21, and 25 Years of Age, 2007",,,,,,,,,,,
"[11,936 agencies; 2007 estimated population 225,518,634]",,,,,,,,,,,
Offense charged,Total all ages,Number of persons arrested,,,,Percent of total all ages,,,,,
,,Under 15,Under 18,Under 21,Under 25,Under 15,Under 18,Under 21,Under 25,,
TOTAL,10698310.0,461937.0,1649977.0,3159716.0,4753345.0,4.3,15.4,29.5,44.4,,
Murder and nonnegligent manslaughter,10082.0,103.0,1011.0,3027.0,5084.0,1.0,10.0,30.0,50.4,,
Forcible rape,17132.0,914.0,2633.0,4988.0,7433.0,5.3,15.4,29.1,43.4,,
Robbery,96720.0,5601.0,26324.0,47770.0,62542.0,5.8,27.2,49.4,64.7,,
Aggravated assault,327137.0,13662.0,43459.0,80724.0,129264.0,4.2,13.3,24.7,39.5,,
Burglary,228846.0,18589.0,61695.0,103648.0,134198.0,8.1,27.0,45.3,58.6,,
Larceny-theft,897626.0,71314.0,229837.0,370731.0,478160.0,7.9,25.6,41.3,53.3,,
Motor vehicle theft,89022.0,4917.0,22266.0,37083.0,50174.0,5.5,25.0,41.7,56.4,,
Arson,11451.0,3204.0,5427.0,6676.0,7614.0,28.0,47.4,58.3,66.5,,
Violent crime1,451071.0,20280.0,73427.0,136509.0,204323.0,4.5,16.3,30.3,45.3,,
Property crime1,1226945.0,98024.0,319225.0,518138.0,670146.0,8.0,26.0,42.2,54.6,,
Other assaults,983964.0,70038.0,181378.0,278521.0,413165.0,7.1,18.4,28.3,42.0,,
Forgery and counterfeiting,78005.0,294.0,2353.0,11760.0,24739.0,0.4,3.0,15.1,31.7,,
Fraud,185229.0,886.0,5690.0,22358.0,47593.0,0.5,3.1,12.1,25.7,,
Embezzlement,17015.0,49.0,1288.0,4745.0,7871.0,0.3,7.6,27.9,46.3,,
"Stolen property; buying, receiving, possessing",92215.0,4136.0,16889.0,32394.0,46285.0,4.5,18.3,35.1,50.2,,
Vandalism,221040.0,34342.0,84744.0,119283.0,148140.0,15.5,38.3,54.0,67.0,,
"Weapons; carrying, possessing, etc.",142745.0,10577.0,33187.0,58664.0,83152.0,7.4,23.2,41.1,58.3,,
Prostitution and commercialized vice,59390.0,147.0,1160.0,7615.0,16180.0,0.2,2.0,12.8,27.2,,
Sex offenses (except forcible rape and prostitution),62756.0,5574.0,11575.0,18399.0,25403.0,8.9,18.4,29.3,40.5,,
Drug abuse violations,1386394.0,21506.0,147382.0,392486.0,636465.0,1.6,10.6,28.3,45.9,,
Gambling,9152.0,226.0,1584.0,3510.0,5013.0,2.5,17.3,38.4,54.8,,
Offenses against the family and children,88887.0,1237.0,4205.0,10005.0,20422.0,1.4,4.7,11.3,23.0,,
Driving under the influence,1055981.0,398.0,13497.0,107733.0,311920.0,*,1.3,10.2,29.5,,
Liquor laws,478671.0,9592.0,106537.0,340122.0,373174.0,2.0,22.3,71.1,78.0,,
Drunkenness,451055.0,1400.0,12966.0,54066.0,128759.0,0.3,2.9,12.0,28.5,,
Disorderly conduct,540270.0,57602.0,153293.0,219327.0,300984.0,10.7,28.4,40.6,55.7,,
Vagrancy,25631.0,904.0,2924.0,5775.0,8296.0,3.5,11.4,22.5,32.4,,
All other offenses (except traffic),2948031.0,69448.0,284096.0,625448.0,1088202.0,2.4,9.6,21.2,36.9,,
Suspicion,1589.0,78.0,303.0,584.0,839.0,4.9,19.1,36.8,52.8,,
Curfew and loitering law violations,109815.0,28949.0,109815.0,109815.0,109815.0,26.4,100.0,100.0,100.0,,
Runaways,82459.0,26250.0,82459.0,82459.0,82459.0,31.8,100.0,100.0,100.0,,
"1 Violent crimes are offenses of murder and nonnegligent manslaughter, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, motor vehicle theft, and arson.",,,,,,,,,,,
* Less than one-tenth of 1 percent.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
