Table 79,,,,,,
Full-time Law Enforcement Employees,,,,,,
"by State by University and College, 2007",,,,,,
State,University/College,Campus,Student enrollment1,Total law enforcement employees,Total officers,Total civilians
WASHINGTON,Central Washington University,,10688.0,19.0,13.0,6.0
,Eastern Washington University,,11161.0,13.0,12.0,1.0
,Evergreen State College,,4416.0,16.0,10.0,6.0
,University of Washington,,39524.0,60.0,44.0,16.0
,Washington State University:,Pullman,23655.0,18.0,15.0,3.0
,,Vancouver2,,3.0,2.0,1.0
,Western Washington University,,14035.0,21.0,15.0,6.0
"1 The student enrollment figures provided by the United States Department of Education are for the 2006 school year, the most recent available.  The enrollment figures include full-time and part-time students.",,,,,,
2 Student enrollment figures were not available.,,,,,,
,,,,,,
