Table 80,,,,
Full-time Law Enforcement Employees,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2007",,,,
State,County,Total law enforcement employees,Total officers,Total civilians
FLORIDA-Metropolitan Counties,Alachua,755.0,257.0,498.0
,Baker,88.0,45.0,43.0
,Bay,278.0,211.0,67.0
,Brevard,1117.0,483.0,634.0
,Broward,1818.0,461.0,1357.0
,Charlotte,613.0,283.0,330.0
,Clay,545.0,273.0,272.0
,Collier,1314.0,847.0,467.0
,Escambia,1092.0,400.0,692.0
,Flagler,174.0,121.0,53.0
,Gadsden,82.0,56.0,26.0
,Gilchrist,56.0,29.0,27.0
,Hernando,384.0,249.0,135.0
,Hillsborough,3400.0,1223.0,2177.0
,Indian River,495.0,201.0,294.0
,Jefferson,48.0,21.0,27.0
,Lake,714.0,343.0,371.0
,Lee,924.0,554.0,370.0
,Leon,346.0,238.0,108.0
,Manatee,691.0,443.0,248.0
,Marion,894.0,399.0,495.0
,Martin,541.0,272.0,269.0
,Miami-Dade,4538.0,3118.0,1420.0
,Nassau,204.0,102.0,102.0
,Okaloosa,366.0,260.0,106.0
,Orange,2008.0,1355.0,653.0
,Osceola,559.0,381.0,178.0
,Palm Beach,2948.0,1219.0,1729.0
,Pasco,1114.0,484.0,630.0
,Pinellas,1297.0,718.0,579.0
,Polk,1555.0,627.0,928.0
,Santa Rosa,314.0,188.0,126.0
,Sarasota,933.0,419.0,514.0
,Seminole,1028.0,400.0,628.0
,St. Johns,567.0,279.0,288.0
,St. Lucie,636.0,267.0,369.0
,Volusia,742.0,456.0,286.0
,Wakulla,159.0,73.0,86.0
FLORIDA-Nonmetropolitan Counties,Bradford,66.0,25.0,41.0
,Calhoun,22.0,15.0,7.0
,Citrus,321.0,208.0,113.0
,Columbia,189.0,90.0,99.0
,DeSoto,113.0,55.0,58.0
,Dixie,62.0,27.0,35.0
,Franklin,83.0,64.0,19.0
,Glades,44.0,30.0,14.0
,Gulf,41.0,27.0,14.0
,Hamilton,57.0,16.0,41.0
,Hardee,92.0,46.0,46.0
,Hendry,90.0,58.0,32.0
,Highlands,314.0,121.0,193.0
,Holmes,23.0,17.0,6.0
,Jackson,76.0,57.0,19.0
,Lafayette,11.0,10.0,1.0
,Levy,150.0,73.0,77.0
,Liberty,30.0,14.0,16.0
,Madison,42.0,28.0,14.0
,Monroe,497.0,218.0,279.0
,Okeechobee,202.0,90.0,112.0
,Putnam,218.0,108.0,110.0
,Sumter,198.0,115.0,83.0
,Suwannee,101.0,58.0,43.0
,Taylor,48.0,35.0,13.0
,Union,15.0,9.0,6.0
,Walton,206.0,160.0,46.0
,Washington,75.0,37.0,38.0
