Table 36,,,,,,,,,,,,,,,
Current Year Over Previous Year Arrest Trends,,,,,,,,,,,,,,,
"Totals, 2016–2017",,,,,,,,,,,,,,,
"[11,889 agencies; 2017 estimated population 245,794,668; 2016 estimated population 244,059,561]",,,,,,,,,,,,,,,
Offense charged,Number of persons arrested,,,,,,,,,,,,,,
,Total all ages,,,Under 15 years of age,,,Under 18 years of age,,,18 years of age and over,,,,,
,2016.0,2017.0,"Percent
change",2016.0,2017.0,"Percent
change",2016.0,2017.0,"Percent
change",2016.0,2017.0,"Percent
change",,,
TOTAL1,8057300.0,7990795.0,-0.8,180936.0,176559.0,-2.4,649211.0,620264.0,-4.5,7408089.0,7370531.0,-0.5,,,
Murder and nonnegligent manslaughter,8899.0,9177.0,3.1,66.0,58.0,-12.1,663.0,685.0,3.3,8236.0,8492.0,3.1,,,
Rape2,17827.0,17765.0,-0.3,1135.0,1148.0,1.1,2812.0,2989.0,6.3,15015.0,14776.0,-1.6,,,
Robbery,73298.0,71599.0,-2.3,2792.0,2824.0,1.1,14711.0,14703.0,-0.1,58587.0,56896.0,-2.9,,,
Aggravated assault,291699.0,296387.0,1.6,6834.0,6991.0,2.3,21333.0,21485.0,0.7,270366.0,274902.0,1.7,,,
Burglary,157814.0,151840.0,-3.8,7290.0,7425.0,1.9,24433.0,23569.0,-3.5,133381.0,128271.0,-3.8,,,
Larceny-theft,794517.0,728141.0,-8.4,27654.0,25846.0,-6.5,101730.0,91715.0,-9.8,692787.0,636426.0,-8.1,,,
Motor vehicle theft,66228.0,69888.0,5.5,2664.0,2983.0,12.0,12022.0,12466.0,3.7,54206.0,57422.0,5.9,,,
Arson,6938.0,6970.0,0.5,1085.0,998.0,-8.0,1875.0,1738.0,-7.3,5063.0,5232.0,3.3,,,
Violent crime3,391723.0,394928.0,0.8,10827.0,11021.0,1.8,39519.0,39862.0,0.9,352204.0,355066.0,0.8,,,
Property crime3,1025497.0,956839.0,-6.7,38693.0,37252.0,-3.7,140060.0,129488.0,-7.5,885437.0,827351.0,-6.6,,,
Other assaults,804819.0,799265.0,-0.7,37144.0,36996.0,-0.4,96293.0,94010.0,-2.4,708526.0,705255.0,-0.5,,,
Forgery and counterfeiting,42884.0,42361.0,-1.2,109.0,132.0,21.1,946.0,941.0,-0.5,41938.0,41420.0,-1.2,,,
Fraud,96571.0,94916.0,-1.7,722.0,728.0,0.8,3468.0,3646.0,5.1,93103.0,91270.0,-2.0,,,
Embezzlement,12234.0,12061.0,-1.4,41.0,38.0,-7.3,499.0,494.0,-1.0,11735.0,11567.0,-1.4,,,
"Stolen property; buying, receiving, possessing",72133.0,76013.0,5.4,1789.0,1661.0,-7.2,8330.0,8060.0,-3.2,63803.0,67953.0,6.5,,,
Vandalism,146436.0,143337.0,-2.1,11759.0,11353.0,-3.5,29382.0,28130.0,-4.3,117054.0,115207.0,-1.6,,,
"Weapons; carrying, possessing, etc.",118396.0,125051.0,5.6,4549.0,4173.0,-8.3,14635.0,14088.0,-3.7,103761.0,110963.0,6.9,,,
Prostitution and commercialized vice,28451.0,26618.0,-6.4,48.0,30.0,-37.5,393.0,207.0,-47.3,28058.0,26411.0,-5.9,,,
Sex offenses (except rape and prostitution),37818.0,36652.0,-3.1,3078.0,3235.0,5.1,6392.0,6469.0,1.2,31426.0,30183.0,-4.0,,,
Drug abuse violations,1183896.0,1233598.0,4.2,11214.0,10813.0,-3.6,73810.0,72334.0,-2.0,1110086.0,1161264.0,4.6,,,
Gambling,2791.0,2460.0,-11.9,24.0,28.0,16.7,198.0,209.0,5.6,2593.0,2251.0,-13.2,,,
Offenses against the family and children,67385.0,69108.0,2.6,1096.0,958.0,-12.6,2879.0,2814.0,-2.3,64506.0,66294.0,2.8,,,
Driving under the influence,766954.0,743538.0,-3.1,87.0,88.0,1.1,4879.0,4593.0,-5.9,762075.0,738945.0,-3.0,,,
Liquor laws,174484.0,156573.0,-10.3,2909.0,2981.0,2.5,27744.0,25580.0,-7.8,146740.0,130993.0,-10.7,,,
Drunkenness,294270.0,283471.0,-3.7,458.0,420.0,-8.3,3757.0,3333.0,-11.3,290513.0,280138.0,-3.6,,,
Disorderly conduct,284037.0,269318.0,-5.2,19466.0,18924.0,-2.8,50883.0,48293.0,-5.1,233154.0,221025.0,-5.2,,,
Vagrancy,19012.0,18007.0,-5.3,140.0,140.0,0.0,583.0,547.0,-6.2,18429.0,17460.0,-5.3,,,
All other offenses (except traffic),2460814.0,2483220.0,0.9,29107.0,28688.0,-1.4,117866.0,113705.0,-3.5,2342948.0,2369515.0,1.1,,,
Suspicion,590.0,588.0,-0.3,22.0,12.0,-45.5,70.0,50.0,-28.6,520.0,538.0,3.5,,,
Curfew and loitering law violations,26695.0,23461.0,-12.1,7676.0,6900.0,-10.1,26695.0,23461.0,-12.1,-,-,-,,,
1 Does not include suspicion.,,,,,,,,,,,,,,,
2 The rape figures in this table are aggregate totals of the data submitted based on both the legacy and revised Uniform Crime Reporting definitions.,,,,,,,,,,,,,,,
"3 Violent crimes are offenses of murder and nonnegligent manslaughter, rape, robbery, and aggravated assault. Property crimes are offenses of burglary, larceny-theft, motor vehicle 
theft, and arson.",,,,,,,,,,,,,,,
