People QuickFacts,Bates County,Missouri
"Population, 2013 estimate","16,550","6,044,171"
"Population, 2010 (April 1) estimates base","17,049","5,988,923"
"Population, percent change, April 1, 2010 to July 1, 2013",-2.9%,0.9%
"Population, 2010","17,049","5,988,927"
"Persons under 5 years, percent, 2013",5.9%,6.2%
"Persons under 18 years, percent, 2013",24.0%,23.1%
"Persons 65 years and over, percent, 2013",18.9%,15.0%
"Female persons, percent, 2013",50.7%,51.0%
,,
"White alone, percent, 2013 (a)",96.6%,83.7%
"Black or African American alone, percent, 2013 (a)",1.1%,11.7%
"American Indian and Alaska Native alone, percent, 2013 (a)",0.7%,0.5%
"Asian alone, percent, 2013 (a)",0.2%,1.8%
"Native Hawaiian and Other Pacific Islander alone, percent, 2013 (a)",Z,0.1%
"Two or More Races, percent, 2013",1.4%,2.0%
"Hispanic or Latino, percent, 2013 (b)",2.1%,3.9%
"White alone, not Hispanic or Latino, percent, 2013",94.9%,80.4%
,,
"Living in same house 1 year & over, percent, 2008-2012",89.3%,83.6%
"Foreign born persons, percent, 2008-2012",1.2%,3.9%
"Language other than English spoken at home, pct age 5+, 2008-2012",2.3%,6.1%
"High school graduate or higher, percent of persons age 25+, 2008-2012",83.9%,87.2%
"Bachelor's degree or higher, percent of persons age 25+, 2008-2012",10.9%,25.8%
"Veterans, 2008-2012","1,253","494,876"
"Mean travel time to work (minutes), workers age 16+, 2008-2012",28.2,23.2
,,
"Housing units, 2013","7,777","2,719,001"
"Homeownership rate, 2008-2012",74.6%,69.0%
"Housing units in multi-unit structures, percent, 2008-2012",7.3%,19.7%
"Median value of owner-occupied housing units, 2008-2012","$104,300","$138,400"
"Households, 2008-2012","6,733","2,358,270"
"Persons per household, 2008-2012",2.48,2.46
"Per capita money income in past 12 months (2012 dollars), 2008-2012","$20,676","$25,546"
"Median household income, 2008-2012","$39,371","$47,333"
"Persons below poverty level, percent, 2008-2012",17.0%,15.0%
,,
Business QuickFacts,Bates County,Missouri
"Private nonfarm establishments, 2012",350.0,"146,604"
"Private nonfarm employment, 2012","2,853","2,320,239"
"Private nonfarm employment, percent change, 2011-2012",3.7%,1.0%
"Nonemployer establishments, 2012","1,135","394,685"
,,
"Total number of firms, 2007","1,459","501,064"
"Black-owned firms, percent, 2007",F,4.9%
"American Indian- and Alaska Native-owned firms, percent, 2007",F,0.6%
"Asian-owned firms, percent, 2007",S,1.9%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007",F,0.1%
"Hispanic-owned firms, percent, 2007",F,1.2%
"Women-owned firms, percent, 2007",S,26.1%
,,
"Manufacturers shipments, 2007 ($1000)",0.0,"110,907,604"
"Merchant wholesaler sales, 2007 ($1000)","77,442","81,032,913"
"Retail sales, 2007 ($1000)","135,422","76,575,216"
"Retail sales per capita, 2007","$7,994","$12,957"
"Accommodation and food services sales, 2007 ($1000)","12,312","11,070,634"
"Building permits, 2012",3.0,"12,297"
,,
Geography QuickFacts,Bates County,Missouri
"Land area in square miles, 2010",836.69,"68,741.52"
"Persons per square mile, 2010",20.4,87.1
FIPS Code,13.0,29.0
Metropolitan or Micropolitan Statistical Area,"Kansas City, MO-KS Metro Area",
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
