"Revenues, State Totals",,,,,,,,,,,,,,
"By Division - Source:  MS created, probably from AEA annual reports",,,,,,,,,,,,,,
Major Program,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,
Special Education Support,81098137.0,91902246.0,97904059.0,102484149.0,110517556.0,114765450.0,119015776.0,122009924.0,128701245.0,140257302.0,,,,
Media Services,12679538.0,14854660.0,15745534.0,16351912.0,17240444.0,17790375.0,18501870.0,19948451.0,21961645.0,22728024.0,,,,
Education Services,20378717.0,20575168.0,22500815.0,23713588.0,25752614.0,26610266.0,30569248.0,31736336.0,34231149.0,35137885.0,,,,
,,,,,,,,,,,,,,
Controlled Funding - Source:  Aid and Levy State Totals,,,,,,,,,,,,,,
,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0
Special Education Support,66001316.0,67449877.0,72402113.0,76288066.0,79237211.0,81796629.0,84464318.0,88277543.0,92444404.0,96381311.0,100332319.0,103382454.0,107245598.0,111026107.0
Media Services,12022593.0,12303416.0,13270809.0,13998499.0,14778997.0,15190099.0,15683971.0,16320417.0,16990907.0,17588405.0,18164970.0,18608679.0,19184863.0,19730994.0
Education Services,13344754.0,13647499.0,14719203.0,15439204.0,16297614.0,16751174.0,17299531.0,18004539.0,18742111.0,19405663.0,20042454.0,20534743.0,21167941.0,21771006.0
,,,,,,,,,,,,,,
,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,,,,,,,
Special Education Support,111026348.0,104834144.0,107015031.0,97484247.0,113350055.0,119969868.0,124773547.0,,,,,,,
Media Services,19731031.0,19728417.0,20026904.0,20282059.0,20989508.0,20813256.0,21653782.0,,,,,,,
Education Services,21771047.0,21767366.0,22137629.0,22418300.0,23196793.0,23048271.0,23928782.0,,,,,,,
,,,,,,163831395.0,170356111.0,,,,,,,
