Set of 114 aliphatic compounds from Devos et al. 1990,,,,,,,,,,,,,,,,,"This column (sum of squared residues) has been used as a target to be mininized with the optimization tool ""SOLVER""",,,,
ODT in pOL units,,,,,,,,,,,,,k,pOLmax,a,pKref,S res2,,,,
,,,observed,,,,,predicted,,,,thiols,1.0,9.5,1.4,,1.2375169129602042,,,,
,Chem. Name,Formula,ODT,,pKa,Natm,,ODT,residuals,resid2,,amines,1.0,9.5,1.4,8.6,4.48458476926095,,,,
amines,methylamine,CH5N,7.73,,10.66,2.0,,6.761400404654003,0.9685995953459976,0.9381851761044303,,esters,0.075,9.5,1.4,,4.5840638295331075,,,,
,dimethylamine,C2H7N,7.09,,10.73,3.0,,7.279666321264674,-0.1896663212646743,0.035973313422074646,,thioethers,1.0,8.5,1.4,,5.332252904153487,,,,
,ethylamine,C2H7N,6.49,,10.81,3.0,,7.199666321264674,-0.7096663212646739,0.5036262875373353,,aldehydes,0.39,8.5,1.4,,1.697538549947158,,variance ODT=,,2.6032857941313967
,trimethylamine,C3H9N,8.62,,9.81,4.0,,8.281023208080452,0.33897679191954744,0.11490526546006816,,acids,0.2,8.5,1.4,,2.1601949735319135,,variance residuals=,,0.25642579642844093
,propylamine,C3H9N,7.96,,10.6,4.0,,7.491023208080453,0.46897679191954733,0.2199392313591504,,1-alcohols,0.2,7.7,1.4,,2.0710641941059147,R2=,0.9014991757699047,,
,diethylamine,C4H11N,6.73,,11.09,5.0,,7.009301781100643,-0.2793017811006422,0.07800948492599105,,2-ketones,0.13,7.7,1.4,,0.9692828788715084,,,,
,butylamine,C4H11N,6.28,,10.78,5.0,,7.319301781100643,-1.0393017811006429,1.0801481921989686,,hydrocarbons,0.13,6.0,1.4,,0.5744921877647446,,,,
,triethylamine,C6H15N,6.51,,11.01,7.0,,7.0899977261887575,-0.5799977261887577,0.3363973623841291,,,,,,total=,23.110991200128986,,,,
,dipropylamine,C6H15N,7.2,,11.0,7.0,,7.099997726188757,0.10000227381124294,0.010000454767418804,,,,,,,,,,,
,dibutylamine,C8H19N,7.0,,11.25,9.0,,6.849999996328737,0.15000000367126276,0.02250000110137884,,,,,,,,,,,
,tributylamine,C12H27N,8.28,,10.89,13.0,,7.209999999999997,1.070000000000002,1.1449000000000045,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
thiols,methanethiol,CH4S,8.98,,,2.0,,8.821400404654003,0.1585995953459971,0.025153831643914024,,,,,,,,,,,
,ethanethiol,C2H6S,8.97,,,3.0,,9.409666321264675,-0.4396663212646743,0.19330647405441181,,,,,,,,,,,
,1-propanethiol,C3H8S,8.9,,,4.0,,9.491023208080453,-0.5910232080804523,0.3493084324897096,,,,,,,,,,,
,2-propanethiol,C3H8S,9.45,,,4.0,,9.491023208080453,-0.041023208080453344,0.0016829036012121726,,,,,,,,,,,
,1-butanethiol,C4H10S,8.85,,,5.0,,9.499301781100643,-0.6493017811006432,0.4215928029404676,,,,,,,,,,,
,2-butanethiol,C4H10S,9.74,,,5.0,,9.499301781100643,0.24069821889935739,0.05793563258132296,,,,,,,,,,,
,1-pentanethiol,C5H12S,9.92,,,6.0,,9.499956150325747,0.42004384967425246,0.17643683564916599,,,,,,,,,,,
,1-dodecanethiol,C12H26S,9.61,,,13.0,,9.499999999999998,0.11000000000000121,0.012100000000000265,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
thio-,methylthiomethane,C2H6S,8.65,,,3.0,,8.419175129552604,0.23082487044739608,0.053280120817057186,,,,,,,,,,,
-ethers,methyl thioethane,C3H8S,8.42,,,4.0,,8.491968133545669,-0.07196813354566878,0.005179412246047216,,,,,,,,,,,
,ethylthioethane,C4H10S,8.41,,,5.0,,8.499375277826891,-0.08937527782689081,0.00798794028663392,,,,,,,,,,,
,propylthiopropane,C6H14S,7.87,,,7.0,,8.49999796553731,-0.6299979655373091,0.39689743658114857,,,,,,,,,,,
,butylthiobutane,C8H18S,8.03,,,9.0,,8.499999996715186,-0.46999999671518644,0.22089999691227527,,,,,,,,,,,
,pentylthiopentane,C10H22S,9.44,,,11.0,,8.499999999997094,0.9400000000029056,0.8836000000054626,,,,,,,,,,,
,methyldithiomethane,C2H6S2,7.91,,,4.0,,8.491968133545669,-0.5819681335456686,0.3386869084626291,,,,,,,,,,,
,methyldithioethane,C3H8S2,7.78,,,5.0,,8.499375277826891,-0.7193752778268907,0.5175007903485161,,,,,,,,,,,
,ethyldithioethane,C4H10S2,9.37,,,6.0,,8.499960766080932,0.8700392339190675,0.7569682685584778,,,,,,,,,,,
,propyldithiopropane,C6H14S2,7.15,,,8.0,,8.499999911397655,-1.3499999113976546,1.8224997607736753,,,,,,,,,,,
,methyltrithiomethane,C2H6S3,8.78,,,5.0,,8.499375277826891,0.2806247221731084,0.07875023469473429,,,,,,,,,,,
,ethyltrithioethane,C4H10S3,9.0,,,7.0,,8.49999796553731,0.5000020344626908,0.2500020344668298,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
acids,formic acid,CH2O2,4.55,,,3.0,,5.150005114407327,-0.6000051144073275,0.3600061373149502,,,,,,,,,,,
,acetic acid,C2H4O2,6.84,,,4.0,,6.3889504049423,0.45104959505770026,0.20344573720171538,,,,,,,,,,,
,propanoic acid,C3H6O2,7.45,,,5.0,,7.233303633811351,0.21669636618864896,0.046957315119365045,,,,,,,,,,,
,butanoic acid,C4H8O2,8.41,,,6.0,,7.771771822890396,0.6382281771096041,0.4073352060566482,,,,,,,,,,,
,pentanoic acid,C5H10O2,8.32,,,7.0,,8.097074191008897,0.22292580899110348,0.04969591631433795,,,,,,,,,,,
,hexanoic acid,C6H12O2,7.9,,,8.0,,8.284709838529283,-0.3847098385292824,0.14800165986122654,,,,,,,,,,,
,heptanoic acid,C7H14O2,7.56,,,9.0,,8.388612288805277,-0.8286122888052772,0.68659832515912,,,,,,,,,,,
,octanoic acid,C8H16O2,8.4,,,10.0,,8.444072926705324,-0.04407292670532392,0.0019424228683728546,,,,,,,,,,,
,nonanoic acid,C9H18O2,8.72,,,11.0,,8.472698969605556,0.2473010303944445,0.061157799634153964,,,,,,,,,,,
,decanoic acid,C10H20O2,8.06,,,12.0,,8.487022549718521,-0.4270225497185205,0.1823482579681063,,,,,,,,,,,
