10 Percent Biennial Base Reduction Options Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First 5% Reduction,,,,,,,,,,,,,,,,,,,,,,,,,Second 5% Reduction,,,,,,,,,,,
(priority order),Strategy Name,FY12 Budgeted,,FY13 Budgeted,,FY12-13 Budgeted Base,,Proposed FY14-15 Base,,Proposed FY14-15 Base,First Proposed Reduction,,,Second Proposed Reduction,,,FTE Reductions (FY12-FY13 Base),,First Reduction % of Proposed Base,Second Reduction % of Proposed Base,TOTAL Reduction % of Proposed Base,Running Total,Cumulative %,,(priority order),Strategy Name,Proposed FY14-15 Base,Second Proposed Reduction,Second Reduction % of Proposed Base,,,,,,,
Rank of First Reduction,,GR,GR-D,GR,GR-D,GR,GR-D,GR,GR-D,GR/GR-D,GR,GR-Dedicated,GR/GR-D,GR,GR-Dedicated,Total GR/   GR-D,FY 12,FY 13,,,,,,,Rank of Second Reduction,,GR/GR-D,GR/GR-D,,,,,,,,
Column1,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column112,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,#VALUE!,#VALUE!,,Column2,Column3,Column112,Column17,Column21,,,,,,,
1,D.1.11. Alzheimer's Disease Cen,5230625,,,,5230625,0,4230625,,4230625,0,0,627035,475000,0,475000,0,0,0.14821332545427685,0.11227655488255281,0.2604898803368297,#REF!,#REF!,,1,D.1.11. Alzheimer's Disease Cen,4230625,152035,0.035936770571724036,,,,E.1.2. Baylor COM-GME,,,0.19540319779051143
2,A.1.1. College Readiness and Success,1314104,,1272752,,2586856,0,4027042,,3727042,642178,0,642178,569695,0,569695,0,0,0.1594664272187874,0.14146735991330608,0.30093378713209346,#REF!,#REF!,,2,A.1.1. College Readiness and Success,3727042,569695,0.1528544620640175,,,,E.1.1. Baylor Col of Med UGME,,,0.19936134676900405
3,"A.2.1. Workforce, Academic Affairs, & Research",1269915,,1267915,,2537830,0,3309510,,3384510,153915,0,153915,174442,0,174442,0,0,0.04650688470498654,0.05270931346332237,0.0992161981683089,#REF!,#REF!,,3,"A.2.1. Workforce, Academic Affairs, & Research",3384510,174442,0.0515412866264245,,,,A.1.1. College Readiness and Success,,,0.10010581321628612
4,"A.3.1. Planning, Information and Evaluation",1647340,,1597340,,3244680,0,3829956,,3979956,186000,0,186000,149956,0,149956,0,0,0.04856452658986161,0.039153452415641325,0.08771797900550293,#REF!,#REF!,,4,"A.3.1. Planning, Information and Evaluation",3979956,149956,0.03767780347320423,,,,"A.2.1. Workforce, Academic Affairs, and Research",,,0.0876776421750769
5,I.1.3. Other Support Services,774963,,774962,,1549925,0,1549925,,1549925,77496,0,77496,77496,0,77496,0,0,0.04999983870187267,0.04999983870187267,0.09999967740374534,#REF!,,,5,I.1.3. Other Support Services,1549925,77496,0.04999983870187267,,,,"A.3.1. Planning, Information and Evaluation",,,0.07154381544822719
6,I.1.1. Central Administration,3527213,,3406806,,6934019,0,7067451,,7142451,346701,0,152261,346701,0,346701,0,0,0.02154397674635452,0.049056017509000065,0.07059999425535458,#REF!,,,6,B.1.11. Border Faculty LRP,375626,375626,1,,,,I.1.3. Other Sup Ser,,,1.2370972902525061
7,C.1.2. TX Research Incentive Pro,17812500,,17812500,,35625000,0,35625000,,35625000,1781250,0,1781250,1781250,0,1781250,0,0,0.05,0.05,0.1,#REF!,,,7,A.1.3. Student Grants and Special Prgs,1850602,92530,0.049999945963529704,,,,B.1.11. Border Faculty LRP,,,0.049999945963529704
8,D.1.5. Joint Admiss Md Pro,7006794,,,,7006794,0,4006794,,4006794,950000,0,950000,475000,0,475000,0,0,0.23709729025250612,0.11854864512625306,0.35564593537875916,#REF!,,,8,I.1.1. Central Administration,7142451,474425,0.06642327682752042,,,,A.1.3. Student Grants and Special Prgs,,,0.643632252182865
9,I.1.2. Information Resources,1209022,,1428628,,1338650,0,2637650,,2640033,0,0,66933,66933,0,66933,0,0,0.02537599757359771,0.02537599757359771,0.05075199514719542,#REF!,#REF!,,9,I.1.2. Information Resources,2640033,66933,0.025353092177256877,,,,I.1.1. Central Adm,,,0.050729089750854585
10,A.1.3. Student Grants and Special Prgs,1128341,,1128341,,2256682,0,1850602,,1850602,92530,0,92530,92530,0,92530,0,0,0.049999945963529704,0.049999945963529704,0.09999989192705941,#REF!,#REF!,,10,D.1.10. Prof Nurse Shortage,30000000,1500000,0.05,,,,I.1.2. Info Resources,,,0.05
11,D.1.10. Prof Nurse Shortage,15000000,,15000000,,30000000,0,30000000,,30000000,1500000,0,1500000,1500000,0,1500000,0,0,0.05,0.05,0.1,#REF!,#REF!,,11,D.1.5. Joint Admiss Md Pro,4006794,475000,0.11854864512625306,,,,F.1.2. Centers for Teacher Ed,,,0.16854864512625306
12,B.1.2 Texas B-On-Time,17304000,80557791,14104000,,31408000,80557791,14000000,33000000,80557791,0,0,46498680,0,0,0,,,0.5772089753553445,0,0.9893336170212766,#REF!,#REF!,,12,C.1.2. TX Research Incentive Pro,35625000,1781250,0.05,,,,D.1.10. Prof Nurse Shortage,,,#REF!
