People QuickFacts,Knightdale,North Carolina
"Population, 2013 estimate","13,291","9,848,060"
"Population, 2010 (April 1) estimates base","11,406","9,535,471"
"Population, percent change, April 1, 2010 to July 1, 2013",16.5%,3.3%
"Population, 2010","11,401","9,535,483"
"Persons under 5 years, percent, 2010",7.8%,6.6%
"Persons under 18 years, percent, 2010",29.4%,23.9%
"Persons 65 years and over, percent,  2010",6.4%,12.9%
"Female persons, percent, 2010",53.4%,51.3%
,,
"White alone, percent, 2010 (a)",50.0%,68.5%
"Black or African American alone, percent, 2010 (a)",38.3%,21.5%
"American Indian and Alaska Native alone, percent, 2010 (a)",0.6%,1.3%
"Asian alone, percent, 2010 (a)",1.7%,2.2%
"Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)",0.1%,0.1%
"Two or More Races, percent, 2010",3.5%,2.2%
"Hispanic or Latino, percent, 2010 (b)",11.4%,8.4%
"White alone, not Hispanic or Latino, percent, 2010",45.9%,65.3%
,,
"Living in same house 1 year & over, percent, 2009-2013",83.9%,84.7%
"Foreign born persons, percent, 2009-2013",12.3%,7.6%
"Language other than English spoken at home, pct age 5+, 2009-2013",16.3%,10.9%
"High school graduate or higher, percent of persons age 25+, 2009-2013",89.6%,84.9%
"Bachelor's degree or higher, percent of persons age 25+, 2009-2013",41.6%,27.3%
"Veterans, 2009-2013",742.0,"724,295"
"Mean travel time to work (minutes), workers age 16+, 2009-2013",25.4,23.6
"Housing units, 2010","4,723","4,327,528"
"Homeownership rate, 2009-2013",65.9%,66.4%
"Housing units in multi-unit structures, percent, 2009-2013",25.3%,17.2%
"Median value of owner-occupied housing units, 2009-2013","$168,800","$153,600"
"Households, 2009-2013","4,416","3,715,565"
"Persons per household, 2009-2013",2.7199999999999998,2.5300000000000002
"Per capita money income in past 12 months (2013 dollars), 2009-2013","$29,263","$25,284"
"Median household income, 2009-2013","$71,066","$46,334"
"Persons below poverty level, percent, 2009-2013",7.5%,17.5%
,,
Business QuickFacts,Knightdale,North Carolina
"Total number of firms, 2007","1,181","798,791"
"Black-owned firms, percent, 2007",S,10.5%
"American Indian- and Alaska Native-owned firms, percent, 2007",F,1.0%
"Asian-owned firms, percent, 2007",F,2.5%
"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007",F,0.1%
"Hispanic-owned firms, percent, 2007",S,2.7%
"Women-owned firms, percent, 2007",24.2%,28.2%
,,
"Manufacturers shipments, 2007 ($1000)",0.0,"205,867,299"
"Merchant wholesaler sales, 2007 ($1000)",D,"88,795,885"
"Retail sales, 2007 ($1000)","200,933","114,578,173"
"Retail sales per capita, 2007","$26,845","$12,641"
"Accommodation and food services sales, 2007 ($1000)","27,144","16,126,939"
,,
Geography QuickFacts,Knightdale,North Carolina
"Land area in square miles, 2010",6.21,"48,617.91"
"Persons per square mile, 2010","1,837.1",196.1
FIPS Code,36080.0,37.0
Counties,Wake County,
,,
(a) Includes persons reporting only one race.,,
"(b) Hispanics may be of any race, so also are included in applicable race categories.",,
FN: Footnote on this item for this area in place of data,,
NA: Not available,,
D: Suppressed to avoid disclosure of confidential information,,
X: Not applicable,,
S: Suppressed; does not meet publication standards,,
Z: Value greater than zero but less than half unit of measure shown,,
F: Fewer than 100 firms,,
Source: US Census Bureau State & County QuickFacts,,
