UNIVERSITY OF HAWAI‘I AT HILO,,,,,,,,,,,,,,,,,,,,,,
PEER GROUP,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1.0,Arkansas Tech University,,,Russellville,,AR,,,Master's (Comprehensive) Colleges & Universities I,,,Master's Colleges & Universities I,,,106467.0,,,1089.0,,,www.atu.edu
,2.0,Bemidji State University,,,Bemidji,,MN,,,Master's (Comprehensive) Colleges & Universities I,,,Master's Colleges & Universities II,,,173124.0,,,2336.0,,,www.bemidjistate.edu
,3.0,California State University - Monterey Bay  1/,,,Seaside,,CA,,,,,,Baccalaureate Colleges - Liberal Arts,,,409698.0,,,32603.0,,,www.csumb.edu
,4.0,Cameron University,,,Lawton,,OK,,,Baccalaureate Colleges II,,,Master's Colleges & Universities I,,,206914.0,,,3150.0,,,www.cameron.edu
,5.0,Coastal Carolina University,,,Conway,,SC,,,Baccalaureate Colleges II,,,Baccalaureate Colleges - Liberal Arts,,,218724.0,,,3451.0,,,www.coastal.edu
,6.0,Delaware State University,,,Dover,,DE,,,Master's (Comprehensive) Colleges & Universities I,,,Master's Colleges & Universities I,,,130934.0,,,1428.0,,,www.desu.edu
,7.0,Fort Valley State University,,,Fort Valley,,GA,,,Master's (Comprehensive) Colleges & Universities I,,,Master's Colleges & Universities I,,,139719.0,,,1566.0,,,www.fvsu.edu
,8.0,Lincoln University,,,Jefferson City,,MO,,,Master's (Comprehensive) Colleges & Universities II,,,Master's Colleges & Universities I,,,177940.0,,,2479.0,,,www.lincolnu.edu
,9.0,Savannah State University,,,Savannah,,GA,,,Baccalaureate Colleges II,,,Master's Colleges & Universities II,,,140960.0,,,1590.0,,,www.savstate.edu
,10.0,"State University of New York (SUNY), Purchase College",,,Purchase,,NY,,,Baccalaureate Colleges II,,,Master's Colleges & Universities II,,,196219.0,,,6791.0,,,www.purchase.edu
,11.0,University of Arkansas at Pine Bluff,,,Pine Bluff,,AR,,,Baccalaureate Colleges II,,,Baccalaureate Colleges - General,,,106412.0,,,1086.0,,,www.uapb.edu
,12.0,University of Guam,,,Mangilao,,GU,,,Master's (Comprehensive) Colleges & Universities II,,,Master's Colleges & Universities I,,,240754.0,,,3935.0,,,www.uog.edu
,13.0,University of Maryland Eastern Shore,,,Princess Anne,,MD,,,Master's (Comprehensive) Colleges & Universities II,,,Master's Colleges & Universities I,,,163338.0,,,2106.0,,,www.umes.edu
,14.0,University of North Carolina at Asheville,,,Asheville,,NC,,,Baccalaureate (Liberal Arts) Colleges I,,,Baccalaureate Colleges - Liberal Arts,,,199111.0,,,2907.0,,,www.unca.edu
,15.0,University of South Carolina - Aiken,,,Aiken,,SC,,,Baccalaureate Colleges II,,,Baccalaureate Colleges - General,,,218645.0,,,3449.0,,,www.usca.edu
,16.0,University of Wisconsin - Parkside,,,Kenosha,,WI,,,Master's (Comprehensive) Colleges & Universities II,,,Master's Colleges & Universities II,,,240374.0,,,5015.0,,,www.uwp.edu
,,,,,,,,,,,,,,,,,,,,,,
,,University of Hawai‘i at Hilo,,,Hilo,,HI,,,Baccalaureate Colleges II,,,Baccalaureate Colleges - Liberal Arts,,,141565.0,,,1611.0,,,www.uhh.hawaii.edu
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Note:  University of Hawai‘i at Hilo peer group listing was developed by the University of Hawai‘i Office of Planning & Policy, University of Hawai‘i Institutional Research Office, and University of Hawai‘i at Hilo officials.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1/  California State University - Monterey Bay was established in 1994; 1994 Carnegie Classification not available.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,
,,"Peer Group Listing:  University of Hawai‘i Office of Planning & Policy, University of Hawai‘i Institutional Research Office, University of Hawai‘i at Hilo, December 2001",,,,,,,,,,,,,,,,,,,,
,,"Institution Names, Campus Locations, Unit ID, and FICE:  Higher Education Directory, 2004",,,,,,,,,,,,,,,,,,,,
,,"Carnegie Classifications:  Carnegie Foundation for the Advancement of Teaching, ""The Carnegie Classification of Institutions of Higher Education, 2000 Edition,"" Electronic Data File, 2000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Group Listing last updated:  December 2001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Institution Information last updated:  October 2004,,,,,,,,,,,,,,,,,,,,,
