"UNIVERSITY OF HAWAI‘I, HONOLULU COMMUNITY COLLEGE",,,,,,,,,,,,,,,,,,,,,,
PEER GROUP  1/,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Institution,,,City,,State,,,1994 Carnegie Classification,,,2000 Carnegie Classification,,,Unit ID,,,FICE,,,URL
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1.0,Cape Fear Community College,,,Wilmington,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,198154.0,,,5320.0,,,www.cfcc.edu
,2.0,College of Alameda,,,Alameda,,CA,,,Associate of Arts Colleges,,,Associate's Colleges,,,108667.0,,,6720.0,,,www.peralta.cc.ca.us/coa/coa.htm
,3.0,Cowley County Community College,,,Arkansas City,,KS,,,Associate of Arts Colleges,,,Associate's Colleges,,,154952.0,,,1902.0,,,www.cowley.edu
,4.0,"Delaware Technical & Community College, Stanton-Wilmington Campus",,,Newark,,DE,,,Associate of Arts Colleges,,,Associate's Colleges,,,130916.0,,,21449.0,,,www.dtcc.edu/stanton
,5.0,Eastern Arizona College,,,Thatcher,,AZ,,,Associate of Arts Colleges,,,Associate's Colleges,,,104577.0,,,1073.0,,,www.eac.edu
,6.0,Gaston College,,,Dallas,,NC,,,Associate of Arts Colleges,,,Associate's Colleges,,,198570.0,,,2973.0,,,www.gaston.cc.nc.us
,7.0,Lehigh Carbon Community College  2/,,,Schnecksville,,PA,,,Associate of Arts Colleges,,,Associate's Colleges,,,213525.0,,,6810.0,,,www.lccc.edu
,8.0,Maple Woods Community College,,,Kansas City,,MO,,,Associate of Arts Colleges,,,Associate's Colleges,,,178022.0,,,9139.0,,,www.maplewoods.cc.mo.us
,9.0,North Idaho College,,,Coeur d'Alene,,ID,,,Associate of Arts Colleges,,,Associate's Colleges,,,142443.0,,,1623.0,,,www.nidc.edu
,10.0,Northeast Community College,,,Norfolk,,NE,,,Associate of Arts Colleges,,,Associate's Colleges,,,181491.0,,,11667.0,,,www.northeastcollege.com
,11.0,South Seattle Community College,,,Seattle,,WA,,,Associate of Arts Colleges,,,Associate's Colleges,,,236504.0,,,9706.0,,,www.sccd.ctc.edu/south
,12.0,Stark State College of Technology  3/,,,Canton,,OH,,,Associate of Arts Colleges,,,Associate's Colleges,,,205841.0,,,10881.0,,,www.starkstate.edu
,13.0,Tri-County Technical College,,,Pendleton,,SC,,,Associate of Arts Colleges,,,Associate's Colleges,,,218885.0,,,4926.0,,,www.tctc.edu
,14.0,Victor Valley College,,,Victorville,,CA,,,Associate of Arts Colleges,,,Associate's Colleges,,,125091.0,,,1335.0,,,http://www.victor.cc.ca.us/
,,,,,,,,,,,,,,,,,,,,,,
,,"University of Hawai‘i, Honolulu Community College",,,Honolulu,,HI,,,Associate of Arts Colleges,,,Associate's Colleges,,,141680.0,,,1612.0,,,www.honolulu.hawaii.edu
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Note:  Honolulu Community College peer group listing was developed by the National Center for Higher Education Management Systems (NCHEMS) Information Service.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1/  Benchmark comparison group for Honolulu Community College is not available.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2/  Name changed from Lehigh County Community College to Lehigh Carbon Community College in January 1994.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,3/  Name changed from Stark Technical College to Stark State College of Technology in 1996.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,
,,"Peer Group Listing:  University of Hawai‘i, Office of Planning & Policy, Revised April 1998",,,,,,,,,,,,,,,,,,,,
,,"Institution Names, Campus Locations, Unit ID, and FICE:  Higher Education Directory, 2004",,,,,,,,,,,,,,,,,,,,
,,"Carnegie Classifications:  Carnegie Foundation for the Advancement of Teaching, ""The Carnegie Classification of Institutions of Higher Education, 2000 Edition,"" Electronic Data File, 2000",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Group Listing last updated:  April 1998,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Peer Institution Information last updated:  October 2004,,,,,,,,,,,,,,,,,,,,,
