STATE SENATE DISTRICT NO. 9,,,,
,"Roberge, r","Peterson, d",Scatter,
Amherst,3455.0,2220.0,7.0,
Bedford,6446.0,3339.0,6.0,
Merrimack,6775.0,4603.0,11.0,
Mont Vernon,661.0,402.0,1.0,
New Boston,1283.0,780.0,3.0,
,,,,
Totals,18620.0,11344.0,28.0,
,,,,
STATE SENATE DISTRICT NO. 10,,,,
,"Eaton, r","Lynch, d",Scatter,
Chesterfield,1073.0,670.0,0.0,
Hinsdale,664.0,662.0,0.0,
Keene Ward 1,845.0,791.0,1.0,
Keene Ward 2,1086.0,916.0,3.0,
Keene Ward 3,1162.0,856.0,3.0,
Keene Ward 4,1244.0,840.0,4.0,
Keene Ward 5,1264.0,1037.0,1.0,
Marlborough,560.0,437.0,0.0,
Roxbury,79.0,38.0,0.0,
Sullivan,214.0,107.0,0.0,
Swanzey,1814.0,970.0,1.0,
Troy,531.0,348.0,0.0,
Westmoreland,555.0,300.0,0.0,
Winchester,820.0,582.0,0.0,
,,,,
Totals,11911.0,8554.0,13.0,
,,,,
STATE SENATE DISTRICT NO. 11,,,,
,"Daniels, r","Fernald, d","Multer, lib",Scatter
Dublin,377.0,491.0,22.0,
Fitzwilliam,464.0,530.0,47.0,
Greenfield,270.0,347.0,37.0,
Hancock,438.0,588.0,30.0,
Jaffrey,892.0,1329.0,81.0,1.0
Lyndeborough,369.0,357.0,31.0,
Milford,3075.0,2516.0,180.0,4.0
New Ipswich,1081.0,649.0,68.0,
Peterborough,1170.0,1897.0,91.0,1.0
Richmond,251.0,235.0,15.0,
Rindge,1112.0,887.0,137.0,
Sharon,70.0,115.0,6.0,
Temple,292.0,314.0,26.0,
Wilton,762.0,900.0,72.0,2.0
,,,,
Totals,10623.0,11155.0,843.0,8.0
,,,,
