PEAK POWER,Peak Days,Days,Sat,Sun,Holidays,ON-PEAK Hrs,OFF-PEAK Hrs,7x8 Hrs,2x16 Hrs,Peak Contact,Off Peak Contract,Total Hrs,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2001-07-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2001-08-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2001-09-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2001-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2001-11-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2001-12-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
2002-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2002-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2002-03-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2002-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2002-05-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2002-06-01 00:00:00,20,30,5,5,0,320,400,240,160,16000,20000,720,
2002-07-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2002-08-01 00:00:00,22,31,5,4,0,352,392,248,144,17600,19600,744,
2002-09-01 00:00:00,20,30,4,5,1,320,400,240,160,16000,20000,720,
2002-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2002-11-01 00:00:00,20,30,5,4,1,320,400,240,160,16000,20000,720,
2002-12-01 00:00:00,21,31,4,5,1,336,408,248,160,16800,20400,744,
2003-01-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2003-02-01 00:00:00,20,28,4,4,0,320,352,224,128,16000,17600,672,
2003-03-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2003-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,***Daylight Savings Time not accounted for (-1)
2003-05-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2003-06-01 00:00:00,21,30,4,5,0,336,384,240,144,16800,19200,720,
2003-07-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2003-08-01 00:00:00,21,31,5,5,0,336,408,248,160,16800,20400,744,
2003-09-01 00:00:00,21,30,4,4,1,336,384,240,144,16800,19200,720,
2003-10-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,***Daylight Savings Time not accounted for (+1)
2003-11-01 00:00:00,19,30,5,5,1,304,416,240,176,15200,20800,720,
2003-12-01 00:00:00,22,31,4,4,1,352,392,248,144,17600,19600,744,
2004-01-01 00:00:00,21,31,5,4,1,336,408,248,160,16800,20400,744,
2004-02-01 00:00:00,20,29,4,5,0,320,376,232,144,16000,18800,696,
2004-03-01 00:00:00,23,31,4,4,0,368,376,248,128,18400,18800,744,
2004-04-01 00:00:00,22,30,4,4,0,352,368,240,128,17600,18400,720,
2004-05-01 00:00:00,20,31,5,5,1,320,424,248,176,16000,21200,744,
