NG-X-OPT-PWR (Zipper) Liquidation Reconciliation,,,,,,,,,,,
September 2001,,,,,,,,,,,
,,,,,,,,,,,
,,,Squeeze btwn Beg Bal Gross Book Bal and End GBB,,,2302518,,,,,
,,,Squeeze btwn Beg Liquidations  and End Liq,,,-3058756,,,,,
,,,Should equal MTD Income,,,-756238,,,,,
,,,,,,,,,,,
,,,MTD INCOME PER DPR,,,38852,,,,,
,,,,Diff,,795090,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,DPR,GL,VAR,,,
,,,,,,,,,,,
,Liquidations for Zipper Power,,,,,,,,,,
,,,,,,,,,,,
,,,Rho & Drift,,,-3404,3404,0,,,
,,,Squeeze for MTD income is off by,,,795090,,795090,,,
,,,Northwest Physical Liquidations w/ West Power,,,,,0,,,
,,,East Upfront liquidation with Zipper per East file,,,-3055999,2725040,-330959,,1126049,
,,,Changed beginning balance of Liquidations,,,647,,647,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,-2263666,2728444,464778,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,Total Liquidations August,,-1379508,,,,,
