,,MUST be updated DAILY,,,,,,,,,
,,MAY be updated DAILY,,,,,,,,,
,,MUST be updated MONTHLY,,,,,,,,,
,,,,,,,,,,,
SAN JUAN,,,,WAHA,,,,,,,
Interstate Spot Price,,1.455,,Intrastate Spot Price,,1.515,,,,,
Interstate Fixed Price (RG),,2.09,,Intrastate Fixed Price,,1.96,,,,,
Interstate Fixed Price (NM),,2.09,,,,,,,,,
,,,,,,,,,,,
Units Using Interstate Gas Prices,,,,,Weighted,Cost of,,,,,
,,% Fixed,% Spot,MMBtus,Avg. Price,Gas Burn,,,,,
,Rio Grande 8,1,0,#NAME?,2.09,#NAME?,,,,,
,Rio Grande 7,1,0,#NAME?,2.09,#NAME?,,,,,
,Rio Grande 6,1,0,#NAME?,2.09,#NAME?,,,,,
,Total,,,#NAME?,,#NAME?,,,,,
,,,,,,,,,,,
Units Using Intrastate Gas Prices,,,,,,,,,,,
,Copper,1,0,#NAME?,1.96,#NAME?,,,,,
,,,,,,,,,,,
,,,,,,,,"Interstate Cheaper than Intrastate? yes = 1, no = -",,,
Units Using Either Interstate or Intrastate Gas Prices,,,,,,,,Fixed,Spot,,
,Newman 4,1,0,#NAME?,1.96,#NAME?,,0,1,,
,GT1+ST1,1,0,#NAME?,1.96,#NAME?,,,,,
,GT2+ST1,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 3,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 2,1,0,#NAME?,1.96,#NAME?,,,,,
,Newman 1,1,0,#NAME?,1.96,#NAME?,,,,,
,GT 1,1,0,#NAME?,1.96,#NAME?,,,,,
,GT 2,1,0,#NAME?,1.96,#NAME?,,,,,
,,,,#NAME?,,#NAME?,,,,,
,,,,,,,,,,,
,Total,,,#NAME?,,#NAME?,,,,,
,,,,,,,,,,,
ANALYSIS OF CURRENT MONTH WEIGHTED AVERAGE PRICES,,,,,,,,,,,
February,,,,,,,,,,,
INTERSTATE,,,,,,,,,,,
Supplier,,Base Price,,Volume,,Rio Grande,Newman,,Total Dollars Rio Grande,Total Dollars Newman,
USGT,SJ Inside FERC FOM,2.09,,15000,,0,15000,,0,940499.9999999999,
Duke,1/1-12/31/98 price not given (SJ),2.09,,10000,,10000,0,,627000,0,
Cook,4/1-11/30/98 Fixed or FOM Float (SJ),2.09,,15050,,15050,0,,943634.9999999999,0,
PNM,4/1-11/30/98 Fixed or FOM Float (SJ),2.09,,10000,,10000,0,,627000,0,
KN,1/1/97-12/31/01 NGI Bid Week Index (Waha),1.96,,56100,,0,56100,,0,3298680,
Spot Purchases,?,,,0,,0,0,,0,0,
,,,,,,35050,71100,,2197635,4239180,
,,,,,,,,W.A. Base Price,2.2392857142857143,2.129385171790235,
,,,,,,,Gross Receipts Tax,,0.05,0,
,,,,,,,Fuel Charge,,0.022,0.022,
,,,,,,,Surcharges,,0.0134,0.0134,
,,,,,,,Variable Price,,2.09,1.96,
,,,,,,,,,2.141794040137847,,
INTRASTATE,,,,,,,,,,,
,,,,,,,,,,,
KN Marketing,,W.A. Base Price,,2.1,,,,,,,
,,Gross Receipts Tax,,0.025,,,,,,,
,,Variable Price,,2.1525,,,,,,,
