NATURAL GAS NET IMPORTS - LONG/SHORT TERM LICENCES/ORDERS (I UNITS & $CDN),,,,,,,,,,,,,,,,,,
IMPORTATIONS NETTES DE GAZ NATUREL - LICENCES/ORDONNANCES A LONG/COURT TERME (UNITÉS SI & $CAN),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,MONTH/MOIS:,,2000-11-01 00:00:00,,,,,,MONTH/MOIS:,,NOVEMBER 2000 - NOVEMBER 2000,,,,
,,,,AUTHORIZED VOLUME,,ENERGY,IMPORT VALUE,AVERAGE PRICE,,,AUTHORIZED VOLUME,,ENERGY,IMPORT VALUE,AVERAGE PRICE,,,
IMPORTER,IMPORT PT.,,VOLUME,VOLUME AUTHORISÉ,% ACTUAL OF AUTHORIZED,ÉNERGIE,RECETTES A L'IMPORTATION,PRIX MOYEN,,VOLUME,VOLUME AUTHORISÉ,% ACTUAL OF AUTHORIZED,ÉNERGIE,RECETTES A L'IMPORTATION,PRIX MOYEN,,,
IMPORTATEUR,POINT D'IMPORTATION,LIC/ORD,1000 M3,1000 M3,% REEL DU VOLUME AUTORISÉ,GJ,$,$/GJ,,1000 M3,1000 M3,% REEL DU VOLUME AUTORISÉ,GJ,$,$/GJ,,,
,,,,,,,,,,,,,,,,,,
SHORT TERM,,,,,,,,,,,,,,,,,,
B.C. GAS,HUNTINGDON,GO-53-99,6236.1,0,0,247697.89961242676,,,,6236.1,0,0,247697.89961242676,,,,,
COENERGY II,CORUNNA,GO-41-99,20967,0,0,791294.6151924133,,,,20967,0,0,791294.6151924133,,,,,
COENERGY II,OJIBWAY (WINDSOR),GO-41-99,3075,0,0,116050.5051612854,,,,3075,0,0,116050.5051612854,,,,,
COENERGY II,ST CLAIR,GO-41-99,97993,0,0,3698255.984477997,,,,97993,0,0,3698255.984477997,,,,,
DUKE ENERGY,IROQUOIS,GO-62-99,194255.8,0,0,7362295.116410827,,,,194255.8,0,0,7362295.116410827,,,,,
ENBRIDGE CONSUMERS,CORUNNA,GO-102-99,20994.7,0,0,794649.3629646301,,,,20994.7,0,0,794649.3629646301,,,,,
MONTANA POWER,LOOMIS,GO-15-00,1789.6,0,0,66465.74290771484,,,,1789.6,0,0,66465.74290771484,,,,,
PREMSTAR,OJIBWAY (WINDSOR),GO-35-00,280.5,0,0,10552.409700393677,,,,280.5,0,0,10552.409700393677,,,,,
PREMSTAR,ST CLAIR,GO-35-00,20164.2,0,0,758577.1824623108,,,,20164.2,0,0,758577.1824623108,,,,,
TENASKA GAS,SARNIA,GO-77-99,28934,0,0,1086761.0797348022,,,,28934,0,0,1086761.0797348022,,,,,
UNION GAS,OJIBWAY (WINDSOR),GO-36-99,71709,0,0,2706004.138645935,,,,71709,0,0,2706004.138645935,,,,,
VECTOR PIPELINE LTD.,COURTRIGHT,GO-88-00,14062.7,0,0,530726.321603775,,,,14062.7,0,0,530726.321603775,,,,,
TOTAL,,,480461.6,,,18169330.4,113438299,6.24,,480461.6,,,18169330.4,113438299,6.24,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
FACTORS WHICH MAY BE USED FOR CONVERSIONS,,,,,,FACTEURS DE CONVERSION,,,,,,,,,,,,
,1000 M3 = 0.02832784 MCF,,,,,,,,,,,,,,,,,
,MJ/M3 = 0.03787538 BTU/CF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
AUTHORIZED VOLUME SHOWN IS THE,,,,,,LE VOLUME AUTORISÉ INDIQUÉ EST LE VOLUME,,,,,,,,,,,,
ANNUAL AUTHORIZED  VOLUME PRORATED,,,,,,ANNUEL AUTORISÉ EN PROPORTION DU NOMBRE,,,,,,,,,,,,
OVER THE NUMBER OF DAYS IN THE PERIOD SHOWN,,,,,,DE JOURS DANS LE(S) MOIS INDIQUÉ(S),,,,,,,,,,,,
,,,,,,'SUBTOTAL' SIGNIFIE SOUS-TOTAL,,,,,,,,,,,,
