Table 1.5 Bolton Reported Road Injury Accident Data by Conditions 1989-2009,,,,,,,,,,,,,,,,,,,,,,,
,,,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
Accidents by Road Surface,,,,,,,,,,,,,,,,,,,,,,,
Dry,,,804.0,764.0,743.0,712.0,685.0,697.0,720.0,728.0,757.0,670.0,731.0,741.0,744.0,675.0,727.0,617.0,716.0,624.0,549.0,525.0,410.0
Wet/Damp,,,457.0,517.0,452.0,496.0,449.0,486.0,414.0,425.0,453.0,544.0,461.0,583.0,455.0,421.0,371.0,394.0,328.0,317.0,311.0,233.0,212.0
Snow,,,1.0,3.0,4.0,0.0,9.0,11.0,15.0,13.0,0.0,3.0,10.0,1.0,1.0,1.0,2.0,5.0,4.0,0.0,3.0,3.0,8.0
Frost/Ice,,,14.0,20.0,29.0,33.0,29.0,11.0,23.0,15.0,13.0,6.0,23.0,6.0,34.0,9.0,18.0,17.0,13.0,7.0,14.0,15.0,21.0
Flood,,,3.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Oil or Diesel,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Mud,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Wet/Damp Accidents by Road Class,,,,,,,,,,,,,,,,,,,,,,,
Motorway,,,5.0,10.0,7.0,13.0,9.0,8.0,9.0,18.0,15.0,25.0,23.0,20.0,19.0,16.0,17.0,17.0,22.0,16.0,17.0,14.0,10.0
A (M),,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,,,247.0,240.0,227.0,255.0,232.0,262.0,210.0,244.0,245.0,311.0,226.0,277.0,224.0,205.0,182.0,208.0,185.0,163.0,156.0,107.0,113.0
B,,,72.0,105.0,63.0,83.0,64.0,72.0,53.0,54.0,60.0,60.0,51.0,98.0,60.0,48.0,48.0,48.0,38.0,42.0,50.0,31.0,23.0
C,,,67.0,88.0,79.0,71.0,38.0,23.0,25.0,27.0,29.0,31.0,37.0,40.0,31.0,34.0,43.0,27.0,20.0,26.0,55.0,31.0,35.0
U,,,66.0,74.0,76.0,74.0,106.0,121.0,117.0,82.0,104.0,117.0,124.0,148.0,121.0,118.0,81.0,94.0,63.0,70.0,33.0,50.0,31.0
Total,,,457.0,517.0,452.0,496.0,449.0,486.0,414.0,425.0,453.0,544.0,461.0,583.0,455.0,421.0,371.0,394.0,328.0,317.0,311.0,233.0,212.0
Accidents by Light/Dark,,,,,,,,,,,,,,,,,,,,,,,
Motorway - Dark,,,4.0,5.0,5.0,11.0,6.0,5.0,10.0,10.0,13.0,12.0,10.0,12.0,20.0,9.0,10.0,24.0,16.0,16.0,15.0,10.0,10.0
A (M) - Dark,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A - Dark,,,206.0,181.0,171.0,205.0,174.0,189.0,171.0,169.0,171.0,202.0,175.0,189.0,168.0,153.0,153.0,153.0,157.0,154.0,129.0,98.0,108.0
B - Dark,,,52.0,71.0,54.0,57.0,49.0,45.0,37.0,40.0,42.0,49.0,36.0,54.0,39.0,48.0,38.0,44.0,46.0,41.0,37.0,20.0,21.0
C - Dark,,,47.0,57.0,54.0,55.0,17.0,23.0,18.0,17.0,15.0,21.0,23.0,21.0,21.0,23.0,19.0,25.0,16.0,26.0,46.0,38.0,30.0
U - Dark,,,53.0,49.0,69.0,61.0,61.0,79.0,85.0,54.0,86.0,74.0,87.0,78.0,86.0,76.0,57.0,86.0,47.0,68.0,29.0,33.0,20.0
Total,,,362.0,363.0,353.0,389.0,307.0,341.0,321.0,290.0,327.0,358.0,331.0,354.0,334.0,309.0,277.0,332.0,282.0,305.0,256.0,199.0,189.0
Motorway - Light,,,11.0,19.0,13.0,13.0,16.0,20.0,15.0,27.0,34.0,32.0,39.0,31.0,28.0,38.0,38.0,31.0,28.0,37.0,29.0,25.0,26.0
A (M) - Light,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A - Light,,,411.0,423.0,412.0,397.0,407.0,415.0,403.0,433.0,422.0,434.0,422.0,459.0,417.0,361.0,380.0,327.0,391.0,305.0,304.0,261.0,219.0
B - Light,,,128.0,134.0,131.0,112.0,109.0,114.0,112.0,112.0,103.0,115.0,112.0,137.0,146.0,83.0,118.0,102.0,81.0,81.0,85.0,81.0,51.0
