Visitor Count - December 2015,,,,,,,,,,,,,,,,,
Library,Sun.,Hrs.,0.0,Hrs.,Tues.,Hrs.,Wed.,Hrs.,Thurs.,Hrs.,Fri.,Hrs.,Sat.,Hrs.,Total visits,Total hours open,Visits per hour.
BUR,0,0,0.0,32,0,32,0,32,0,44,0,32,0,32,0,204,0
CDH,0,0,0.0,26,0,0,0,26,0,38,0,24,0,26,0,140,0
CPG,0,12,0.0,40,0,30,0,42,0,30,0,42,0,30,0,226,0
CHU,0,0,0.0,42,0,30,0,40,0,30,0,30,0,30,0,202,0
EBA,0,0,0.0,30,0,42,0,30,0,40,0,30,0,30,0,202,0
EFI,0,0,0.0,30,0,0,0,42,0,30,0,28,0,30,0,160,0
EDG,0,12,0.0,30,0,42,0,30,0,40,0,30,0,30,0,214,0
GOL,0,12,0.0,30,0,42,0,0,0,40,0,30,0,30,0,184,0
GRA,0,0,0.0,26,0,38,0,24,0,0,0,26,0,26,0,140,0
HEN,0,12,0.0,42,0,30,0,42,0,40,0,30,0,30,0,226,0
MIL,0,0,0.0,30,0,42,0,0,0,40,0,30,0,30,0,172,0
NFI,0,0,0.0,30,0,42,0,0,0,28,0,42,0,30,0,172,0
OSG,0,0,0.0,30,0,42,0,28,0,0,0,30,0,26,0,156,0
SFR,0,0,0.0,26,0,26,0,36,0,26,0,0,0,26,0,140,0
MOB,0,0,0.0,0,0,16,0,16,0,16,0,16,0,0,0,64,0
Home,0,0,0.0,0,0,16,0,16,0,16,0,16,0,0,0,64,0
