"Table 2b: Offences involving threatening with a knife or offensive weapon resulting in a caution or sentence by age group, in England and Wales1, annually from year ending March 2012 and quarterly from Q4 2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Number of offences
,Aged 18 and over,,,,,,,,,Aged 10 to 17,,,,,,,
,,Disposal Category2 ,,,,,,,,,Disposal Category2,,,,,,
,Number of offences3,Caution,Absolute / Conditional discharge,Fine,Community sentence,Suspended sentence,Immediate custody,Other disposal 4,,Number of offences,Reprimands & warnings / Youth cautions5,Absolute / conditional discharge,Fine,Community sentence,Suspended sentence,Immediate custody,Other disposal 4
Year ending March,,,,,,,,,,,,,,,,,
20135,9,0,0,0,0,2,7,0,,7,2,0,0,3,.,2,0
2014,189,5,0,0,19,44,114,7,,66,3,0,0,34,.,25,4
2015,384,6,4,2,31,68,257,16,,93,11,0,0,47,.,24,11
2016,534,7,4,1,34,106,357,25,,154,17,3,0,82,.,36,16
2017,649,7,3,1,27,143,414,54,,157,24,2,0,73,.,42,16
Quarter,,,,,,,,,,,,,,,,,
Q4 20126,0,0,0,0,0,0,0,0,,0,0,0,0,0,.,0,0
Q1 2013,9,0,0,0,0,2,7,0,,7,2,0,0,3,.,2,0
Q2 2013,28,2,0,0,3,6,15,2,,17,0,0,0,11,.,6,0
Q3 2013,47,1,0,0,5,9,31,1,,12,0,0,0,6,.,4,2
Q4 2013 ,57,1,0,0,6,10,39,1,,11,1,0,0,6,.,4,0
Q1 2014 ,57,1,0,0,5,19,29,3,,26,2,0,0,11,.,11,2
Q2 2014 ,87,1,0,0,9,9,63,5,,20,1,0,0,10,.,5,4
Q3 2014 ,90,0,2,0,6,16,62,4,,24,3,0,0,11,.,6,4
Q4 2014,101,3,0,2,10,24,61,1,,26,2,0,0,16,.,8,0
Q1 2015 ,106,2,2,0,6,19,71,6,,23,5,0,0,10,.,5,3
Q2 2015 ,102,2,1,1,10,14,68,6,,26,2,1,0,13,.,6,4
Q3 2015 ,123,2,0,0,4,30,81,6,,31,1,1,0,16,.,8,5
Q4 2015,160,2,2,0,8,29,107,12,,41,4,1,0,25,.,7,4
Q1 2016,149,1,1,0,12,33,101,1,,56,10,0,0,28,.,15,3
Q2 2016,150,3,1,0,10,31,94,11,,46,7,2,0,15,.,17,5
Q3 2016,172,1,2,1,5,32,118,13,,39,5,0,0,19,.,10,5
Q4 2016,163,2,0,0,7,44,100,10,,31,6,0,0,17,.,6,2
Q1 2017,164,1,0,0,5,36,102,20,,41,6,0,0,22,.,9,4
Source: Ministry of Justice's extract of the Police National Computer (PNC),,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,
1 Includes all 43 police force areas and the British Transport Police.,,,,,,,,,,,,,,,,,
2 The disposal given in this table is only the most severe of the disposals given as a result of the offender being found guilty and may also be dependent on other offences committed at the same time.,,,,,,,,,,,,,,,,,
3  The difference between the threatening offences figures in Table 1a and the adult / juvenile breakdown in this table is where there is no age recorded on the system. ,,,,,,,,,,,,,,,,,
4  Includes cases where an offender is committed to crown court for sentencing and is otherwise dealt with on conviction.,,,,,,,,,,,,,,,,,
5  Since April 8th 2013 youth cautions were introduced replacing reprimands and warnings for young offenders. The guidance is published at the link https://www.gov.uk/government/publications/youth-cautions-guidance-for-police-and-youth-offending-teams.,,,,,,,,,,,,,,,,,
6 On 3rd December 2012 offences involving threatening with a knife or offensive weapon in a public place or in a school premises was introduced and are included in the figures from this point on.,,,,,,,,,,,,,,,,,
. Denotes suspended sentences are not applicable to juveniles.,,,,,,,,,,,,,,,,,
