"Table Q6.3 - Number of offences brought to justice (notifiable) over a 12 month period, by outcome and numbers of recorded crimes, 12 months ending June 2003 to 12 months ending June 2013(1)",,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,Number of offences (thousands)
,,Offences brought to justice (OBTJ),,,,,,,,,,,,
,,,,Penalty,,Formal,,,,,,,,
,,Offences taken,,notices,, warnings,,,,,,,,
,, into ,,for,,for cannabis,,,,,,Total,,Recorded 
12 months ending,,consideration(2),,disorder(3),,possession(4),,Cautions(5),,Convictions,,OBTJs,,crimes(6)
Jun-03,,109.8,,*,,*,,226.6,,718.0,,"1,054.3",,"5,905.7"
Jun-04,,104.5,,5.9,,*,,253.3,,725.7,,"1,089.5",,"5,849.2"
Jun-05,,111.0,,68.2,,11.5,,279.6,,710.1,,"1,180.4",,"5,521.3"
Jun-06,,118.0,,121.5,,69.7,,344.6,,711.2,,"1,365.0",,"5,451.5"
Jun-07,,118.3,,150.4,,85.9,,384.1,,717.4,,"1,456.0",,"5,254.9"
Jun-08 (7),,104.8,,129.4,,103.0,,367.3,,744.4,,"1,448.9",,"4,804.3"
Jun-09 (7),,95.7,,116.2,,99.2,,326.2,,754.2,,"1,391.4",,"4,591.0"
Jun-10,,78.2,,100.4,,83.7,,270.9,,754.7,,"1,287.8",,"4,208.4"
Jun-11,,73.1,,86.9,,80.3,,249.0,,757.5,,"1,246.7",,"4,068.2"
Jun-12,,62.6,,73.9,,74.3,,224.5,,732.8,,"1,168.0",,"3,856.3"
Jun-13,,52.6,,58.7,,68.7,,197.1,,666.9,,"1,044.0",,"3,552.9"
(1) Excludes British Transport Police.,,,,,,,,,,,,,,
"(2) Offences taken into consideration by the court and previously recorded by the police, figures for April 2004 onwards include offences not previously recorded.",,,,,,,,,,,,,,
(3) Piloted in 2002 and introduced nationally in 2004.,,,,,,,,,,,,,,
(4) Introduced in April 2004.,,,,,,,,,,,,,,
(5) December 2010 to March 2011 cautions data for Dyfed Powys have been sourced from Police National Computer.,,,,,,,,,,,,,,
(6) The introduction of the National Crime Recording Standards (NCRS) in April 2002 resulted in significant increases in the number of crimes recorded.,,,,,,,,,,,,,,
"(7) Excludes convictions data for Cardiff magistrates' court for April, July, and August 2008. ",,,,,,,,,,,,,,
