"Table 2.2 - Number of Penalty Notices for Disorder issued to offenders aged 16 and over, by ethnicity, 12 months ending September 2012",,,,,,,,,,,,
England and Wales,,,,,,,,,,,,
,,White,,Black,,Asian,,Other,,"Not Recorded/
Not Known",,Total
Offence,,,,,,,,,,,,
Higher Tier Offences (£80),,,,,,,,,,,,
Wasting police time,,"1,679",,41,,130,,251,,435,,"2,536"
Misuse of public telecommunications system,,528,,3,,15,,19,,127,,692
Giving false alarm to fire and rescue authority,,25,,2,,4,,0,,8,,39
"Causing Harassment, alarm or distress",,"12,880",,319,,"1,003",,850,,"3,844",,"18,896"
Throwing fireworks(1),,183,,6,,22,,22,,53,,286
Drunk and disorderly(2),,"25,388",,316,,772,,632,,"6,529",,"33,637"
Criminal Damage (under £500)(3),,"2,865",,46,,121,,105,,644,,"3,781"
Theft (retail under £200)(3),,"20,235",,830,,"1,480",,"1,252",,"5,390",,"29,187"
Breach of fireworks curfew(4),,8,,0,,0,,0,,4,,12
Possession of category 4 firework(4),,11,,1,,1,,0,,6,,19
Possession by a person under 18 of adult firework(4),,19,,1,,8,,3,,14,,45
Sale of alcohol to drunken person(5),,50,,3,,10,,13,,16,,92
Supply of alcohol to a person under 18,,28,,0,,3,,2,,15,,48
Sale of alcohol to a person under 18(3),,699,,27,,105,,255,,230,,"1,316"
Purchasing alcohol for a person under 18(3),,145,,0,,1,,2,,25,,173
Purchasing alcohol for a  person under 18 for consumption on the premises,,19,,0,,0,,0,,4,,23
Delivery of alcohol to a person under 18 or allowing such delivery(3),,42,,0,,0,,3,,21,,66
Possession of Cannabis(6),,"9,218",,336,,"1,672",,"1,633",,"2,891",,"15,750"
Lower Tier Offences (£50),,,,,,,,,,,,
Trespassing on a railway,,725,,38,,33,,17,,258,,"1,071"
Throwing stones at a train / railway,,7,,0,,0,,0,,2,,9
Drunk in a highway,,366,,10,,13,,13,,114,,516
Consumption of alcohol in a designated public place,,464,,38,,25,,34,,103,,664
Depositing and leaving litter(3),,427,,23,,27,,43,,105,,625
Consumption of alcohol by a person under 18 on relevant premises(3),,13,,0,,0,,0,,4,,17
Allowing consumption of alcohol by a person under 18 on relevant premises(3),,0,,0,,0,,0,,0,,0
Buying or Attempting to buy alcohol by a person under 18(5),,17,,0,,0,,0,,4,,21
Depositing and leaving litter in a Royal Park (7),,1,,0,,0,,0,,0,,1
Use pedal cycle in a Royal Park (7),,84,,9,,7,,3,,11,,114
Failing to remove animal faeces from a Royal Park (7),,0,,0,,0,,0,,0,,0
Totals,,,,,,,,,,,,
Total Higher Tier Offences,,"74,022",,"1,931",,"5,347",,"5,042",,"20,256",,"106,598"
Total Lower Tier Offences,,"2,104",,118,,105,,110,,601,,"3,038"
Total all offences,,"76,126",,"2,049",,"5,452",,"5,152",,"20,857",,"109,636"
(1) Offence moved from the lower tier (£50) to the upper tier (£80) on 5th March 2004.,,,,,,,,,,,,
(2) Offence moved from the lower tier (£50) to the upper tier (£80) on 1st November 2004.,,,,,,,,,,,,
(3) Offence added with effect from 1 November 2004. Penalty notices are no longer available for theft of goods valued at over £100 and may only be used for criminal damage up to a value of £300 from July 2009 onwards.,,,,,,,,,,,,
(4) Offence added with effect from 11 October 2004.,,,,,,,,,,,,
(5) Offence added with effect from 04 April 2005.,,,,,,,,,,,,
(6) Offence added with effect from 27 January 2009.,,,,,,,,,,,,
(7) Offence added with effect from 30 June 2012.,,,,,,,,,,,,
