AM60 RS CT 298K,,,
,,,
True Strain,True Stress,,
0,,,0
1.54999879865703E-6,0.15423058,,
2.26499743489267E-6,0.100087158,,
2.97999555990562E-6,0.161076441,,
3.75499295005484E-6,0.074655257,,
4.52998973958357E-6,0.118047871,,
5.24498624513368E-6,0.117006555,,
5.95998223924211E-6,0.123357892,,
6.73497731991377E-6,0.066481516,,
7.45097224154007E-6,0.153709099,,
8.22496617484581E-6,0.120728582,,
8.94096002942679E-6,0.190255374,,
9.7159528000817E-6,0.171617568,,
1.04309455974752E-5,0.046828426,,
1.12059372131814E-5,0.174376577,,
1.192092894547E-5,0.224328414,,
1.26359201663238E-5,0.079027675,,
1.34109100734177E-5,0.100945011,,
1.41259002289493E-5,0.080381125,,
1.48418898585117E-5,0.171382427,,
1.56758771328716E-5,0.13535659,,
1.6450864683812E-5,0.294218183,,
1.716585266581E-5,0.110836066,,
1.78808401368225E-5,0.288230836,,
1.8596827077893E-5,0.134575337,,
1.93718123651377E-5,0.302390724,,
2.0086798258919E-5,0.300360173,,
2.08017836414959E-5,0.366892606,,
2.1516768512647E-5,0.254547,,
2.22917515369843E-5,0.315144539,,
2.31267325750148E-5,0.332610369,,
2.38417157840872E-5,0.289218307,,
2.45566984817369E-5,0.36184144,,
2.53316791504065E-5,0.443470776,,
2.60466607827594E-5,0.323655099,,
2.67616419041359E-5,0.417700619,,
2.74776224866987E-5,0.388078451,,
2.82526008914909E-5,0.383679122,,
2.89675804356642E-5,0.383574724,,
2.9801555929244E-5,0.447763771,,
3.05175343352915E-5,0.3698304,,
3.12915104156529E-5,0.473792791,,
3.20074877549264E-5,0.317848563,,
3.27224646142163E-5,0.519213855,,
3.34374409625368E-5,0.355070561,,
3.42124147486139E-5,0.356241584,,
3.49273900316564E-5,0.408664972,,
3.56433647677281E-5,0.62668854,,
3.63583390276778E-5,0.286637723,,
3.72523061241319E-5,0.513250768,,
3.79672792337313E-5,0.463638127,,
3.86822518321445E-5,0.589282215,,
3.9398223879836E-5,0.446119577,,
4.01731930464782E-5,0.657947123,,
4.08881640677258E-5,0.458560973,,
4.16031345775682E-5,0.625695765,,
4.23181045764501E-5,0.661615908,,
4.30930714802789E-5,0.543337703,,
4.39280351497896E-5,0.6762954,,
4.46430034862179E-5,0.546512425,,
4.53579713116888E-5,0.774060547,,
4.6132935859726E-5,0.595785201,,
4.68479026199444E-5,0.746702671,,
4.75638688212842E-5,0.680067122,,
4.82788345582122E-5,0.721140802,,
4.90537968429102E-5,0.675224721,,
4.97687615145918E-5,0.620094299,,
5.04837256753214E-5,0.676421046,,
