Table 627. Productivity and Related Measures,,,,,,,,,,,,,
,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,1980.0,1985.0,1990.0,1995,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
INDEXES (1992=100),,,,,,,,,,,,,
"Output per hour, business sector",79.151,87.131,94.381,101.495,116.107,119.067,123.934,128.693,132.444,134.822,136.074,138.195,141.92
Nonfarm business,80.579,87.457,94.511,102.008,115.687,118.577,123.468,128.034,131.614,133.862,135.123,137.049,140.897
Manufacturing,(NA),(NA),93.878,110.993,139.069,141.243,150.998,160.353,163.984,171.892,173.691,179.196,180.726
"Output, \1 business sector",68.836,82.187,96.893,111.368,140.505,140.95,143.075,147.536,153.707,159.092,163.944,167.289,168.585
Nonfarm business,69.249,82.188,97.085,111.77,140.776,141.342,143.404,147.803,153.92,159.213,164.235,167.454,168.818
Manufacturing,(NA),(NA),98.489,115.869,144.221,136.899,135.999,137.333,139.73,144.844,147.499,149.482,144.893
"Hours, \2 business sector",86.968,94.325,102.662,109.728,121.014,118.379,115.444,114.642,116.054,118.001,120.481,121.053,118.788
Nonfarm business,85.939,93.975,102.723,109.57,121.687,119.198,116.147,115.44,116.948,118.938,121.544,122.185,119.817
Manufacturing,(NA),(NA),104.911,104.393,103.704,96.924,90.067,85.644,85.209,84.265,84.92,83.418,80.173
"Compensation per hour, \3 business sector",54.148,72.462,90.587,105.776,134.672,140.345,145.325,151.22,156.969,163.152,169.382,176.493,182.837
Nonfarm business,54.393,72.622,90.426,105.864,134.162,139.506,144.588,150.422,155.957,162.132,168.293,175.248,181.704
Manufacturing,(NA),(NA),90.463,107.277,134.707,137.832,147.814,158.219,161.522,164.492,171.236,177.356,184.679
"Real hourly compensation, \3 business sector",89.593,91.966,96.215,98.69,111.987,113.518,115.677,117.74,119.0,119.676,120.301,121.893,121.602
Nonfarm business,89.999,92.169,96.043,98.772,111.563,112.839,115.09,117.118,118.233,118.927,119.527,121.033,120.849
Manufacturing,(NA),(NA),96.082,100.09,112.017,111.485,117.658,123.189,122.452,120.658,121.617,122.489,122.828
"Unit labor costs, \4 business sector",68.41,83.164,95.981,104.218,115.99,117.87,117.26,117.505,118.517,121.013,124.478,127.713,128.831
Nonfarm business,67.503,83.038,95.678,103.78,115.97,117.65,117.105,117.485,118.496,121.119,124.548,127.872,128.963
Manufacturing,(NA),(NA),96.362,96.652,96.863,97.585,97.891,98.669,98.499,95.695,98.586,98.973,102.188
,,,,,,,,,,,,,
ANNUAL PERCENT CHANGE \5,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Output per hour, business sector",-0.2,2.2,2.1,0.1,2.9,2.5,4.1,3.8,2.9,1.8,0.9,1.6,2.7
Nonfarm business,-0.2,1.6,1.9,0.5,2.8,2.5,4.1,3.7,2.8,1.7,0.9,1.4,2.8
Manufacturing,(NA),(NA),2.2,4.5,4.1,1.6,6.9,6.2,2.3,4.8,1.0,3.2,0.9
"Output, \1 business sector",-1.1,4.6,1.5,2.9,3.9,0.3,1.5,3.1,4.2,3.5,3.0,2.0,0.8
Nonfarm business,-1.0,4.2,1.5,3.2,3.8,0.4,1.5,3.1,4.1,3.4,3.2,2.0,0.8
Manufacturing,(NA),(NA),-0.3,5.3,2.7,-5.1,-0.7,1.0,1.7,3.7,1.8,1.3,-3.1
"Hours, \2 business sector",-0.9,2.3,-0.6,2.8,1.0,-2.2,-2.5,-0.7,1.2,1.7,2.1,0.5,-1.9
Nonfarm business,-0.8,2.6,-0.4,2.8,1.0,-2.0,-2.6,-0.6,1.3,1.7,2.2,0.5,-1.9
Manufacturing,(NA),(NA),-2.5,0.7,-1.3,-6.5,-7.1,-4.9,-0.5,-1.1,0.8,-1.8,-3.9
"Compensation per hour, \3 business sector",10.8,4.8,6.3,2.1,7.1,4.2,3.5,4.1,3.8,3.9,3.8,4.2,3.6
Nonfarm business,10.8,4.6,6.1,2.1,7.2,4.0,3.6,4.0,3.7,4.0,3.8,4.1,3.7
Manufacturing,(NA),(NA),4.4,1.9,9.1,2.3,7.2,7.0,2.1,1.8,4.1,3.6,4.1
"Real hourly compensation, \3 business sector",-0.3,1.3,1.3,-0.3,3.6,1.4,1.9,1.8,1.1,0.6,0.5,1.3,-0.2
Nonfarm business,-0.3,1.1,1.0,-0.3,3.7,1.1,2.0,1.8,1.0,0.6,0.5,1.3,-0.2
Manufacturing,(NA),(NA),-0.5,-0.5,5.6,-0.5,5.5,4.7,-0.6,-1.5,0.8,0.7,0.3
"Unit labor costs, \4 business sector",11.0,2.5,4.1,1.9,4.1,1.6,-0.5,0.2,0.9,2.1,2.9,2.6,0.9
Nonfarm business,11.0,3.0,4.1,1.6,4.2,1.4,-0.5,0.3,0.9,2.2,2.8,2.7,0.9
Manufacturing,(NA),(NA),2.2,-2.6,4.9,0.7,0.3,0.8,-0.2,-2.8,3.0,0.4,3.2
,,,,,,,,,,,,,
"Source: U.S. Department of Labor, Bureau of Labor Statistics",,,,,,,,,,,,,
"Productivity and Costs, News USDL 09-0587, June 4, 2009.",,,,,,,,,,,,,
