"Renewable Energy Trends in Consumption and Electricity, 2007",,,,,,
Release Date: April 2009,,,,,,
Next Release Date: April 2010,,,,,,
,,,,,,
"Table 1.9 Net Summer Capacity of Plants Cofiring Biomass and Coal, 2007",,,,,,
(Megawatts),,,,,,
State,Company Name,Plant I.D.,Plant Name,County,Biomass/ Coal Cofiring Capacity,Total Plant Capacity
AL,DTE Energy Services,50407,Mobile Energy Services LLC,Mobile,91,91
AL,Georgia-Pacific Corp,10699,Georgia Pacific Naheola Mill,Choctaw,31,78
AL,International Paper Co,52140,International Paper Prattville Mill,Autauga,49,90
AR,Domtar Industries Inc,54104,Ashdown,Little River,157,157
AZ,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Pima,173,559
DE,Conectiv Delmarva Gen Inc,593,Edge Moor,New Castle,252,710
FL,International Paper Co-Pensacola,50250,International Paper Pensacola,Escambia,83,83
FL,Jefferson Smurfit Corp,10202,Jefferson Smurfit Fernandina Beach,Nassau,74,128
FL,Stone Container Corp-Panama Ci,50807,Stone Container Panama City Mill,Bay,20,34
GA,Georgia Pacific CSO LLC,54101,Georgia Pacific Cedar Springs,Early,101,101
GA,International Paper Co-Augusta,54358,International Paper Augusta Mill,Richmond,85,85
GA,SP Newsprint Company,54004,SP Newsprint,Laurens,45,82
HI,Hawaiian Com & Sugar Co Ltd,10604,Hawaiian Comm & Sugar Puunene Mill,Maui,46,62
IA,Ames City of,1122,Ames Electric Services Power Plant,Story,109,109
IA,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,Clinton,180,211
IA,University of Iowa,54775,University of Iowa Main Power Plant,Johnson,21,23
KY,"East Kentucky Power Coop, Inc",6041,H L Spurlock,Mason,659,"1,609"
LA,International Paper Co,54090,International Paper Louisiana Mill,Morehouse,59,59
MD,NewPage Corporation,50282,Luke Mill,Allegany,65,65
ME,NewPage Corporation,10495,Rumford Cogeneration,Oxford,103,103
ME,S D Warren Co.- Westbrook,50447,S D Warren Westbrook,Cumberland,15,81
MI,"Decorative Panels International, Inc.",10149,Decorative Panels Intl,Alpena,8,8
MI,NewPage Corporation,10208,Escanaba Paper Company,Delta,81,103
MI,S D Warren Co,50438,S D Warren Muskegon,Muskegon,51,51
MI,TES Filer City Station LP,50835,TES Filer City Station,Manistee,70,70
MN,Minnesota Power Inc,10686,Rapids Energy Center,Itasca,27,28
MN,Minnesota Power Inc,1897,M L Hibbard,St Louis,73,123
MO,University of Missouri-Columba,50969,University of Missouri Columbia,Boone,6,91
MS,Weyerhaeuser Co,50184,Weyerhaeuser Columbus MS,Lowndes,123,123
NC,Carlyle/Riverstone Renewable Energy,10381,Coastal Carolina Clean Power,Duplin,44,44
NC,Corn Products Intl Inc,54618,Corn Products Winston Salem,Forsyth,8,8
NC,Domtar Paper Company LLC,50189,Domtar Paper Co LLC Plymouth NC,Martin,162,162
NC,Primary Energy of North Carolina LLC,10379,Primary Energy Roxboro,Person,68,68
NY,AES Greenidge,2527,AES Greenidge LLC,Yates,113,163
NY,AES Hickling LLC,2529,AES Hickling LLC,Steuben,70,70
NY,AES Jennison LLC,2531,AES Jennison LLC,Chenango,60,60
NY,Black River Generation LLC,10464,Black River Generation,Jefferson,56,56
NY,Niagara Generation LLC,50202,WPS Power Niagara,Niagara,56,56
PA,Domtar LLC,54638,Johnsonburg Mill,Elk,54,54
PA,P H Glatfelter Co,50397,P H Glatfelter,York,6,110
SC,International Paper Co-Eastovr,52151,International Paper Eastover Facility,Richland,48,110
SC,Smurfit-Stone Container Enterprises Inc,50806,Stone Container Florence Mill,Florence,79,108
SC,South Carolina Electric&Gas Co,7737,Cogen South,Charleston,99,99
UT,Desert Power LP,55858,Desert Power LP,Tooele,43,135
VA,Bassett Furniture Industries Inc,50911,Bassett Table,Henry,2,2
VA,GP Big Island LLC,50479,Georgia Pacific Big Island,Bedford,8,8
VA,International Paper,52152,International Paper Franklin Mill,Isle of Wight,97,155
VA,MeadWestvaco Corp,50900,Covington Facility,Covington,105,105
VA,Virginia Electric & Power Co,56808,Virginia City Hybrid Energy Center,Wise,668,668
WA,Tacoma City of,3920,Steam plant,Pierce,50,50
WI,Fox Valley Energy Center LLC,56037,Fox Valley Energy Center,Winnebago,7,7
WI,Madison Gas & Electric Co,3992,Blount Street,Dane,100,188
WI,Manitowoc Public Utilities,4125,Manitowoc,Manitowoc,10,213
WI,Mosinee Paper Corp,50614,Mosinee Paper,Marathon,20,23
WI,NewPage Corporation,10234,Biron Mill,Wood,22,62
WI,NewPage Corporation,10476,Whiting Mill,Portage,4,4
WI,NewPage Corporation,10477,Wisconsin Rapids Pulp Mill,Wood,72,72
WI,NewPage Corporation,54857,Niagara Mill,Marinette,12,25
WI,Northern States Power Co,3982,Bay Front,Ashland,40,68
WI,State of Wisconsin,54407,Waupun Correctional Central Heating Plt,Dodge,2,2
WI,State of Wisconsin,54408,Univ of Wisc Madison Charter Sreet Plant,Dane,10,10
WI,Thilmany LLC,54098,International Paper Kaukauna Mill,Outagamie,33,45
Total,,,,,"5,080","8,121"
Note: State abbreviations are documented on the United States Postal Service website:  http://www.usps.com/ncsc/lookups/usps_abbreviations.htm.,,,,,,
"Source: Energy Information Administration, Form EIA-860, ""Annual Electric Generator Report,"" Schedule 3, Part B.",,,,,,
