"Table 5. Prevalence of marketing and organisational innovations by size category of personnel, 2006–2008, share of enterprises",,,,,
,Organisational innovations %,Marketing innovations %,Marketing or organisational innovations %,"Innovation activity, broadly defined %",All elements 1) %
Total,25,22,34,54,7
"Manufacturing, total 2)",22,22,32,57,7
10 - 19,13,15,21,45,4
20 - 49,19,23,33,59,5
50 - 99,29,26,40,64,8
100 - 249,37,30,47,72,9
250 - 499,51,39,55,88,24
500 -,79,64,83,96,50
"Services, total",28,21,35,50,6
10 - 19,18,17,26,42,5
20 - 49,35,25,43,55,7
50 - 99,28,20,36,48,3
100 - 249,51,31,56,73,11
250 - 499,45,36,54,66,18
500 -,59,34,67,79,25
"1) Product and process innovations and related projects, and organisational and marketing innovations.",,,,,
"2) Including mining and quarrying (05–09), electricity, gas, steam and air conditioning supply (35), water supply; sewerage, waste management and remediation activities (36–39).",,,,,
