Report #: DOE/EIA-0573(2008),,,,,,,,,,,,,,,,,,,
"Release Date: December 3, 2009  ",,,,,,,,,,,,,,,,,,,
Next Release Date: December 2010,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Table 19. U.S. Methane Emissions from Waste Management, 1990 - 2008",,,,,,,,,,,,,,,,,,,
        (Million Metric Tons Carbon Dioxide Equivalent),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Landfills,260.2,253.0,249.7,243.8,236.5,221.9,211.1,195.3,179.8,169.6,162.3,154.6,155.6,163.3,162.7,166.8,175.2,184.4,184.3
Domestic Wastewater Treatment,14.4,14.6,14.8,15.0,15.2,15.4,15.6,15.8,16.0,16.1,16.3,16.5,16.6,16.8,17.0,17.1,17.3,17.4,17.6
Industrial Waste Water Treatment,8.4,8.6,8.9,9.0,9.3,9.5,9.5,9.8,9.9,10.0,10.0,9.7,9.8,9.7,9.9,9.8,10.1,10.2,10.2
Total,283.0,276.2,273.4,267.8,261.0,246.8,236.3,220.9,205.6,195.7,188.6,180.8,182.0,189.8,189.6,193.7,202.6,212.1,212.1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Notes: Data in this table are revised from the data contained in the previous EIA report, Emissions of Greenhouse Gases in the United States",,,,,,,,,,,,,,,,,,,
"2007, DOE/EIA-0573(2007) (Washington, DC, December 2008). Totals may not equal sum of components due to independent rounding.",,,,,,,,,,,,,,,,,,,
Source: EIA estimates.,,,,,,,,,,,,,,,,,,,
