"Table 03. Supply and production of electricity, GWh",,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008
Nuclear power,21 575,21 854,21 395,21 830,21 814,22 356,22 004,22 501,22 050
Fossil fuels,,,,,,,,,
- Oil,540,610,836,910,570,454,439,431,392
- Coal,8 636,10 556,12 437,18 487,15 946,6 687,15 842,13 615,8 550
- Natural gas,9 856,11 182,11 273,13 435,12 372,10 896,11 941,10 250,10 935
- Other fossil,69,111,120,170,188,167,127,158,215
- Fossil fuels total,19 100,22 459,24 667,33 002,29 075,18 204,28 349,24 454,20 092
Peat,3 689,5 797,6 141,6 827,6 118,4 206,6 206,6 917,4 829
Renewable energy sources,,,,,,,,,
- Hydro power,14 453,13 018,10 623,9 455,14 865,13 428,11 313,13 991,16 909
- Wind power,77,70,63,92,120,168,153,188,261
- Black liquor and other concentrated liquors,5 126,4 765,5 140,5 255,5 778,5 060,5 900,5 711,5 250
- Other wood fuels,2 923,2 882,3 191,3 364,3 821,3 647,4 068,3 408,4 346
- Other renewables,101,148,143,188,209,280,230,297,280
- Renewables total,22 679,20 882,19 160,18 353,24 794,22 584,21 664,23 595,27 046
Other energy sources,234,237,255,364,369,307,400,349,457
Electricity produced total,67 278,71 229,71 618,80 377,82 171,67 657,78 623,77 817,74 475
Net imports of electricity,11 880,9 959,11 925,4 852,4 870,17 015,11 401,12 557,12 772
Total,79 158,81 188,83 543,85 229,87 041,84 672,90 024,90 374,87 247
,,,,,,,,,
"Source: Source: Statistics on production of electricity and heat, Statistics Finland",,,,,,,,,
"Inquiries: Minna Niininen 09 1734 3549, energia@tilastokeskus.fi",,,,,,,,,
Director in charge: Leena Storgårds,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
